subset,model,row_count,vehicle_count,scene_count,prediction_inside_full_gt_interval_fraction,prediction_inside_gt_intersection_mask_interval_fraction,outside_full_interval_median_deg,outside_full_interval_p90_deg,outside_valid_interval_median_deg,outside_valid_interval_p90_deg,center_error_median_deg,center_error_p90_deg,center_error_max_deg,gt_azimuth_width_median_deg,center_error_over_gt_width_median,center_error_over_gt_width_p90
all_historical_anchors,old_linear,70,5,3,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.065056338,3.204513029,39.439805384,25.295411914,0.045764498,0.119988686
all_historical_anchors,development_complete_linear,70,5,3,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.605285487,1.547182402,39.066559171,25.295411914,0.025799132,0.062827439
all_historical_anchors,centered_linear,70,5,3,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.605285487,1.547182402,39.066559171,25.295411914,0.025799132,0.062827439
all_historical_anchors,pinhole_los,70,5,3,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.649845592,1.790843749,37.180739199,25.295411914,0.024975320,0.092991611
mask_inside_complete_vehicle_anchors,old_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.029502286,3.064206152,3.740868213,25.415440606,0.041965742,0.114283664
mask_inside_complete_vehicle_anchors,development_complete_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.603008225,1.414495524,1.943089207,25.415440606,0.023019649,0.056886436
mask_inside_complete_vehicle_anchors,centered_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.603008225,1.414495524,1.943089207,25.415440606,0.023019649,0.056886436
mask_inside_complete_vehicle_anchors,pinhole_los,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.648765543,1.574902928,3.109765420,25.415440606,0.024733655,0.065968314
mask_clipped_diagnostic_anchors,old_linear,0,0,0,,,,,,,,,,,,
mask_clipped_diagnostic_anchors,development_complete_linear,0,0,0,,,,,,,,,,,,
mask_clipped_diagnostic_anchors,centered_linear,0,0,0,,,,,,,,,,,,
mask_clipped_diagnostic_anchors,pinhole_los,0,0,0,,,,,,,,,,,,
optical_partial_or_boundary_anchors,old_linear,148,17,3,0.993243243,0.993243243,3.988084731,3.988084731,3.988084731,3.988084731,8.362961116,18.684582344,39.439805384,53.716403286,0.161694057,0.341338252
optical_partial_or_boundary_anchors,development_complete_linear,148,17,3,0.993243243,0.993243243,4.335879763,4.335879763,4.335879763,4.335879763,6.468469373,17.872416924,39.066559171,53.716403286,0.141874356,0.292281147
optical_partial_or_boundary_anchors,centered_linear,148,17,3,0.993243243,0.993243243,4.335879763,4.335879763,4.335879763,4.335879763,6.468469373,17.872416924,39.066559171,53.716403286,0.141874356,0.292281147
optical_partial_or_boundary_anchors,pinhole_los,148,17,3,0.993243243,0.993243243,6.364316423,6.364316423,6.364316423,6.364316423,7.668462161,18.322063500,37.180739199,53.716403286,0.170974741,0.413544138
development_complete_anchors,old_linear,20,1,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.648865562,2.630019757,3.048032126,28.483150210,0.058462840,0.090616956
development_complete_anchors,development_complete_linear,20,1,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.313441522,0.813092863,1.571050896,28.483150210,0.010812430,0.029607473
development_complete_anchors,centered_linear,20,1,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.313441522,0.813092863,1.571050896,28.483150210,0.010812430,0.029607473
development_complete_anchors,pinhole_los,20,1,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.279653755,0.817510200,1.229011411,28.483150210,0.010201778,0.028837046
heldout_complete_anchors,old_linear,45,2,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911481089,3.214743789,3.740868213,23.670166105,0.041438517,0.123852623
heldout_complete_anchors,development_complete_linear,45,2,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.906949996,1.493946006,1.943089207,23.670166105,0.036499761,0.062992998
heldout_complete_anchors,centered_linear,45,2,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.906949996,1.493946006,1.943089207,23.670166105,0.036499761,0.062992998
heldout_complete_anchors,pinhole_los,45,2,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.915194369,1.993977470,3.109765420,23.670166105,0.036632949,0.102355622
complete_scene_GM_RM011,old_linear,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM011,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM011,centered_linear,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM011,pinhole_los,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM017,old_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.029502286,3.064206152,3.740868213,25.415440606,0.041965742,0.114283664
complete_scene_GM_RM017,development_complete_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.603008225,1.414495524,1.943089207,25.415440606,0.023019649,0.056886436
complete_scene_GM_RM017,centered_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.603008225,1.414495524,1.943089207,25.415440606,0.023019649,0.056886436
complete_scene_GM_RM017,pinhole_los,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.648765543,1.574902928,3.109765420,25.415440606,0.024733655,0.065968314
complete_scene_GM_RM019,old_linear,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM019,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM019,centered_linear,0,0,0,,,,,,,,,,,,
complete_scene_GM_RM019,pinhole_los,0,0,0,,,,,,,,,,,,
complete_pose_approx_front,old_linear,0,0,0,,,,,,,,,,,,
complete_pose_approx_front,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_pose_approx_front,centered_linear,0,0,0,,,,,,,,,,,,
complete_pose_approx_front,pinhole_los,0,0,0,,,,,,,,,,,,
complete_pose_approx_rear,old_linear,0,0,0,,,,,,,,,,,,
complete_pose_approx_rear,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_pose_approx_rear,centered_linear,0,0,0,,,,,,,,,,,,
complete_pose_approx_rear,pinhole_los,0,0,0,,,,,,,,,,,,
complete_pose_left_side_dominant,old_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.029502286,3.064206152,3.740868213,25.415440606,0.041965742,0.114283664
complete_pose_left_side_dominant,development_complete_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.603008225,1.414495524,1.943089207,25.415440606,0.023019649,0.056886436
complete_pose_left_side_dominant,centered_linear,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.603008225,1.414495524,1.943089207,25.415440606,0.023019649,0.056886436
complete_pose_left_side_dominant,pinhole_los,65,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.648765543,1.574902928,3.109765420,25.415440606,0.024733655,0.065968314
complete_pose_right_side_dominant,old_linear,0,0,0,,,,,,,,,,,,
complete_pose_right_side_dominant,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_pose_right_side_dominant,centered_linear,0,0,0,,,,,,,,,,,,
complete_pose_right_side_dominant,pinhole_los,0,0,0,,,,,,,,,,,,
complete_pose_oblique,old_linear,0,0,0,,,,,,,,,,,,
complete_pose_oblique,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_pose_oblique,centered_linear,0,0,0,,,,,,,,,,,,
complete_pose_oblique,pinhole_los,0,0,0,,,,,,,,,,,,
complete_pose_pose_unstable,old_linear,0,0,0,,,,,,,,,,,,
complete_pose_pose_unstable,development_complete_linear,0,0,0,,,,,,,,,,,,
complete_pose_pose_unstable,centered_linear,0,0,0,,,,,,,,,,,,
complete_pose_pose_unstable,pinhole_los,0,0,0,,,,,,,,,,,,
complete_optical_center_region,old_linear,46,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.183658706,3.138727856,3.740868213,25.586417030,0.051107512,0.119481497
complete_optical_center_region,development_complete_linear,46,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.599146434,1.278552730,1.696612112,25.586417030,0.021327235,0.051963473
complete_optical_center_region,centered_linear,46,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.599146434,1.278552730,1.696612112,25.586417030,0.021327235,0.051963473
complete_optical_center_region,pinhole_los,46,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.576533972,1.070415620,1.510058461,25.586417030,0.022370064,0.046457367
complete_optical_edge_region,old_linear,19,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.733714203,2.263961361,3.237958674,23.170849955,0.033232238,0.086506606
complete_optical_edge_region,development_complete_linear,19,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.865441615,1.597374294,1.943089207,23.170849955,0.036207823,0.083050746
complete_optical_edge_region,centered_linear,19,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.865441615,1.597374294,1.943089207,23.170849955,0.036207823,0.083050746
complete_optical_edge_region,pinhole_los,19,3,1,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.236531504,2.678537909,3.109765420,23.170849955,0.058982960,0.138415936
