evaluation_id,scene,canonical_vehicle_id,benchmark_role,input_tier,segment_id,unique_frame_count,source_gt_row_count,structure_observation_count,stable_structure_count,structure_type_distribution,relation_count,relation_type_distribution,temporal_event_count,temporal_event_distribution,global_supported_event_count,gt_or_crop_artifact_count,threshold_artifact_count,background_like_event_count,background_replication_rate,background_stable_replication_rate,stable_relation_present,heldout_reproduction_status,cross_scene_interpretation,stage_evidence,review_status,notes
S1L-EVAL-0001,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,36,60,224,171,background_connected_response_structure:53;compact_response_island:57;extended_response_ridge:32;stable_local_peak:82,257,collinear:91;near_far_correspondence:257;parallel:77;possible_shared_extended_response:91;same_azimuth_band:36;same_radial_band:76;spatial_neighbor:257,194,birth:16;death:15;dominant_component_switch:7;global_motion_consistent:27;local_relative_shift:1;merge:1;split:2;stable_persistence:108;unresolved_correspondence:17,163,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,formal_temporal,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0002,GM_RM011,GM_RM011:PV002,development,A,S0MV-GM_RM011-PV002-SEG01,7,7,79,57,background_connected_response_structure:22;compact_response_island:10;extended_response_ridge:8;stable_local_peak:39,119,collinear:40;near_far_correspondence:119;parallel:32;possible_shared_extended_response:44;same_azimuth_band:20;same_radial_band:17;spatial_neighbor:119,68,birth:8;death:8;dominant_component_switch:6;global_motion_consistent:7;local_relative_shift:1;split:1;stable_persistence:28;strength_decrease:1;unresolved_correspondence:8,52,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,formal_temporal,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0003,GM_RM011,GM_RM011:PV003,heldout_validation,C,S0MV-GM_RM011-PV003-SEG01,1,1,17,10,background_connected_response_structure:7;compact_response_island:1;extended_response_ridge:1;stable_local_peak:8,24,collinear:2;near_far_correspondence:24;parallel:8;possible_shared_extended_response:5;same_azimuth_band:4;same_radial_band:2;spatial_neighbor:24,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0004,GM_RM011,GM_RM011:PV003,heldout_validation,C,S0MV-GM_RM011-PV003-SEG02,1,1,19,12,background_connected_response_structure:7;extended_response_ridge:1;stable_local_peak:11,28,collinear:3;near_far_correspondence:28;parallel:13;possible_shared_extended_response:11;same_azimuth_band:6;same_radial_band:3;spatial_neighbor:28,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0005,GM_RM011,GM_RM011:PV005,development,C,S0MV-GM_RM011-PV005-SEG01,1,1,17,12,background_connected_response_structure:5;compact_response_island:1;extended_response_ridge:2;stable_local_peak:9,20,collinear:3;near_far_correspondence:20;parallel:3;possible_shared_extended_response:12;same_azimuth_band:6;same_radial_band:1;spatial_neighbor:20,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0006,GM_RM011,GM_RM011:PV005,development,B,S0MV-GM_RM011-PV005-SEG02,2,2,45,39,background_connected_response_structure:6;compact_response_island:6;extended_response_ridge:3;stable_local_peak:30,124,collinear:32;near_far_correspondence:124;parallel:21;possible_shared_extended_response:37;same_azimuth_band:19;same_radial_band:13;spatial_neighbor:124,29,death:1;dominant_component_switch:1;global_motion_consistent:3;local_relative_shift:2;merge:4;split:3;stable_persistence:3;strength_increase:1;unresolved_correspondence:11,28,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0007,GM_RM011,GM_RM011:PV006,development,C,S0MV-GM_RM011-PV006-SEG01,1,1,17,14,background_connected_response_structure:3;compact_response_island:5;stable_local_peak:9,41,collinear:15;near_far_correspondence:41;parallel:11;same_azimuth_band:4;same_radial_band:5;spatial_neighbor:41,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0008,GM_RM011,GM_RM011:PV006,development,B,S0MV-GM_RM011-PV006-SEG02,3,3,55,44,background_connected_response_structure:11;compact_response_island:5;extended_response_ridge:2;stable_local_peak:37,108,collinear:27;near_far_correspondence:108;parallel:20;possible_shared_extended_response:22;same_azimuth_band:20;same_radial_band:20;spatial_neighbor:108,24,birth:7;dominant_component_switch:1;merge:3;split:2;stable_persistence:6;unresolved_correspondence:5,17,1,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0009,GM_RM011,GM_RM011:PV007,development,C,S0MV-GM_RM011-PV007-SEG01,1,1,19,15,background_connected_response_structure:4;compact_response_island:2;extended_response_ridge:1;stable_local_peak:12,40,collinear:9;near_far_correspondence:40;parallel:13;possible_shared_extended_response:9;same_azimuth_band:8;same_radial_band:6;spatial_neighbor:40,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0010,GM_RM011,GM_RM011:PV007,development,B,S0MV-GM_RM011-PV007-SEG02,3,3,70,54,background_connected_response_structure:16;compact_response_island:8;extended_response_ridge:1;stable_local_peak:45,126,collinear:42;near_far_correspondence:126;parallel:35;possible_shared_extended_response:10;same_azimuth_band:20;same_radial_band:23;spatial_neighbor:126,24,birth:4;dominant_component_switch:1;local_relative_shift:1;merge:2;split:5;stable_persistence:5;unresolved_correspondence:6,20,2,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0011,GM_RM011,GM_RM011:PV007,development,C,S0MV-GM_RM011-PV007-SEG03,1,1,20,17,background_connected_response_structure:3;compact_response_island:5;extended_response_ridge:1;stable_local_peak:11,76,collinear:18;near_far_correspondence:76;parallel:14;possible_shared_extended_response:12;same_azimuth_band:17;same_radial_band:5;spatial_neighbor:76,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0012,GM_RM011,GM_RM011:PV008,heldout_validation,C,S0MV-GM_RM011-PV008-SEG01,1,1,32,25,background_connected_response_structure:7;compact_response_island:5;extended_response_ridge:1;stable_local_peak:19,93,collinear:27;near_far_correspondence:93;parallel:20;possible_shared_extended_response:14;same_azimuth_band:12;same_radial_band:10;spatial_neighbor:93,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0013,GM_RM011,GM_RM011:PV008,heldout_validation,C,S0MV-GM_RM011-PV008-SEG02,1,1,26,18,background_connected_response_structure:8;compact_response_island:3;stable_local_peak:15,49,collinear:16;near_far_correspondence:49;parallel:10;same_azimuth_band:11;same_radial_band:4;spatial_neighbor:49,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0014,GM_RM011,GM_RM011:PV008,heldout_validation,C,S0MV-GM_RM011-PV008-SEG03,1,1,31,26,background_connected_response_structure:5;compact_response_island:2;extended_response_ridge:2;stable_local_peak:22,53,collinear:12;near_far_correspondence:53;parallel:28;possible_shared_extended_response:26;same_azimuth_band:8;same_radial_band:7;spatial_neighbor:53,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0015,GM_RM011,GM_RM011:PV010,development,B,S0MV-GM_RM011-PV010-SEG01,2,2,23,18,background_connected_response_structure:5;compact_response_island:3;extended_response_ridge:1;stable_local_peak:14,24,collinear:9;near_far_correspondence:24;parallel:2;possible_shared_extended_response:7;same_azimuth_band:4;same_radial_band:5;spatial_neighbor:24,11,dominant_component_switch:1;global_motion_consistent:5;merge:1;unresolved_correspondence:4,11,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0016,GM_RM011,GM_RM011:PV010,development,C,S0MV-GM_RM011-PV010-SEG02,1,1,6,6,compact_response_island:2;stable_local_peak:4,10,collinear:4;near_far_correspondence:10;parallel:1;same_azimuth_band:2;same_radial_band:3;spatial_neighbor:10,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0017,GM_RM011,GM_RM011:PV010,development,B,S0MV-GM_RM011-PV010-SEG03,2,2,13,9,background_connected_response_structure:4;compact_response_island:2;extended_response_ridge:2;stable_local_peak:5,13,collinear:4;near_far_correspondence:13;parallel:3;possible_shared_extended_response:6;same_azimuth_band:2;same_radial_band:2;spatial_neighbor:13,6,birth:1;dominant_component_switch:1;unresolved_correspondence:4,5,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0018,GM_RM011,GM_RM011:PV011,development,B,S0MV-GM_RM011-PV011-SEG01,2,2,13,7,background_connected_response_structure:6;extended_response_ridge:1;stable_local_peak:6,5,collinear:1;near_far_correspondence:5;possible_shared_extended_response:2;same_radial_band:1;spatial_neighbor:5,5,birth:1;dominant_component_switch:1;local_relative_shift:1;unresolved_correspondence:2,4,0,0,0,0.000000,0.000000,true,not_applicable,cross_scene_diagnostic_or_counterexample,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0019,GM_RM017,GM_RM017:PV002,development,C,S0MV-GM_RM017-PV002-SEG01,1,1,15,12,background_connected_response_structure:3;compact_response_island:1;stable_local_peak:11,14,collinear:9;near_far_correspondence:14;parallel:5;same_azimuth_band:1;same_radial_band:1;spatial_neighbor:14,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,development,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0020,GM_RM017,GM_RM017:PV002,development,A,S0MV-GM_RM017-PV002-SEG02,65,65,544,416,background_connected_response_structure:128;compact_response_island:65;extended_response_ridge:40;stable_local_peak:311,494,collinear:222;near_far_correspondence:494;parallel:231;possible_shared_extended_response:167;same_azimuth_band:61;same_radial_band:124;spatial_neighbor:494,487,birth:38;death:39;dominant_component_switch:20;global_motion_consistent:202;local_relative_shift:12;merge:8;split:8;stable_persistence:73;strength_decrease:5;strength_increase:3;unresolved_correspondence:79,410,0,0,0,0.250000,0.250000,true,not_applicable,development,formal_temporal,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0021,GM_RM017,GM_RM017:PV003,heldout_validation,A,S0MV-GM_RM017-PV003-SEG01,67,67,674,452,background_connected_response_structure:222;compact_response_island:21;extended_response_ridge:81;stable_local_peak:350,576,collinear:214;near_far_correspondence:576;parallel:229;possible_shared_extended_response:393;same_azimuth_band:60;same_radial_band:170;spatial_neighbor:576,542,birth:70;death:64;dominant_component_switch:21;global_motion_consistent:192;local_relative_shift:10;merge:1;split:4;stable_persistence:68;strength_decrease:1;unresolved_correspondence:111,408,9,0,0,0.000000,0.000000,true,conditional_generic_reproduction,same_scene_heldout_only,formal_temporal,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0022,GM_RM017,GM_RM017:PV004,heldout_validation,A,S0MV-GM_RM017-PV004-SEG01,58,58,1028,734,background_connected_response_structure:294;compact_response_island:61;extended_response_ridge:87;stable_local_peak:586,1674,collinear:598;near_far_correspondence:1674;parallel:421;possible_shared_extended_response:634;same_azimuth_band:257;same_radial_band:260;spatial_neighbor:1674,918,birth:108;death:108;dominant_component_switch:26;global_motion_consistent:221;local_relative_shift:10;merge:21;split:19;stable_persistence:147;strength_decrease:9;strength_increase:6;unresolved_correspondence:243,702,15,0,0,0.000000,0.000000,true,conditional_generic_reproduction,same_scene_heldout_only,formal_temporal,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0023,GM_RM017,GM_RM017:PV004,heldout_validation,C,S0MV-GM_RM017-PV004-SEG02,1,1,20,15,background_connected_response_structure:5;compact_response_island:1;extended_response_ridge:3;stable_local_peak:11,44,collinear:10;near_far_correspondence:44;parallel:10;possible_shared_extended_response:32;same_azimuth_band:6;same_radial_band:6;spatial_neighbor:44,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,same_scene_heldout_only,single_frame_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0024,GM_RM017,GM_RM017:PV004,heldout_validation,B,S0MV-GM_RM017-PV004-SEG03,2,2,27,21,background_connected_response_structure:6;extended_response_ridge:1;stable_local_peak:20,26,collinear:7;near_far_correspondence:26;parallel:10;possible_shared_extended_response:16;same_azimuth_band:7;same_radial_band:8;spatial_neighbor:26,0,,0,0,0,0,0.000000,0.000000,true,not_applicable,same_scene_heldout_only,diagnostic_only,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
S1L-EVAL-0025,GM_RM019,GM_RM019:PV001,development,A,S0MV-GM_RM019-PV001-SEG01,3,3,38,20,background_connected_response_structure:18;compact_response_island:2;extended_response_ridge:2;stable_local_peak:16,28,collinear:10;near_far_correspondence:28;parallel:12;possible_shared_extended_response:8;same_azimuth_band:2;same_radial_band:9;spatial_neighbor:28,16,birth:2;dominant_component_switch:1;stable_persistence:4;strength_decrease:1;unresolved_correspondence:8,14,0,0,0,0.500000,0.500000,true,not_applicable,cross_scene_diagnostic_or_counterexample,formal_temporal,directly_reviewed_complete,heldout uses fixed development protocol and cannot select thresholds or relation/event definitions
