atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,component_id,geometry_type,points,area_px2,confidence,notes
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_TARGET_RESPONSE,0,free_polygon,"968.984,1035.790;1025.984,1028.790;1085.984,1023.790;1154.984,1026.790;1182.984,1040.790;1120.984,1048.790;1025.984,1050.790;966.984,1044.790",4137.000,0.9,"right-half main band is visible but weak; vertical line and fan arc are background/mixed, not part of the target response."
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,PROBABLE_TARGET_RESPONSE,0,free_polygon,"910.984,955.790;948.984,948.790;990.984,961.790;984.984,976.790;938.984,972.790",1347.000,0.45,free geometry; present only where visually observed
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MIXED_STRUCTURE,0,free_polygon,"1092.984,1002.790;1142.984,1006.790;1149.984,1074.790;1108.984,1092.790",3675.000,0.25,free geometry; present only where visually observed
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,UNRESOLVED,0,free_polygon,"1146.984,986.790;1218.984,978.790;1224.984,1084.790;1152.984,1068.790",6744.000,0.2,free geometry; present only where visually observed
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_TARGET_RESPONSE,0,free_polygon,"985.382,1038.473;1047.382,1032.473;1107.382,1029.473;1177.382,1031.473;1217.382,1045.473;1155.382,1053.473;1049.382,1053.473;983.382,1046.473",4219.000,0.9,main band lengthens and remains slightly sloped; upper-left component exists but is not a hard positive.
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,PROBABLE_TARGET_RESPONSE,0,free_polygon,"933.382,962.473;981.382,958.473;1025.382,971.473;1019.382,986.473;959.382,983.473",1708.000,0.45,free geometry; present only where visually observed
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,MIXED_STRUCTURE,0,free_polygon,"1113.382,998.473;1173.382,1002.473;1181.382,1082.473;1135.382,1098.473",4860.000,0.25,free geometry; present only where visually observed
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,UNRESOLVED,0,free_polygon,"1179.382,978.473;1261.382,972.473;1265.382,1088.473;1185.382,1072.473",8480.000,0.2,free geometry; present only where visually observed
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_TARGET_RESPONSE,0,free_polygon,"969.398,1041.798;1035.398,1044.798;1089.398,1053.798;1151.398,1055.798;1223.398,1051.798;1273.398,1042.798;1281.398,1057.798;1229.398,1073.798;1147.398,1077.798;1067.398,1073.798;975.398,1059.798",6593.000,0.9,strong lower bright band appears and broadens; central vertical streak is a background/mixed crossing.
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,PROBABLE_TARGET_RESPONSE,0,free_polygon,"956.398,953.798;999.398,945.798;1043.398,960.798;1041.398,980.798;989.398,977.798",1950.000,0.45,free geometry; present only where visually observed
