atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,geometry_type,points,length_px,confidence,notes
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,MAIN_RESPONSE_SKELETON,polyline,"955.984,1028.790;995.984,1028.790;1035.984,1028.790;1085.984,1028.790;1140.984,1028.790",185.000,1.0,main near-horizontal response relation; not a vehicle centre
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,330,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,HIGH_CONFIDENCE_RESPONSE_SEED,sparse_scribble,"995.984,1028.790;1035.984,1028.790;1085.984,1028.790",90.000,1.0,minimal central seed inside definite response
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,MAIN_RESPONSE_SKELETON,polyline,"982.382,1030.473;1022.382,1030.473;1062.382,1030.473;1112.382,1030.473;1167.382,1030.473",185.000,1.0,main near-horizontal response relation; not a vehicle centre
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,334,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,HIGH_CONFIDENCE_RESPONSE_SEED,sparse_scribble,"1022.382,1030.473;1062.382,1030.473;1112.382,1030.473",90.000,1.0,minimal central seed inside definite response
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,MAIN_RESPONSE_SKELETON,polyline,"1016.398,1030.798;1056.398,1030.798;1096.398,1030.798;1146.398,1030.798;1201.398,1030.798",185.000,1.0,main near-horizontal response relation; not a vehicle centre
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,339,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,HIGH_CONFIDENCE_RESPONSE_SEED,sparse_scribble,"1056.398,1030.798;1096.398,1030.798;1146.398,1030.798",90.000,1.0,minimal central seed inside definite response
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,MAIN_RESPONSE_SKELETON,polyline,"1045.293,1038.731;1085.293,1038.731;1125.293,1038.731;1175.293,1038.731;1230.293,1038.731",185.000,1.0,main near-horizontal response relation; not a vehicle centre
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,HIGH_CONFIDENCE_RESPONSE_SEED,sparse_scribble,"1085.293,1038.731;1125.293,1038.731;1175.293,1038.731",90.000,1.0,minimal central seed inside definite response
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,MAIN_RESPONSE_SKELETON,polyline,"1082.320,1034.422;1122.320,1034.422;1162.320,1034.422;1212.320,1034.422;1267.320,1034.422",185.000,1.0,main near-horizontal response relation; not a vehicle centre
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,HIGH_CONFIDENCE_RESPONSE_SEED,sparse_scribble,"1122.320,1034.422;1162.320,1034.422;1212.320,1034.422",90.000,1.0,minimal central seed inside definite response
