model,group,half_width_deg,anchor_count,full_gt_interval_coverage_fraction,gt_intersection_mask_interval_coverage_fraction,mean_mask_clipped_corridor_width_deg,mean_corridor_expansion_over_gt_width,median_corridor_expansion_over_gt_width
old_linear,complete_all,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
old_linear,complete_all,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
old_linear,complete_all,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
old_linear,complete_all,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
old_linear,complete_all,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
old_linear,complete_all,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
old_linear,complete_all,10.000,65,0.015384615,0.015384615,20.000000000,0.818370817,0.786923206
old_linear,complete_all,15.000,65,0.646153846,0.646153846,30.000000000,1.227556226,1.180384809
old_linear,complete_all,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
old_linear,complete_all,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
old_linear,development_complete,0.500,20,0.000000000,0.000000000,1.000000000,0.035244697,0.035108515
old_linear,development_complete,1.000,20,0.000000000,0.000000000,2.000000000,0.070489395,0.070217030
old_linear,development_complete,2.000,20,0.000000000,0.000000000,4.000000000,0.140978790,0.140434060
old_linear,development_complete,3.000,20,0.000000000,0.000000000,6.000000000,0.211468185,0.210651090
old_linear,development_complete,5.000,20,0.000000000,0.000000000,10.000000000,0.352446975,0.351085150
old_linear,development_complete,8.000,20,0.000000000,0.000000000,16.000000000,0.563915160,0.561736240
old_linear,development_complete,10.000,20,0.000000000,0.000000000,20.000000000,0.704893949,0.702170300
old_linear,development_complete,15.000,20,0.400000000,0.400000000,30.000000000,1.057340924,1.053255450
old_linear,development_complete,20.000,20,1.000000000,1.000000000,40.000000000,1.409787899,1.404340600
old_linear,development_complete,40.000,20,1.000000000,1.000000000,80.000000000,2.819575798,2.808681200
old_linear,heldout_complete,0.500,45,0.000000000,0.000000000,1.000000000,0.043440249,0.042247274
old_linear,heldout_complete,1.000,45,0.000000000,0.000000000,2.000000000,0.086880498,0.084494549
old_linear,heldout_complete,2.000,45,0.000000000,0.000000000,4.000000000,0.173760996,0.168989097
old_linear,heldout_complete,3.000,45,0.000000000,0.000000000,6.000000000,0.260641494,0.253483646
old_linear,heldout_complete,5.000,45,0.000000000,0.000000000,10.000000000,0.434402490,0.422472743
old_linear,heldout_complete,8.000,45,0.000000000,0.000000000,16.000000000,0.695043984,0.675956389
old_linear,heldout_complete,10.000,45,0.022222222,0.022222222,20.000000000,0.868804981,0.844945486
old_linear,heldout_complete,15.000,45,0.755555556,0.755555556,30.000000000,1.303207471,1.267418229
old_linear,heldout_complete,20.000,45,1.000000000,1.000000000,40.000000000,1.737609961,1.689890972
old_linear,heldout_complete,40.000,45,1.000000000,1.000000000,80.000000000,3.475219922,3.379781943
old_linear,mask_clipped_diagnostic,0.500,0,,,,,
old_linear,mask_clipped_diagnostic,1.000,0,,,,,
old_linear,mask_clipped_diagnostic,2.000,0,,,,,
old_linear,mask_clipped_diagnostic,3.000,0,,,,,
old_linear,mask_clipped_diagnostic,5.000,0,,,,,
old_linear,mask_clipped_diagnostic,8.000,0,,,,,
old_linear,mask_clipped_diagnostic,10.000,0,,,,,
old_linear,mask_clipped_diagnostic,15.000,0,,,,,
old_linear,mask_clipped_diagnostic,20.000,0,,,,,
old_linear,mask_clipped_diagnostic,40.000,0,,,,,
old_linear,pose:left_side_dominant,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
old_linear,pose:left_side_dominant,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
old_linear,pose:left_side_dominant,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
old_linear,pose:left_side_dominant,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
old_linear,pose:left_side_dominant,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
old_linear,pose:left_side_dominant,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
old_linear,pose:left_side_dominant,10.000,65,0.015384615,0.015384615,20.000000000,0.818370817,0.786923206
old_linear,pose:left_side_dominant,15.000,65,0.646153846,0.646153846,30.000000000,1.227556226,1.180384809
old_linear,pose:left_side_dominant,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
old_linear,pose:left_side_dominant,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
old_linear,scene:GM_RM017,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
