scene,canonical_vehicle_id,benchmark_role,sar_frame_index,sar_gt_id,bbox,bbox_width_px,bbox_height_px,bbox_width_meter,bbox_height_meter,center_x_px,center_y_px,center_x_meter,center_y_meter,center_radius_px,center_theta_deg,valid_mask_fraction,validity_basis,fan_geometry_fraction,touches_invalid_region,touches_fan_geometry_outside,touches_image_boundary,neighbor_vehicle_overlap_risk,neighbor_rotated_overlap_ratio,center_jump_from_previous,center_jump_per_sar_frame,size_jump_from_previous,aspect_jump_from_previous,gt_quality_status,quality_evidence,identity_link_status,identity_link_confidence,optical_frame_index,optical_visibility_state,optical_full_vehicle_visible,multi_vehicle_competition,notes,gt_valid_mask_fraction,gt_inside_valid_mask,gt_touches_valid_mask_boundary,gt_clipped_by_valid_mask,optical_vehicle_full_visibility,optical_vehicle_boundary_truncation,optical_pose_group,sar_response_completeness,mapping_anchor_eligibility,mapping_exclusion_reason
GM_RM011,GM_RM011:PV001,development,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,"[1140.347,1244.238,136.103,69.358,-12.000]",136.103,69.358,,,1140.347,1244.238,,,87.435,-8.983562,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,,,,,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,0,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|2|O2:car:0.87,"[1272.217,1152.230,145.119,70.695,48.000]",145.119,70.695,,,1272.217,1152.230,,,213.989,33.534936,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,,,,,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,0,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,1,GM_RM011|000001|GM_RM011|000001.png|000000.png|1|O1:car:0.95,"[1146.642,1243.802,143.942,75.440,-8.000]",143.942,75.440,,,1146.642,1243.802,,,87.109,-4.845467,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,6.310,6.310,0.140055,0.028058,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,0,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,1,GM_RM011|000001|GM_RM011|000001.png|000000.png|2|O2:car:0.87,"[1282.522,1152.115,80.740,149.827,-40.000]",80.740,149.827,,,1282.522,1152.115,,,219.943,35.756593,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,10.306,10.306,0.164786,1.337426,diagnostic_only,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=true;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,0,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,unreliable_or_partial_gt_geometry,pose_or_geometry_diagnostic,gt_quality_not_gold_or_usable
GM_RM011,GM_RM011:PV001,development,2,GM_RM011|000002|GM_RM011|000002.png|000001.png|1|O1:car:0.96,"[1148.642,1241.802,143.942,75.440,-8.000]",143.942,75.440,,,1148.642,1241.802,,,88.960,-3.452995,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,2.828,2.828,0.000000,0.000000,diagnostic_only,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,1,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,unreliable_or_partial_gt_geometry,pose_or_geometry_diagnostic,gt_quality_not_gold_or_usable
GM_RM011,GM_RM011:PV002,development,2,GM_RM011|000002|GM_RM011|000002.png|000001.png|2|O2:car:0.86,"[1286.522,1150.115,78.740,147.827,-30.000]",78.740,147.827,,,1286.522,1150.115,,,223.913,36.288160,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,4.472,4.472,0.038521,0.011644,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,1,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,3,GM_RM011|000003|GM_RM011|000003.png|000001.png|1|O1:car:0.96,"[1150.642,1246.802,133.942,65.440,0.000]",133.942,65.440,,,1150.642,1246.802,,,83.865,-2.294761,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,5.385,5.385,0.214208,0.070200,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,1,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,3,GM_RM011|000003|GM_RM011|000003.png|000001.png|2|O2:car:0.86,"[1292.522,1152.115,74.740,143.827,-30.000]",74.740,143.827,,,1292.522,1152.115,,,225.932,37.814997,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,6.325,6.325,0.079567,0.024704,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,1,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,4,GM_RM011|000004|GM_RM011|000004.png|000002.png|1|O1:car:0.96,"[1151.642,1247.802,133.942,65.440,3.000]",133.942,65.440,,,1151.642,1247.802,,,82.832,-1.631283,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,1.414,1.414,0.000000,0.000000,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,2,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,4,GM_RM011|000004|GM_RM011|000004.png|000002.png|2|O2:car:0.81,"[1294.522,1151.115,78.740,147.827,-30.000]",78.740,147.827,,,1294.522,1151.115,,,227.950,38.058024,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,2.236,2.236,0.079567,0.024704,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,2,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
