scene,canonical_vehicle_id,benchmark_role,vehicle_research_role,sar_frame_index,optical_frame_index,sar_gt_id,gt_quality_status,gt_inside_imaging_valid_mask,identity_link_status,multi_vehicle_competition,optical_visibility_state,optical_vehicle_full_visibility,sar_image_readable,mapping_anchor_eligible,s1l_structure_frame_eligible,s1l_temporal_eligible,segment_id,exclusion_reason,temporal_exclusion_reason,belongs_to_preselected_12,notes
GM_RM011,GM_RM011:PV001,development,structure_development,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV001-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV002,development,structure_development,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|2|O2:car:0.87,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV002-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV001,development,structure_development,1,0,GM_RM011|000001|GM_RM011|000001.png|000000.png|1|O1:car:0.95,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV001-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV002,development,structure_development,1,0,GM_RM011|000001|GM_RM011|000001.png|000000.png|2|O2:car:0.87,diagnostic_only,true,linked_detection_overlap_high,true,partial_visible,false,true,false,false,false,S0MV-GM_RM011-PV002-SEG01,gt_quality_diagnostic_only,structure_frame_not_eligible,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV001,development,structure_development,2,1,GM_RM011|000002|GM_RM011|000002.png|000001.png|1|O1:car:0.96,diagnostic_only,true,linked_detection_overlap_high,true,partial_visible,false,true,false,false,false,S0MV-GM_RM011-PV001-SEG01,gt_quality_diagnostic_only,structure_frame_not_eligible,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV002,development,structure_development,2,1,GM_RM011|000002|GM_RM011|000002.png|000001.png|2|O2:car:0.86,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV002-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV001,development,structure_development,3,1,GM_RM011|000003|GM_RM011|000003.png|000001.png|1|O1:car:0.96,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV001-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV002,development,structure_development,3,1,GM_RM011|000003|GM_RM011|000003.png|000001.png|2|O2:car:0.86,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV002-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV001,development,structure_development,4,2,GM_RM011|000004|GM_RM011|000004.png|000002.png|1|O1:car:0.96,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV001-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
GM_RM011,GM_RM011:PV002,development,structure_development,4,2,GM_RM011|000004|GM_RM011|000004.png|000002.png|2|O2:car:0.81,usable,true,linked_detection_overlap_high,true,partial_visible,false,true,false,true,true,S0MV-GM_RM011-PV002-SEG01,,,false,"optical full visibility and mapping eligibility are descriptive, not S1-L structure hard gates"
