example_id,scene,vehicle_id,sar_frame,optical_frame,observation_instance_id,observation_type,direct_visual_description,pixel_geometry,metric_geometry,gt_reference_status,optical_presence_status,sar_attribution_status,evidence_layer,relation_type,related_instance_id,relation_basis,counterevidence,uncertainty_state,allowed_conclusion,forbidden_conclusion,canonical_evidence_path,source_evidence_path,reviewer_note
SR001,GM_RM017,GM_RM017:PV002,330,158,GM17_PV002_F330_R01,SARLocalResponseInstance,GT 下侧可直接看到一条较长但不完整的亮响应。,lower long-axis side; approx 90-145 px visible span,approx 2.70-4.35 m display-grid span,usable/high,PRESENT_FULL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,当前帧存在一个车辆相关的局部响应实例。,该实例是完整车辆或跨帧固定物理部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,R01 只在 SAR 330 有效。
SR002,GM_RM017,GM_RM017:PV002,330,158,GM17_PV002_F330_R02,SARLocalResponseInstance,GT 右端附近可见一个局部紧凑响应。,right/endpoint-side compact cluster; approx 15-35 px,approx 0.45-1.05 m apparent extent,usable/high,PRESENT_FULL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,可记录为本帧第二个局部实例。,自动命名为车头、车尾或确定散射中心。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,与 R01 共现不等于固定部件图谱。
SR003,GM_RM017,GM_RM017:PV002,339,163,GM17_PV002_F339_R01,SARLocalResponseInstance,下侧响应比 330 更亮、更宽，局部组合发生变化。,broad lower response,vehicle-scale partial span; not an entity length,usable/high,PRESENT_FULL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,同车另一帧提供不同局部信息。,与 F330_R01 是同一物理散射部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,
SR004,GM_RM017,GM_RM017:PV002,344,165,GM17_PV002_F344_R01,SARLocalResponseInstance,宽下侧响应占据 GT 下半部，上部仍不完整。,broad lower-half response,multi-meter partial response,usable/high,PRESENT_FULL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,响应完整度随帧改变而车辆身份不变。,逐帧刚性模板成立。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,
SR005,GM_RM017,GM_RM017:PV002,350,168,GM17_PV002_F350_R01,SARLocalResponseInstance,下侧响应和端点能量仍在，但宽度与强度不同。,lower/near-side response with endpoint energy,partial vehicle-scale response,usable/high,PRESENT_FULL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,本帧局部响应未消失。,多帧并集是完整车辆。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,
SR006,GM_RM017,GM_RM017:PV003,330,158,GM17_PV003_F330_R01,SARLocalResponseInstance,白色 SUV 的 GT 内只有弱下侧/右侧响应，明显弱于 PV002。,weak lower/right response,partial span only,usable/high,PRESENT_PARTIAL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,PV003 可有弱而碎的局部显现。,PV002 强下侧长带可跨车推广。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR007,GM_RM017,GM_RM017:PV003,335,161,GM17_PV003_F335_G01_G02,GTGeometryReference,同一 PV003 在同帧出现两个 diagnostic-only 框。,two centers separated by 179.1 px,approx 5.37 m separation,duplicate/conflicting,PRESENT_PARTIAL,UNRESOLVED,UNKNOWN,,,,,DUPLICATE_SAME_ID_BOX;IDENTITY_LINK_CONFLICT,保留同 ID 双框冲突。,把两框间位移解释为单车响应传播。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR008,GM_RM017,GM_RM017:PV003,336,161,GM17_PV003_F336_G01_G02,GTGeometryReference,同 ID 双框冲突持续。,two centers separated by 168.5 px,approx 5.05 m separation,duplicate/conflicting,PRESENT_PARTIAL,UNRESOLVED,UNKNOWN,,,,,DUPLICATE_SAME_ID_BOX;IDENTITY_LINK_CONFLICT,冲突不是单帧偶然标签。,用亮度选一个框并自动修正身份。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR009,GM_RM017,GM_RM017:PV003,337,162,GM17_PV003_F337_R01,SARLocalResponseInstance,PV003 主位置内仅见弱下侧响应；上左轨迹被标为 PV004。,weak lower response in PV003 main box,partial local response,diagnostic_only/high,PRESENT_FULL,UNRESOLVED,DIRECT_OBSERVATION,,,,,IDENTITY_LINK_CONFLICT,335-337 应作为身份/几何转换冲突处理。,同一响应部件从一个框传播到另一个框。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR010,GM_RM017,GM_RM017:PV003,350,168,GM17_PV003_F350_R01,SARLocalResponseInstance,GT 内可见碎片化下侧响应和端点热点。,fragmented lower segment and endpoint hotspot,approx 1.8-3.9 m partial span,usable/high,PRESENT_FULL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,PV003 的局部响应与 PV002 显现不同。,固定切线跨车辆成立。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png,
