research_unit_id,scene,canonical_vehicle_id,source_segment_id,target_region_id,benchmark_role,research_role,unit_type,counterfactual_semantic_class,temporal_direction_applicability,temporal_correspondence_applicability,vehicle_present_in_target,valid_for_identity_test,valid_for_vehicle_class_test,valid_for_temporal_test,valid_for_temporal_test_scope,valid_for_temporal_correspondence_test,valid_for_temporal_direction_test,background_spatial_control_group,background_parameter_envelope_group,background_control_semantic_role,transform_rule_id,frame_count,freeze_source,replay_status,optical_identity_source,center_source,axis_source,scale_source,gt_information_debt,optical_condition_execution_status,counterfactual_scope_limitation,vehicle_absence_evidence_scope,anchor_variant_contract,pair_membership_source_segment_id,pair_membership_contract,background_type,background_quality_status,background_reviewed_gt_overlap,config_hash,review_status,notes
S0MV-GM_RM017-PV002-SEG02,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S0MV-GM_RM017-PV002-SEG02,development,mechanism_discovery_gt_proxy,vehicle_thread,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,true,false,true,true,POSITIVE_REFERENCE_FOR_CORRESPONDENCE_ONLY,true,false,,,,TRUE_VEHICLE_TRAJECTORY,65,S0MV-GM_RM017-PV002-SEG02,DEVELOPMENT_FROZEN,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,NONE,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,
S0MV-GM_RM017-PV003-SEG01,GM_RM017,GM_RM017:PV003,S0MV-GM_RM017-PV003-SEG01,S0MV-GM_RM017-PV003-SEG01,heldout_validation,within_scene_other_vehicle_fixed_rule_replay,vehicle_thread,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,true,false,true,true,POSITIVE_REFERENCE_FOR_CORRESPONDENCE_ONLY,true,false,,,,TRUE_VEHICLE_TRAJECTORY,67,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,NONE,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV003-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,
S0MV-GM_RM017-PV004-SEG01,GM_RM017,GM_RM017:PV004,S0MV-GM_RM017-PV004-SEG01,S0MV-GM_RM017-PV004-SEG01,heldout_validation,within_scene_other_vehicle_fixed_rule_replay,vehicle_thread,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,true,false,true,true,POSITIVE_REFERENCE_FOR_CORRESPONDENCE_ONLY,true,false,,,,TRUE_VEHICLE_TRAJECTORY,58,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,NONE,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV004-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,
SWAP-GM_RM017_PV002-AROUND-GM_RM017_PV003,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S0MV-GM_RM017-PV003-SEG01,counterfactual,identity_specificity_falsification,trajectory_swap,IDENTITY_NEGATIVE_CLASS_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,true,true,false,false,NOT_APPLICABLE,false,false,,,,SOURCE_TRAJECTORY_TRANSLATED_TO_OTHER_REAL_VEHICLE,58,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,PV002_PV003_SWAP_SCOPE_ONLY;NO_PV004_IDENTITY_SWAP,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,identity negative for source vehicle; class positive because target region contains another reviewed real vehicle
SWAP-GM_RM017_PV003-AROUND-GM_RM017_PV002,GM_RM017,GM_RM017:PV003,S0MV-GM_RM017-PV003-SEG01,S0MV-GM_RM017-PV002-SEG02,counterfactual,identity_specificity_falsification,trajectory_swap,IDENTITY_NEGATIVE_CLASS_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,true,true,false,false,NOT_APPLICABLE,false,false,,,,SOURCE_TRAJECTORY_TRANSLATED_TO_OTHER_REAL_VEHICLE,58,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,PV002_PV003_SWAP_SCOPE_ONLY;NO_PV004_IDENTITY_SWAP,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV003-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,identity negative for source vehicle; class positive because target region contains another reviewed real vehicle
CLASS-NEGATIVE-S1L-BG-0010,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S1L-BG-0010,counterfactual,vehicle_class_falsification,background_counterfactual,VEHICLE_CLASS_NEGATIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,false,false,true,false,NOT_APPLICABLE,false,false,GM_RM017|SPATIAL_CLUSTER_1,GM_RM017|PARAMETER_ENVELOPE_CLUSTER_1,MOVING_SAME_AZIMUTH_BACKGROUND,SOURCE_TRAJECTORY_SHIFTED_TO_BACKGROUND,65,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,BACKGROUND_POSITIONS_AND_SUPPORT_GEOMETRY_FROZEN_FROM_PV002_ONLY,NO_REVIEWED_GT_OVERLAP_PLUS_DIRECT_REVIEW;NOT_ABSOLUTE_PHYSICAL_ABSENCE_PROOF,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,same_azimuth_neighbor,FROZEN_USABLE_PROPOSAL;SAME_BASELINE_SPATIAL_CLUSTER_AS_BG0011,0.000000,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,frozen background position proposal; re-evaluated with equal support and direct visual review
CLASS-NEGATIVE-S1L-BG-0011,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S1L-BG-0011,counterfactual,vehicle_class_falsification,background_counterfactual,VEHICLE_CLASS_NEGATIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,false,false,true,false,NOT_APPLICABLE,false,false,GM_RM017|SPATIAL_CLUSTER_1,GM_RM017|PARAMETER_ENVELOPE_CLUSTER_1,FIXED_STRONG_LINEAR_SAME_CLUSTER_DIAGNOSTIC,FIXED_WORLD_BACKGROUND,65,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,BACKGROUND_POSITIONS_AND_SUPPORT_GEOMETRY_FROZEN_FROM_PV002_ONLY,NO_REVIEWED_GT_OVERLAP_PLUS_DIRECT_REVIEW;NOT_ABSOLUTE_PHYSICAL_ABSENCE_PROOF,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fixed_strong_linear_background,CONTROL_QUALITY_LIMITED;STRONG_LINE_ROLE;SAME_BASELINE_SPATIAL_CLUSTER_AS_BG0010,0.000000,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,frozen background position proposal; re-evaluated with equal support and direct visual review
CLASS-NEGATIVE-S1L-BG-OCS-B3-SA35N,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S1L-BG-OCS-B3-SA35N,counterfactual,vehicle_class_falsification,background_counterfactual,VEHICLE_CLASS_NEGATIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,false,false,true,false,NOT_APPLICABLE,false,false,GM_RM017|SPATIAL_CLUSTER_2,GM_RM017|PARAMETER_ENVELOPE_CLUSTER_2,MOVING_HARD_SCATTER_PARTIAL_COMPLEXITY_BACKGROUND,SOURCE_TRAJECTORY_SHIFTED_TO_BACKGROUND,65,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,BACKGROUND_POSITIONS_AND_SUPPORT_GEOMETRY_FROZEN_FROM_PV002_ONLY,NO_REVIEWED_GT_OVERLAP_PLUS_DIRECT_REVIEW;NOT_ABSOLUTE_PHYSICAL_ABSENCE_PROOF,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,hard_scatter_partial_complexity_match,B3_HARD_CONSTRAINT_PASS;HARD_SCATTER_ROLE_SUPPORTED;VEHICLE_COMPLEXITY_MATCH_PARTIAL;USABLE_VEHICLE_CLASS_NEGATIVE_WITH_LIMITATIONS,0.000000,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,"first hard-constraint-feasible offset in the frozen proposal enumeration; valid mask 1.0, zero reviewed-GT overlap, spatially disjoint from BG0010/BG0011; direct 65-frame review found isolated strong scatter, sidelobes and arcs but no persistent vehicle-shaped support; complexity match remains partial"
CLASS-NEGATIVE-S1L-BG-OCS-B4-FX88,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S1L-BG-OCS-B4-FX88,counterfactual,vehicle_class_falsification,background_counterfactual,VEHICLE_CLASS_NEGATIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,false,false,true,false,NOT_APPLICABLE,false,false,GM_RM017|SPATIAL_CLUSTER_3,GM_RM017|PARAMETER_ENVELOPE_CLUSTER_1,FIXED_ANISOTROPIC_SPECKLE_CONTROL_NOT_STRONG_LINE,FIXED_WORLD_BACKGROUND,65,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,BACKGROUND_POSITIONS_AND_SUPPORT_GEOMETRY_FROZEN_FROM_PV002_ONLY,NO_REVIEWED_GT_OVERLAP_PLUS_DIRECT_REVIEW;NOT_ABSOLUTE_PHYSICAL_ABSENCE_PROOF,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fixed_anisotropic_speckle_not_strong_line,B4_HARD_CONSTRAINT_PASS;FIXED_ANISOTROPIC_SPECKLE_ROLE;NOT_STRONG_LINE;BASELINE_SPATIALLY_DISJOINT;PARAMETER_ENVELOPE_CLUSTER_LIMITED,0.000000,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,"FX_8_8 from the frozen fixed-offset enumeration; full valid support, zero reviewed-GT overlap and zero baseline rotated-footprint overlap with BG0010, BG0011 and B3; direct 65-frame review found no persistent strong line or vehicle-shaped support; strict one-dimensional parameter envelope is not disjoint from BG0010"
S0MV-GM_RM017-PV002-SEG02|TEMPORAL_SHUFFLE,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S0MV-GM_RM017-PV002-SEG02,development,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,IMAGE_ORDER_DETERMINISTIC_SHUFFLE,65,S0MV-GM_RM017-PV002-SEG02,DEVELOPMENT_FROZEN,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,deterministic image-order shuffle with anchors held at original time; correspondence control only
