case_id,artifact_type,research_unit_id,counterfactual_semantic_class,artifact_path,review_status,notes
S0MV-GM_RM017-PV002-SEG02|AXIS_PLACEBOS,axis_placebo_mean_fields,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02\axis_placebo_mean_fields.png,directly_reviewed_complete,"same centre, size, support and pair contract; no axis ordering or aggregate score"
S0MV-GM_RM017-PV002-SEG02|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV002-SEG02|PARAMETER_PROFILES,per_parameter_dual_normalization_profiles,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02\per_parameter_dual_normalization_profiles.png,directly_reviewed_complete,five one-dimensional parameter profiles; fixed and local normalization are not averaged
S0MV-GM_RM017-PV003-SEG01|AXIS_PLACEBOS,axis_placebo_mean_fields,S0MV-GM_RM017-PV003-SEG01,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV003-SEG01\axis_placebo_mean_fields.png,directly_reviewed_complete,"same centre, size, support and pair contract; no axis ordering or aggregate score"
S0MV-GM_RM017-PV003-SEG01|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV003-SEG01,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV003-SEG01\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV003-SEG01|PARAMETER_PROFILES,per_parameter_dual_normalization_profiles,S0MV-GM_RM017-PV003-SEG01,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV003-SEG01\per_parameter_dual_normalization_profiles.png,directly_reviewed_complete,five one-dimensional parameter profiles; fixed and local normalization are not averaged
S0MV-GM_RM017-PV004-SEG01|AXIS_PLACEBOS,axis_placebo_mean_fields,S0MV-GM_RM017-PV004-SEG01,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV004-SEG01\axis_placebo_mean_fields.png,directly_reviewed_complete,"same centre, size, support and pair contract; no axis ordering or aggregate score"
S0MV-GM_RM017-PV004-SEG01|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV004-SEG01,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV004-SEG01\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV004-SEG01|PARAMETER_PROFILES,per_parameter_dual_normalization_profiles,S0MV-GM_RM017-PV004-SEG01,TRUE_VEHICLE_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV004-SEG01\per_parameter_dual_normalization_profiles.png,directly_reviewed_complete,five one-dimensional parameter profiles; fixed and local normalization are not averaged
SWAP-GM_RM017_PV002-AROUND-GM_RM017_PV003|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,SWAP-GM_RM017_PV002-AROUND-GM_RM017_PV003,IDENTITY_NEGATIVE_CLASS_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\SWAP-GM_RM017_PV002-AROUND-GM_RM017_PV003\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
