component_card_id,case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,alpha_deg,beta_deg,radius_px,theta_deg,optical_pose_review,identifiability_status,component_role,component_instance_label,source_role,source_geometry_type,source_points_sar_px,overlay_status,raw_gray_visibility,display_dependency,vehicle_uv_centroid_px,vehicle_uv_range_px,radar_rhotau_centroid_px,main_orientation_to_u_deg,approx_length_px,approx_width_px,approx_length_m_grid,approx_width_m_grid,touches_gt_boundary,crosses_gt_boundary,extends_beyond_vehicle_length,cross_frame_correspondence,vehicle_body_explanation,vehicle_ground_explanation,background_explanation,responsibility_status,evidence_figure,source_note,gt_usage_boundary
CC_GM_RM017_PV002_S0330_NSB_0,ELIG_GM_RM017_PV002_S0330,GM_RM017,GM_RM017:PV002,158,330,73.145406,16.854594,335.992161,-17.854594,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"968.984,1035.790;1025.984,1028.790;1085.984,1023.790;1154.984,1026.790;1182.984,1040.790;1120.984,1048.790;1025.984,1050.790;966.984,1044.790",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[15.156,27.019]","u[-84.581,131.456];v[13.609,39.558]","[30.252,-6.671]",0.178,216.037,25.949,6.481,0.778,true,true,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,"right-half main band is visible but weak; vertical line and fan arc are background/mixed, not part of the target response.","research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0330_OHS_0,ELIG_GM_RM017_PV002_S0330,GM_RM017,GM_RM017:PV002,158,330,73.145406,16.854594,335.992161,-17.854594,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"910.984,955.790;948.984,948.790;990.984,961.790;984.984,976.790;938.984,972.790",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-95.155,-49.268]","u[-139.019,-59.136];v[-63.771,-35.147]","[-74.741,76.782]",9.802,79.883,28.624,2.396,0.859,true,false,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0330_RBC_0,ELIG_GM_RM017_PV002_S0330,GM_RM017,GM_RM017:PV002,158,330,73.145406,16.854594,335.992161,-17.854594,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1092.984,1002.790;1142.984,1006.790;1149.984,1074.790;1108.984,1092.790",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[72.154,34.765]","u[42.133,97.868];v[-7.266,83.000]","[54.192,-58.975]",82.509,55.735,90.266,1.672,2.708,false,true,true,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0330_UMS_0,ELIG_GM_RM017_PV002_S0330,GM_RM017,GM_RM017:PV002,158,330,73.145406,16.854594,335.992161,-17.854594,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1146.984,986.790;1218.984,978.790;1224.984,1084.790;1152.984,1068.790",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[134.648,21.353]","u[96.404,172.682];v[-29.063,77.025]","[59.476,-122.673]",78.856,76.278,106.089,2.288,3.183,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0334_NSB_0,ELIG_GM_RM017_PV002_S0334,GM_RM017,GM_RM017:PV002,160,334,78.540230,11.459770,329.168064,-13.459770,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"985.382,1038.473;1047.382,1032.473;1107.382,1029.473;1177.382,1031.473;1217.382,1045.473;1155.382,1053.473;1049.382,1053.473;983.382,1046.473",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[11.915,31.310]","u[-95.199,138.693];v[20.035,45.696]","[33.053,-5.456]",1.881,233.892,25.661,7.017,0.770,false,true,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,main band lengthens and remains slightly sloped; upper-left component exists but is not a hard positive.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0334_OHS_0,ELIG_GM_RM017_PV002_S0334,GM_RM017,GM_RM017:PV002,160,334,78.540230,11.459770,329.168064,-13.459770,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"933.382,962.473;981.382,958.473;1025.382,971.473;1019.382,986.473;959.382,983.473",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-92.217,-41.243]","u[-142.237,-50.607];v[-55.319,-26.010]","[-58.743,82.184]",9.362,91.630,29.309,2.749,0.879,false,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0334_RBC_0,ELIG_GM_RM017_PV002_S0334,GM_RM017,GM_RM017:PV002,160,334,78.540230,11.459770,329.168064,-13.459770,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1113.382,998.473;1173.382,1002.473;1181.382,1082.473;1135.382,1098.473",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[72.234,37.544]","u[36.397,101.424];v[-10.736,89.971]","[51.147,-63.335]",80.422,65.027,100.707,1.951,3.021,false,true,true,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0334_UMS_0,ELIG_GM_RM017_PV002_S0334,GM_RM017,GM_RM017:PV002,160,334,78.540230,11.459770,329.168064,-13.459770,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1179.382,978.473;1261.382,972.473;1265.382,1088.473;1185.382,1072.473",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[144.801,22.567]","u[103.055,185.214];v[-31.555,84.514]","[50.886,-137.430]",81.076,82.159,116.069,2.465,3.482,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0339_NSB_0,ELIG_GM_RM017_PV002_S0339,GM_RM017,GM_RM017:PV002,163,339,87.527571,2.472429,327.583989,-7.472429,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"969.398,1041.798;1035.398,1044.798;1089.398,1053.798;1151.398,1055.798;1223.398,1051.798;1273.398,1042.798;1281.398,1057.798;1229.398,1073.798;1147.398,1077.798;1067.398,1073.798;975.398,1059.798",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[15.227,53.348]","u[-144.597,164.821];v[23.487,78.026]","[53.955,-12.911]",5.839,309.418,54.539,9.283,1.636,true,true,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,strong lower bright band appears and broadens; central vertical streak is a background/mixed crossing.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0339_OHS_0,ELIG_GM_RM017_PV002_S0339,GM_RM017,GM_RM017:PV002,163,339,87.527571,2.472429,327.583989,-7.472429,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"956.398,953.798;999.398,945.798;1043.398,960.798;1041.398,980.798;989.398,977.798",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-101.338,-51.026]","u[-149.878,-63.819];v[-69.533,-31.006]","[-55.350,99.043]",15.564,86.059,38.527,2.582,1.156,false,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
