"scene","evidence_id","frame_start","frame_end","object_or_tracklet_a","object_or_tracklet_b","relation","relation_strength","vehicle_description","evidence_type","evidence_source","failure_or_state_type","notes"
"GM_RM011","GM011_P1A_E001","0","18","near_white_car_000_018","same lifecycle local observations","same_vehicle","high","near-field white car with progressive side/rear/front partial views","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM011_000_035_raw_strip.jpg; reports/oty2/oty2_yolo26l_wgv1_4b_long_window_identity_stability_stress_test_20260709.md","entering;active_visible;edge_truncation","Tracker/crop changes do not change the physical referent in this interval."
"GM_RM011","GM011_P1A_E002","0","35","near_white_car_000_018","front_white_car_031_035","different_vehicle","high","two white vehicles with a turnover and incompatible spatial continuity","full_stream_visual_plus_historical","outputs/oty2_p1a_visual_audit_20260713/GM_RM011_000_035_raw_strip.jpg; reports/oty2/oty2_yolo26l_identity_safe_timeline_mechanism_diagnosis_20260707.md","same_color_replacement;vehicle_turnover","Do not connect frame-35 subject to the earlier near-field car merely because both are white."
"GM_RM011","GM011_P1A_E003","18","30","GM_RM011_Y26N004","internal selected observations","subject_switch","high","selected bbox jumps among left/mid/right competing vehicles","historical_full_bbox_flow","reports/oty2/oty2_yolo26l_identity_safe_timeline_mechanism_diagnosis_20260707.md","over_merged_node;node_identity_switch","Split review is required around 26-30."
"GM_RM011","GM011_P1A_E004","135","166","white_car_main_subject","dark_car_or_occluder_subject","subject_switch","high","white vehicle remains the lifecycle of interest while a dark vehicle/occluder temporarily becomes the selected detector subject","full_stream_visual_plus_historical","outputs/oty2_p1a_visual_audit_20260713/GM_RM011_135_166_raw_strip.jpg; reports/oty2/oty2_yolo26l_identity_safe_timeline_mechanism_diagnosis_20260707.md","occlusion_driven_target_switch","A detector-primary switch is not a physical identity replacement."
"GM_RM011","GM011_P1A_E005","151","166","white_car_151_166","local observations across scooter/covered-vehicle competition","same_vehicle","high","same white car remains visible through truncation and local competition","full_stream_visual_plus_wgv","outputs/oty2_p1a_visual_audit_20260713/GM_RM011_135_166_raw_strip.jpg; reports/oty2/oty2_yolo26l_wgv1_4b_long_window_identity_stability_stress_test_20260709.md","active_visible;partially_occluded;exiting","Safe as a local optical identity constraint, not a final cross-modal thread."
"GM_RM011","GM011_P1A_E006","237","245","right_white_car_at_237","left_white_car_at_245","different_vehicle","high","two white vehicles occupy incompatible positions and form a turnover/encounter","current_full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM011_231_292_raw_strip.jpg","multi_vehicle_encounter;same_color_replacement","Current complete-stream review overrides any temptation to read the whole 231-288 WGV thread as physical identity truth."
"GM_RM011","GM011_P1A_E007","245","262","left_or_central_white_car_245_262","its local observations","same_vehicle","high","locally continuous white vehicle across full frames including partial-body views","current_full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM011_231_292_raw_strip.jpg","active_visible;partial_body;detector_dropout","Local same-vehicle relation only; it does not authorize merging the entire 231-288 interval."
"GM_RM011","GM011_P1A_E008","246","261","visible_white_vehicle_body","current graph/render subject","visible_but_unboxed","high","vehicle body is visible while selected graph/render boxes are absent partial or skipped","historical_diagnostic_plus_visual","reports/oty2/oty2_gm_rm011_237_270_visible_unboxed_vehicle_gap_diagnosis_20260706.md; outputs/oty2_p1a_visual_audit_20260713/GM_RM011_231_292_overlay_strip.jpg","visible_unboxed_vehicle_gap;graph_omission","Frames 249/252/253 are baseline misses; bs_0051-like body observations were omitted from the old node/render path."
"GM_RM011","GM011_P1A_E009","262","288","white_vehicle_observations_after_262","GM_RM011_WGV14T005 claim","unresolved","medium","right/central white vehicle observations with competitor pressure and disputed long-window continuity","evidence_conflict","reports/oty2/oty2_yolo26l_wgv1_4b_long_window_identity_stability_stress_test_20260709.md; outputs/oty2_p1a_visual_audit_20260713/GM_RM011_231_292_raw_strip.jpg","same_color_competition;historical_thread_conflict","WGV1.4b calls 231-288 stable but only optical_search_hint_only; current P1-A preserves this as weak/unresolved rather than identity truth."
"GM_RM011","GM011_P1A_E010","279","292","right_white_car_279_288","left_white_suv_289_292","forbidden_merge","high","right-side car and later left/rear white SUV are distinct vehicles","historical_long_window_visual","reports/oty2/oty2_yolo26l_wgv1_4b_long_window_identity_stability_stress_test_20260709.md","competitor_switch;exit_and_new_entry","Preserve WGV boundary M016."
"GM_RM011","GM011_P1A_E011","","","bs_0015_seg_001","bs_0015_seg_002","temporally_continuous","high","same white vehicle front/windshield/hood across a short gap","historical_referent_audit","reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","short_gap_recovery","Diagnostic local connection only."
