audit_id,audit_scope,forward_case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,gt_id,gt_quality,bbox_width_px,bbox_height_px,raw_angle_deg,old_interpreted_axis_deg,corner_long_axis_deg,old_to_corrected_axis_delta_deg,long_edge_px,short_edge_px,selected_long_edge_index,reconstructed_corners_xy,heading_min_deg,heading_max_deg,old_target_heading_covered,corrected_target_heading_covered,old_90_control_axis_deg,corner_90_control_axis_deg,old_90_control_excluded,corrected_90_control_excluded,control_reconstructed_corners_xy,conclusion_change,scientific_note
G1R1LA0001,G1_REVEAL_CASE,G1F0001,GM_RM017,GM_RM017:PV002,154,321,GM_RM017|000321|gm_rm017_00025,usable,154.423000,74.500000,0.000000,0.000000,0.000000,0.000000,154.423000,74.500000,0,916.621:967.500;1071.044:967.500;1071.044:1042.000;916.621:1042.000,-13.000000,9.000000,true,true,-90.000000,90.000000,true,true,1031.083:927.538;1031.083:1081.961;956.583:1081.961;956.583:927.538,UNCHANGED,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0002,G1_REVEAL_CASE,G1F0002,GM_RM017,GM_RM017:PV002,164,342,GM_RM017|000342|gm_rm017_00048,usable,149.050000,69.700000,178.000000,-2.000000,-2.000000,0.000000,149.050000,69.700000,0,1202.856:1041.158;1053.897:1046.360;1051.464:976.702;1200.423:971.500,-14.000000,8.000000,true,true,88.000000,88.000000,true,true,1094.932:1084.626;1089.730:935.667;1159.388:933.234;1164.590:1082.193,UNCHANGED,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0003,G1_REVEAL_CASE,G1F0003,GM_RM017,GM_RM017:PV002,173,361,GM_RM017|000361|gm17supp_000173_000361_det2,usable,162.497000,71.039000,-3.000000,-3.000000,-3.000000,0.000000,162.497000,71.039000,0,1167.591:977.568;1329.865:969.064;1333.583:1040.006;1171.309:1048.510,-20.000000,20.000000,true,true,87.000000,87.000000,true,true,1281.806:925.791;1290.310:1088.065;1219.368:1091.783;1210.864:929.509,UNCHANGED,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0004,G1_REVEAL_CASE,G1F0004,GM_RM019,GM_RM019:PV001,0,0,GM_RM019|000000|gm_rm019_00001,usable,145.813000,64.500000,1.000000,1.000000,1.000000,0.000000,145.813000,64.500000,0,1105.054:1164.533;1250.845:1167.077;1249.720:1231.567;1103.929:1229.023,-20.000000,20.000000,true,true,-89.000000,-89.000000,true,true,1210.904:1125.717;1208.360:1271.508;1143.870:1270.383;1146.414:1124.592,UNCHANGED,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0005,G1_REVEAL_CASE,G1F0013,GM_RM011,GM_RM011:PV002,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|2|O2:car:0.87,usable,145.119000,70.695000,48.000000,48.000000,48.000000,0.000000,145.119000,70.695000,0,1249.934:1074.656;1347.037:1182.500;1294.500:1229.804;1197.397:1121.960,-90.000000,90.000000,true,true,-42.000000,-42.000000,false,false,1349.791:1129.947;1241.947:1227.050;1194.643:1174.513;1302.487:1077.410,UNCHANGED,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0006,G1_REVEAL_CASE,G1F0014,GM_RM011,GM_RM011:PV002,2,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|2|O2:car:0.81,usable,78.740000,147.827000,-29.000000,-29.000000,61.000000,90.000000,147.827000,78.740000,1,1225.254:1104.556;1294.122:1066.382;1365.790:1195.674;1296.922:1233.848,-90.000000,90.000000,true,true,61.000000,-29.000000,false,false,1341.081:1079.847;1379.255:1148.715;1249.963:1220.383;1211.789:1151.515,LONG_AXIS_ROTATED_90_FROM_OLD,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0007,G1_REVEAL_CASE,G1F0017,GM_RM011,GM_RM011:PV006,125,261,GM_RM011|000261|frameadd_gm_rm011_000125_000261_02,diagnostic_only,84.489000,185.464000,0.000000,0.000000,-90.000000,90.000000,185.464000,84.489000,1,1135.454:1103.513;1219.943:1103.513;1219.943:1288.977;1135.454:1288.977,-90.000000,90.000000,true,true,-90.000000,0.000000,false,false,1270.430:1154.000;1270.430:1238.489;1084.966:1238.489;1084.966:1154.000,LONG_AXIS_ROTATED_90_FROM_OLD,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0008,G1_REVEAL_CASE,G1F0020,GM_RM011,GM_RM011:PV007,134,280,GM_RM011|000280|frameadd_gm_rm011_000134_000280_01,diagnostic_only,79.429000,190.707000,2.000000,2.000000,-88.000000,90.000000,190.707000,79.429000,1,1044.573:1054.228;1123.954:1057.000;1117.299:1247.590;1037.918:1244.818,-20.000000,20.000000,true,false,-88.000000,2.000000,true,false,1177.617:1114.546;1174.845:1193.927;984.255:1187.272;987.027:1107.891,TARGET_HEADING_COVERAGE_CHANGED;ROTATED_90_EXCLUSION_CHANGED;LONG_AXIS_ROTATED_90_FROM_OLD,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0009,G1_REVEAL_CASE,G1F0021,GM_RM011,GM_RM011:PV007,151,315,GM_RM011|000315|gm_rm011_00160,usable,70.111000,142.840000,9.000000,9.000000,-81.000000,90.000000,142.840000,70.111000,1,1244.209:1133.015;1313.456:1143.983;1291.111:1285.065;1221.864:1274.097,-90.000000,90.000000,true,true,-81.000000,9.000000,false,false,1343.685:1185.589;1332.717:1254.836;1191.635:1232.491;1202.603:1163.244,LONG_AXIS_ROTATED_90_FROM_OLD,Recomputed from GT and rotated-control corners; frozen historical G1 rows remain unchanged.
G1R1LA0010,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV002,154,321,GM_RM017|000321|gm_rm017_00025,usable,154.423000,74.500000,0.000000,0.000000,0.000000,0.000000,154.423000,74.500000,0,916.621:967.500;1071.044:967.500;1071.044:1042.000;916.621:1042.000,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
