case_id,frame,coordinate_family,evaluation_mode,hidden_skeleton_length_px,hidden_skeleton_covered_px,hidden_skeleton_coverage_fraction,seed_only_covered_px,added_skeleton_covered_px,confirmed_seed_count,supported_extension_count,supported_extension_length_px,probable_extension_count,probable_extension_length_px,confirmed_vertical_background_overlap_px,ambiguity_zone_area_px,ambiguity_zone_overlap_px,ambiguity_zone_overlap_fraction,fully_assigned_ambiguity_zone,supported_without_seed_path_count,supported_crossing_background_count
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,51,20,0.392157,20,0,1,0,0.000000,0,0.000000,24,9482,0,0.000000,false,0,0
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,51,31,0.607843,20,11,1,1,12.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,51,20,0.392157,20,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,337,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,51,20,0.392157,20,0,1,0,0.000000,1,12.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,53,22,0.415094,22,0,1,0,0.000000,0,0.000000,17,9482,0,0.000000,false,0,0
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,53,22,0.415094,22,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,53,22,0.415094,22,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,338,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,53,22,0.415094,22,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,55,22,0.400000,22,0,1,0,0.000000,0,0.000000,4,9482,0,0.000000,false,0,0
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,55,36,0.654545,22,14,1,2,24.000000,1,12.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,55,22,0.400000,22,0,1,0,0.000000,1,12.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,55,45,0.818182,22,23,1,3,36.000000,0,0.000000,0,9482,39,0.004113,false,0,0
PV002_337_341,340,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,53,20,0.377358,20,0,1,0,0.000000,0,0.000000,13,9482,0,0.000000,false,0,0
PV002_337_341,340,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,53,44,0.830189,20,24,1,2,24.000000,1,12.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,340,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,53,53,1.000000,20,33,1,3,36.000000,0,0.000000,0,9482,39,0.004113,false,0,0
PV002_337_341,340,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,53,53,1.000000,20,33,1,3,36.000000,0,0.000000,0,9482,39,0.004113,false,0,0
PV002_337_341,341,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,61,26,0.426230,26,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,341,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,61,26,0.426230,26,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,341,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,61,26,0.426230,26,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV002_337_341,341,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,61,26,0.426230,26,0,1,0,0.000000,0,0.000000,0,9482,0,0.000000,false,0,0
PV003_380_384,380,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
