structure_relation_id,scene,canonical_vehicle_id,segment_id,sar_frame_index,source_observation_id,target_observation_id,relation_types,global_dx_px,global_dy_px,global_distance_px,radial_delta_px,tangential_delta_px,orientation_difference_deg,collinearity_residual_px,parallel_score,near_far_order,shared_background_connection,notes
S1L-REL-0000001,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,0,S1L-OBS-0000004,S1L-OBS-0000006,spatial_neighbor;parallel;near_far_correspondence;possible_shared_extended_response,19.840170,40.969962,45.521095,-43.565455,13.199289,6.198241,69.796385,0.931131,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000002,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,1,S1L-OBS-0000014,S1L-OBS-0000019,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,16.304826,41.847497,44.911695,-43.075186,12.711757,0.820667,73.035310,0.990881,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000003,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,3,S1L-OBS-0000023,S1L-OBS-0000025,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,6.246996,43.245013,43.693891,-43.460465,4.510437,9.110429,81.471824,0.898773,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000004,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,4,S1L-OBS-0000029,S1L-OBS-0000031,spatial_neighbor;same_radial_band;near_far_correspondence,-22.000504,5.569012,22.694406,-4.940457,-22.150122,86.328111,20.090735,0.040799,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000005,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,4,S1L-OBS-0000029,S1L-OBS-0000033,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,-5.050049,44.467882,44.753721,-44.306098,-6.313887,5.985668,83.420996,0.933493,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000006,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,4,S1L-OBS-0000031,S1L-OBS-0000033,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,16.950455,38.898870,42.431592,-39.365641,15.836235,87.686221,25.759383,0.025709,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000007,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,5,S1L-OBS-0000040,S1L-OBS-0000043,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,-6.816862,44.245246,44.767303,-44.035995,-8.058693,8.757996,79.367703,0.902689,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000008,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,6,S1L-OBS-0000052,S1L-OBS-0000053,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,26.471965,-0.581286,26.478346,0.147090,26.477938,48.611863,5.835861,0.459868,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000009,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,7,S1L-OBS-0000060,S1L-OBS-0000062,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,113.635240,39.267080,120.228413,-41.103215,112.984057,40.552729,19.821821,0.549414,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000010,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,8,S1L-OBS-0000067,S1L-OBS-0000070,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,-12.874295,45.244070,47.040125,-45.034657,-13.588710,8.397955,68.433330,0.906689,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000011,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,8,S1L-OBS-0000068,S1L-OBS-0000070,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,109.169464,38.479158,115.752397,-40.202043,108.546826,38.176246,25.098973,0.575819,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000012,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,9,S1L-OBS-0000074,S1L-OBS-0000078,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,73.943918,65.879299,99.034262,-67.041276,72.892059,43.864385,50.132146,0.512618,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000013,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,10,S1L-OBS-0000083,S1L-OBS-0000088,spatial_neighbor;near_far_correspondence,49.280573,73.143277,88.195883,-75.522450,45.550779,54.213606,15.088381,0.397627,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000014,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,10,S1L-OBS-0000086,S1L-OBS-0000088,spatial_neighbor;same_azimuth_band;near_far_correspondence,8.137869,41.120455,41.917976,-41.476799,6.065630,27.600492,60.321613,0.693328,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000015,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,10,S1L-OBS-0000088,S1L-OBS-0000089,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,32.375226,-5.724145,32.877364,4.093476,32.621535,24.310135,3.245628,0.729887,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000016,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,11,S1L-OBS-0000094,S1L-OBS-0000095,spatial_neighbor;same_radial_band;parallel;collinear;near_far_correspondence,37.990578,-6.022693,38.465008,3.615032,38.294757,9.105034,0.964832,0.898833,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000017,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,11,S1L-OBS-0000094,S1L-OBS-0000100,spatial_neighbor;parallel;near_far_correspondence;possible_shared_extended_response,21.567712,39.459871,44.969408,-40.741390,19.036460,6.139256,71.313198,0.931786,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000018,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,11,S1L-OBS-0000095,S1L-OBS-0000100,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,-16.422866,45.482564,48.356738,-44.356422,-19.258297,15.244290,54.034046,0.830619,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000019,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,11,S1L-OBS-0000098,S1L-OBS-0000100,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,109.786327,30.656952,113.986343,-37.519030,107.634608,70.666070,31.714257,0.214821,target_nearer,false,geometric relation; no graph neural network or identity claim
