scene,modality,asset_role,frame_index,filename,relative_path,extension,width,height,frame_count,fps,duration_sec,file_size_bytes,content_hash,is_duplicate_content,is_missing_index_neighbor,is_dimension_outlier,source_or_derived,derived_from,is_duplicate_index,index_occurrence_count,notes
GM_RM011,optical,optical_frame,0,000000.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000000.png,.png,800,600,,,,476997,0231c58d0961e5251eb82af1a560d3ad9a4d1657eec84b772ce64d99f1286259,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,1,000001.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000001.png,.png,800,600,,,,464297,e41f3b64130d2187586197b61a911dfa1bd747f94eda1f2923d045c99d71dbe2,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,2,000002.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000002.png,.png,800,600,,,,474739,65fd82af2865923905436659c341b9144d87074f333f66dbc0ae3dd06d0e56f4,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,3,000003.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000003.png,.png,800,600,,,,452731,0ffc4ae53b0c742f82267c32399f050b54dbfcda34466197a6bb0226b009b67d,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,4,000004.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000004.png,.png,800,600,,,,446106,c53dbf0f2f6b760cf2b505d0e06ee17369abe1f7d7e57377761ad5c8b6485911,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,5,000005.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000005.png,.png,800,600,,,,451673,5b550f9666657a5da0e967aae9edf7760f37056623f7731f325028b13708416d,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,6,000006.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000006.png,.png,800,600,,,,459267,9fc7d8fb535ead5854e3f7066114927b649e8a7c1e799a21ac01ec0236abd9f4,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,7,000007.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000007.png,.png,800,600,,,,487131,b139d375a45b535afa5b8cc93ad9dc59ebb3132533d663d5a7984036c7370181,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,8,000008.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000008.png,.png,800,600,,,,511921,979045cdba05daba4782cfa65563caf9ee32c317546b88affbda9a6ee1d4e4f6,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,9,000009.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000009.png,.png,800,600,,,,532513,b210004a4ddb47a19467ad9ca78022eb6187229716067aa9fff45588854bc4d9,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,10,000010.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000010.png,.png,800,600,,,,524909,7a5995ea2fb59bbefcc10d9b6e553261ae0b4a20b5f49c51dffb2c3c0a826c20,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,11,000011.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000011.png,.png,800,600,,,,508850,9971d1062ff52ae3b209f4255245c0718c62260c6d17c3e80cd6ae21f97359ca,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,12,000012.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000012.png,.png,800,600,,,,522047,24403360cbb9cf168dec641e6f372e76d88c3eb65ef6ee5a0105704d1364f0a7,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,13,000013.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000013.png,.png,800,600,,,,541014,d1f5563e7430edd135ffdf37cb267074c75e676d565f936c8cac2bd9395801ac,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,14,000014.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000014.png,.png,800,600,,,,548319,ee889a7bbe4cb37fe3c92011dda01c0dcf2c0187dc6257cc6a8412566e97f066,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,15,000015.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000015.png,.png,800,600,,,,558552,b9c45c646cc6b83b091d3db4ab156b226507aedd55132514b2aea40e28272cab,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,16,000016.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000016.png,.png,800,600,,,,578590,941e71cc81dbd7fc3095cd22b971da9ae730ff8777d9e9ee4370190a1b558097,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,17,000017.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000017.png,.png,800,600,,,,593381,e6e5fae6df172eb39f33b12c6cf6e733330ba48d90e55fefa8e899344b6a1fb6,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,18,000018.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000018.png,.png,800,600,,,,606118,ba13746746b8968def10a9bbe015fdc195e4d8e2553633245037e62ee02aa3b9,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,19,000019.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000019.png,.png,800,600,,,,602663,f2d8c72640b961f54257a13763a88083184c86e50ac57863371989cacaa06a0f,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
GM_RM011,optical,optical_frame,20,000020.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000020.png,.png,800,600,,,,587732,ebaa01f752ac6b6994531c35b942c20d9037a7f556b0c240ff8a78bc3cb48b84,False,False,False,derived_extracted_frame,D:\profile\research\data\mp4\GM_RM011_C.MP4,False,1,image_mode=RGB
