case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,event_stage,coordinate_scheme,u_direction_status,u_axis_deg,v_near_unit_x,v_near_unit_y,near_sign_dot_to_origin,reference_center_x_px,reference_center_y_px,reference_long_axis_px,reference_short_axis_px,radius_px,fan_theta_deg,fan_tangent_deg,u_vs_fan_tangent_axial_difference_deg,u_vs_radial_axial_difference_deg,perframe_to_stable_center_delta_px,perframe_to_stable_axis_delta_deg,boundary_state,optical_pose,optical_head_tail_status,local_background_type,control_type,control_displacement_px,control_displacement_short_axes,raw_near_minus_far_mean,sigma4_near_minus_far_mean,sigma10_near_minus_far_mean,sigma20_near_minus_far_mean,profile_peak_v_px,profile_peak_v_over_halfwidth,observation_raw_gray,observation_multiscale,physical_interpretation_status,this_control_eliminates_or_weakens,this_control_does_not_eliminate,gt_usage_boundary
C01,GM_RM017,GM_RM017:PV004,164,342,shared platform window / approach,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.246,0.039182,0.999232,0.802792,791.554,880.580,162.680,76.129,577.828,-38.848,-38.848,36.602,53.398,3.241,2.754,valid fan interior,side-dominant with left image truncation,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan tangent strongly oblique to vehicle axis,TRUE_NEIGHBORHOOD,0.000,0.000,2.157845,0.093274,0.495114,1.420870,26.500,0.696,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV003,164,342,shared platform window / approaching own minimum,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-3.355,0.058518,0.998286,0.921572,962.992,942.381,165.171,74.952,432.664,-26.198,-26.198,22.843,67.157,2.420,0.355,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; vehicle and road axes nearly parallel,TRUE_NEIGHBORHOOD,0.000,0.000,11.135834,0.305297,2.195055,6.106321,27.500,0.734,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV002,164,342,inside / approach,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.279,0.039768,0.999209,0.999339,1129.472,1009.117,155.548,71.937,322.418,-4.363,-4.363,2.084,87.916,2.319,0.279,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; road/curb axis approximately vehicle-parallel,TRUE_NEIGHBORHOOD,0.000,0.000,17.307240,0.693142,3.606370,9.534939,28.500,0.792,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV004,173,361,shared platform window / approach,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.298,0.040105,0.999195,0.909733,925.290,878.418,162.681,76.129,506.731,-26.830,-26.830,24.531,65.469,3.587,0.702,valid fan interior,complete side-dominant view,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan tangent oblique to vehicle axis,TRUE_NEIGHBORHOOD,0.000,0.000,4.412029,0.213870,1.070222,2.743466,28.500,0.749,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV003,173,361,shared platform window / near own minimum,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-3.394,0.059200,0.998246,0.994096,1088.229,942.689,165.171,74.774,393.448,-9.623,-9.623,6.229,83.771,2.664,0.394,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan-tangent line also present on far side,TRUE_NEIGHBORHOOD,0.000,0.000,13.413670,0.425722,2.579086,7.240032,28.500,0.762,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV002,173,361,inside / departure,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.224,0.038813,0.999246,0.946706,1249.569,1009.313,155.122,72.032,335.199,16.565,16.565,18.790,71.210,1.146,0.776,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,8.846401,0.254793,1.942479,5.384113,25.500,0.708,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV004,181,378,shared platform window / late approach,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.298,0.040105,0.999195,0.979886,1042.857,878.434,163.673,76.129,465.625,-13.810,-13.810,11.511,78.489,2.200,0.702,valid fan interior,complete side-dominant view,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan tangent separation is smaller,TRUE_NEIGHBORHOOD,0.000,0.000,6.465107,0.158426,1.337479,3.806917,26.500,0.696,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV003,181,378,shared platform window / near own minimum,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-3.586,0.062550,0.998042,0.983628,1200.267,942.346,165.984,75.121,391.001,6.796,6.796,10.382,79.618,5.784,0.586,valid fan interior,complete side view with foreground-pole context,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; vehicle and road axes nearly parallel,TRUE_NEIGHBORHOOD,0.000,0.000,10.680504,0.235356,2.033014,6.014750,24.500,0.652,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C01,GM_RM017,GM_RM017:PV002,181,378,post-bracket / right clipped,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.431,0.042421,0.999100,0.823870,1356.310,1008.024,155.639,73.104,380.768,32.095,32.095,34.526,55.474,3.248,0.569,near valid-fan edge in local context,side-dominant; right image truncation,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan edge enters lower-right context,TRUE_NEIGHBORHOOD,0.000,0.000,5.421539,0.084644,1.041793,3.284925,24.500,0.670,vehicle-scale bright segments remain concentrated near +v; continuity differs by vehicle and frame,raw grayscale is primary; multiscale audit is shown in C02/C04,VEHICLE_GROUND_MIXED_PLAUSIBLE,fixed image up/down sign and pure fan-tangent explanation in high-angle PV004 windows,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,153,319,pre-bracket / left clipped,PER_FRAME_GT,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-1.000,0.017452,0.999848,0.890039,982.076,1008.910,159.155,70.137,364.750,-28.122,-28.122,27.122,62.878,0.000,0.000,valid fan interior,side-dominant; left image truncation,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; far-side arc/line competitive,TRUE_NEIGHBORHOOD,0.000,0.000,7.501202,0.280326,1.774778,4.487883,26.500,0.756,near-side bright band/segments visible in original grayscale; strength and continuity vary,same side bias persists; smaller sigma emphasizes edges and endpoints,VEHICLE_GROUND_MIXED_PLAUSIBLE,high-pass-only visual artifact,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
