case_id,case_roles,state_mode,scene,canonical_vehicle_id,sar_frame_index,optical_left_frame,optical_lifecycle_state,sar_response_state,state_transition_reason,active_identity_count,maintenance_age_frames,uncertainty_expansion,closure_reason,current_strong_response_area_px,current_weak_response_area_px,sliding_persistent_response_area_px,lifecycle_persistent_response_area_px,intermittent_response_area_px,temporally_maintained_response_area_px,inside_shell_persistent_background_area_px,shell_crossing_background_area_px,identity_ambiguous_overlap_area_px,unresolved_response_area_px,joint_support_area_px,equal_area_axis_strip_area_px,equal_area_center_region_area_px,global_gain_median,global_gain_change,local_background_median,local_background_mad,optical_condition_trend,transport_holdout_and_background_change,target_reference_used_for_inference,candidate_bank_generated,weighted_score_or_ranking_used,forced_component_winner,unique_box_generated
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,295,141,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,772,0,0,911,0,0,0,37.0,0.0,39.0,5.0,theta=-37.537;radius=337.887;height=85.712;depth=7.081,holdout=0.0;local_median=39.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,296,142,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,852,0,0,746,0,0,0,38.0,1.0,41.0,5.0,theta=-37.537;radius=359.733;height=85.712;depth=8.565,holdout=1.137107396362991;local_median=41.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,297,142,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,936,0,0,1302,0,0,0,34.0,-4.0,38.0,4.0,theta=-37.537;radius=359.733;height=85.712;depth=8.565,holdout=0.8749796417434591;local_median=38.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,298,143,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,932,0,0,718,0,0,0,38.0,4.0,41.0,4.0,theta=-37.537;radius=353.405;height=85.712;depth=8.136,holdout=1.4690890725117873;local_median=41.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,299,143,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,943,0,0,1190,0,0,0,38.0,0.0,41.0,4.0,theta=-37.537;radius=353.405;height=85.712;depth=8.136,holdout=1.497095010468297;local_median=41.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,300,144,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,902,0,0,1816,0,0,0,44.0,6.0,47.0,5.0,theta=-37.537;radius=370.124;height=85.712;depth=9.271,holdout=0.9124874025181319;local_median=47.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,301,144,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,850,0,0,763,0,0,0,34.0,-10.0,37.0,3.0,theta=-37.537;radius=370.124;height=85.712;depth=9.271,holdout=1.740356695253413;local_median=37.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,302,144,ABSENT,NO_IDENTITY_SUPPORT,PRE_ENTRY_OPTICAL_LIFECYCLE,1,0,1.6,,0,0,0,0,0,0,806,0,0,936,0,0,0,32.0,-2.0,35.0,3.0,theta=-37.537;radius=370.124;height=85.712;depth=9.271,holdout=1.4394473952780868;local_median=35.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,303,145,ENTERING_PROVISIONAL,VISIBLE_RESPONSE_ACTIVE,OPTICAL_ENTRY_WITH_VALID_TIME_MAP,2,0,1.4,,1103,13350,0,1103,0,0,566,0,0,988,1103,1103,1103,33.0,1.0,37.0,4.0,theta=-37.622;radius=364.589;height=85.292;depth=8.747,holdout=1.1834843939742723;local_median=37.0,false,false,false,false,false
S1D0-DISCOVERY-GM_RM017-PV002,MECHANISM_DISCOVERY,causal,GM_RM017,GM_RM017:PV002,304,145,ENTERING_PROVISIONAL,VISIBLE_RESPONSE_ACTIVE,OPTICAL_ENTRY_WITH_VALID_TIME_MAP,2,0,1.4,,803,13234,0,500,500,0,584,0,0,636,777,777,777,34.0,1.0,39.0,5.0,theta=-37.714;radius=367.031;height=84.833;depth=8.750,holdout=0.7498756627148467;local_median=39.0,false,false,false,false,false
