path,relative_path,bytes,sha256,git_external
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_a\PV002_337_341\pv002_337_341_339_raw_decode.npz,arrays\phase_a\PV002_337_341\pv002_337_341_339_raw_decode.npz,4276073,c5d74ba7267fee216ad1807c128965fe09d1e79f599a4a1e8e6ad2df74b02820,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_a\PV003_380_384\pv003_380_384_384_raw_decode.npz,arrays\phase_a\PV003_380_384\pv003_380_384_384_raw_decode.npz,4021581,9790439aafd352e5a3c10ec48cadbca39e433a2b8abaaa1dab676c4d5ab3a3dd,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_gt_aligned_research_stack_channels.npz,arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_gt_aligned_research_stack_channels.npz,279054680,94b83be7acea285ba7c35f5dcfb6ca53335496f6ed2a6fa2229298ac2eb80c6a,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_optical_proxy_aligned_stack_channels.npz,arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_optical_proxy_aligned_stack_channels.npz,278431157,8f73c801f8692ac97e9200942fbe9fdb77c255e15496ed31ff80f85db8adb2be,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_raw_sar_display_channels.npz,arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_raw_sar_display_channels.npz,281873882,77f1a872a32a5f9af2beb6bdec51d045479b49c453961ae54de5aa8ceff3d846,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_world_stabilized_image_stack_channels.npz,arrays\phase_b\channels\PV002_337_341\pv002_337_341_339_world_stabilized_image_stack_channels.npz,282729532,ddb55b86faa45724d970a74f4ab01e683b187837fe4b948ecfa2a5a02d3dbaef,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_gt_aligned_research_stack_channels.npz,arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_gt_aligned_research_stack_channels.npz,268044124,3baf4f313b2ac8bbfce5bc718b412aedd2750a0a6354e1f8eec2e9b5b0216f4b,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_optical_proxy_aligned_stack_channels.npz,arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_optical_proxy_aligned_stack_channels.npz,264922101,582a4d83001f7198855132e6249bd03532b542cd87bc25d632376d0d246a5bbf,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_raw_sar_display_channels.npz,arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_raw_sar_display_channels.npz,272104397,19aa54554765d7527c7c8930a25927be8fba1047af7578cc0dbfb026a02a7bca,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_world_stabilized_image_stack_channels.npz,arrays\phase_b\channels\PV003_380_384\pv003_380_384_384_world_stabilized_image_stack_channels.npz,271682409,240decfe0f82e7bf0a66af7df57e54f8e2c48709bb9b2167f93decf7b9199156,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\coordinate_stacks\PV002_337_341\pv002_337_341_gt_aligned_research_stack.npz,arrays\phase_b\coordinate_stacks\PV002_337_341\pv002_337_341_gt_aligned_research_stack.npz,6036552,816f8bd9e3a9f30af0a2e1b594c1d958073b7ea0022eddaa37c80346f50dd539,true
D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\arrays\phase_b\coordinate_stacks\PV002_337_341\pv002_337_341_optical_proxy_aligned_stack.npz,arrays\phase_b\coordinate_stacks\PV002_337_341\pv002_337_341_optical_proxy_aligned_stack.npz,6047390,9473e7a3b8ee800075a45310c6dac6014bd9ffa429a99fdd465fd033e7368a89,true
