path,sha256,bytes,freeze_role,frozen_before_evaluation,target_reference_content
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\configs\oty2\oty2_s1x_joint_temporal_support.json,e91c6ee555601d61f6d53bd9d17f069d8c1af6a25a94ed39250a33d62b59346e,1540,INFERENCE_CONFIG,true,false
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\manifests\oty2\oty2_s1x_optical_condition_frames.csv,a603c60b4ad5bf4fdf79ffaebe00a5829bf74e1840b8fa6cd0dbd1fd2a0e459b,99270,OPTICAL_CONDITION_INPUT,true,false
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\manifests\oty2\oty2_s1x_temporal_support_frame_states.csv,7f94f20e137031cdb6de9d153ad7cfb87253afc026f476733eebf2fa498028b1,31244,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\manifests\oty2\oty2_s1x_sar_only_temporal_objects.csv,d12c369072df3abe1ca61891b9c50727fe4058e37244614add870b9b511ae8ce,4859,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\manifests\oty2\oty2_s1x_blind_visual_review_manifest.csv,c58cd3866f5c2bff4271eb71ef38bc378ac08d793b6ea4bfcf7cf6f0edf28a37,2749,FROZEN_BLIND_REVIEW_OUTPUT,true,false
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\reports\oty2\oty2_s1x_blind_direct_visual_review_20260717.md,076435fbb02d9f02b392ddd6aa6e1aeeaf570422549fa68803f8b97b603bf8f8,3710,FROZEN_BLIND_REVIEW_OUTPUT,true,false
D:\profile\research\optical-sar-visual-diagnosis-sar-foundation\reports\oty2\oty2_s1x_inference_summary_20260717.json,1b29655d100aab8c831e49d716833510003f31cd6de5f80f6195af176d4de48d,4344,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz,3cf767845b4757880fa1b1212da8170017c67a7c979ff997bedb544583b04820,239075,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\inference_summary.json,b6a5114116eb6d727f73842194eda043f662d4cd6379410c779118e6707ee3f3,1567,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\blind_review\blind_transfer_review_page_01.png,377af460c6d18a055f3ed0ebe714c636c7e495062bacb2a2f8e52fb4ed5064fd,3803534,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\blind_review\blind_transfer_review_page_02.png,1dc9b52bbc625396bd4622e2547d9b65715bdea7ce2449d7e9d4c6374f65af1b,3862708,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\blind_review\blind_temporal_summary.png,1b77b4b6d149ec7cac2c47a99cde9eff359cdffedaf4fd574551b10b5e50bc53,762967,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\REPLAY_GM_RM017_PV003_338_391\frozen_inference_masks.npz,60498d44304833965121add51f8d09e65019542900df42cbd021853686a11d71,504313,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\REPLAY_GM_RM017_PV003_338_391\inference_summary.json,1eec9ac1fd0dad3f4f42e8857a4f97648fa5c8d2ccb8dc2bfc22df3ea20a401e,1559,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\REPLAY_GM_RM017_PV003_338_391\blind_review\blind_transfer_review_page_01.png,773caa8be5b8690b358b0cb138002fc79b94e1a8da1ec2835cf4fb38f800f816,3833900,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\REPLAY_GM_RM017_PV003_338_391\blind_review\blind_transfer_review_page_02.png,78c15b31122fa1cf25fc7334b13ea9cdeb267fef9a667e1c57455cbd05f4ce89,3663331,FROZEN_INFERENCE_OUTPUT,true,false
D:\profile\research\workspace\output\oty2_s1x_20260717\REPLAY_GM_RM017_PV003_338_391\blind_review\blind_temporal_summary.png,1c3767577e8f36af66f4b6a55fa11dcff5ce4f5757f9134850a0ba73f82fac1b,684626,FROZEN_INFERENCE_OUTPUT,true,false
