case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,event_phase,evidence_role,sar_gt_id,gt_quality_status,identity_link_confidence,reference_center_x_px,reference_center_y_px,reference_long_axis_px,reference_short_axis_px,reference_long_axis_m_grid,reference_short_axis_m_grid,reference_axis_deg,fan_tangent_angle_deg_at_reference_center,axis_vs_fan_tangent_axial_difference_deg,raw_centered_contrast_corr_to_previous,vehicle_aligned_contrast_corr_to_previous,correlation_scope,gt_usage_boundary,note
B01,GM_RM011,GM_RM011:PV001,4,8,before bracket,true_gt_neighborhood,GM_RM011|000008|GM_RM011|000008.png|000004.png|1|O1:car:0.86,usable,moderate,1152.642,1244.802,137.942,67.440,4.138,2.023,1.000,-0.907,1.907,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B01,GM_RM011,GM_RM011:PV001,6,12,bracket entry,true_gt_neighborhood,GM_RM011|000012|GM_RM011|000012.png|000006.png|2|O2:car:0.76,usable,high,1152.377,1243.565,128.333,62.847,3.850,1.885,-9.000,-1.068,7.932,0.183239,0.237472,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B01,GM_RM011,GM_RM011:PV001,8,16,near recorded minimum,true_gt_neighborhood,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,usable,high,1155.377,1248.565,135.333,64.847,4.060,1.945,-10.000,0.962,10.962,0.122794,0.132490,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B01,GM_RM011,GM_RM011:PV001,10,20,inside bracket,true_gt_neighborhood,GM_RM011|000020|GM_RM011|000020.png|000010.png|2|O2:car:0.45,usable,high,1166.377,1249.565,135.333,64.847,4.060,1.945,-7.000,8.684,15.684,0.208592,0.292245,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B01,GM_RM011,GM_RM011:PV001,12,24,inside / later view,true_gt_neighborhood,GM_RM011|000024|GM_RM011|000024.png|000012.png|1|O1:car:0.63,usable,high,1169.642,1249.802,129.942,65.440,3.898,1.963,-5.000,10.957,15.957,0.265302,0.206078,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B02,GM_RM017,GM_RM017:PV002,153,319,pre-bracket / left clipped,true_gt_neighborhood,GM_RM017|000319|frameadd_gm_rm017_000153_000319_01,usable,high,982.076,1008.910,159.155,70.137,4.775,2.104,-1.000,-28.122,27.122,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B02,GM_RM017,GM_RM017:PV002,164,342,inside / approach,true_gt_neighborhood,GM_RM017|000342|gm_rm017_00048,usable,high,1127.160,1008.930,149.050,69.700,4.471,2.091,-2.000,-4.770,2.770,0.146624,0.111903,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B02,GM_RM017,GM_RM017:PV002,167,348,inside / near recorded minimum,true_gt_neighborhood,GM_RM017|000348|gm_rm017_00058,usable,high,1164.610,1011.088,138.260,77.023,4.148,2.311,-2.000,1.902,3.902,0.232615,0.208549,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B02,GM_RM017,GM_RM017:PV002,173,361,inside / departure,true_gt_neighborhood,GM_RM017|000361|gm17supp_000173_000361_det2,usable,high,1250.587,1008.787,162.497,71.039,4.875,2.131,-3.000,16.706,19.706,0.155711,0.156466,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B02,GM_RM017,GM_RM017:PV002,181,378,post-bracket / right clipped,true_gt_neighborhood,GM_RM017|000378|gm17supp_000181_000378_det3,usable,high,1353.751,1010.026,158.879,67.752,4.766,2.033,-3.000,31.927,34.927,0.127013,0.120865,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Fixed-grid crop retains 0.03 m/px display/reconstruction-grid spacing; no size normalization.
B03,GM_RM017,GM_RM017:PV004,164,342,shared_inside,same_time_multivehicle_true_neighborhood,GM_RM017|000342|frameadd_gm_rm017_000164_000342_01,usable,high,794.761,880.110,139.497,74.206,4.185,2.226,-5.000,-38.570,33.570,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV003,164,342,shared_inside,same_time_multivehicle_true_neighborhood,GM_RM017|000342|gm_rm017_00049,usable,high,960.692,941.628,162.983,71.403,4.889,2.142,-3.000,-26.426,23.426,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV002,164,342,shared_inside,same_time_multivehicle_true_neighborhood,GM_RM017|000342|gm_rm017_00048,usable,high,1127.160,1008.930,149.050,69.700,4.471,2.091,-2.000,-4.770,2.770,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
