canonical_vehicle_id,scene,candidate_roles,artifact_path,artifact_sha256,contains_target_sar_reference,selection_status,direct_review_finding
GM_RM011:PV001,GM_RM011,MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV001_inventory_review.png,09781003c10d84ea059d19ccfd45b0631f3ec9c27e51c81395f7dfc9bf22a771,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV002,GM_RM011,MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV002_inventory_review.png,e931434b58a649bd47c27f0a5e7574000612dd15a2c2cd248adb7f5a056bc9fa,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV003,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV003_inventory_review.png,dfa79f9a1506bece8b5ff3e01c0dbd7d876e39af642d36ed9b4778e1e57bc14c,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV004,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV004_inventory_review.png,b0798a46d5033f3bee8afc2e7a2c87e3cbc4d7514d3500906a8c688a32d2f614,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV005,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV005_inventory_review.png,c5dd01eda3ba5dcfbd911a86ae5f57bf8e86d6c04ef9a8afa2e304defc103a89,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV006,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV006_inventory_review.png,7de46d6c5d32f07da61f572a5bb1021601ce12d59d472a248f88703d562d5c68,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV007,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV007_inventory_review.png,c9f89b84ff90f3df765f44c8a672d760a8de588d74a62a1e84d07581b2d746d4,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV008,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV008_inventory_review.png,b37a252be064e716757131184f3d1177fdd67bd99e5b33d8f853af42a3f1094f,false,selected,"white Honda remains optically identifiable while adjacent vehicles and covered cars compete; shell is broad and clutter-rich, appropriate for pressure diagnosis rather than parameter discovery"
GM_RM011:PV009,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV009_inventory_review.png,743d8d6aa02f2dd795c810bb314bc78943994947b8c2840f2cbe66503d08bcfc,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV010,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV010_inventory_review.png,a9fc264dad23ee215d1411b994208df623eec2b5d0713152d2c48227edd9b966,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV011,GM_RM011,MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV011_inventory_review.png,4993046458238bd3f37e343ca47699b9c5a3282f330ead1f962d1569c420e414,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV012,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV012_inventory_review.png,c8088824929e49a8a57a3d56403b1eeca0f96a355fab07e2129bf773458edbee,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV013,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV013_inventory_review.png,1c2e960cf8bff685b1f1dd19850659fb74ecc35b69b6682274c9dd9f9a938577,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM011:PV014,GM_RM011,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM011_PV014_inventory_review.png,f706b48660dc22aa1e417b52340ede6652c1e62017e65f69ed00328200ae1add,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM017:PV001,GM_RM017,MECHANISM_DISCOVERY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM017_PV001_inventory_review.png,19a75cd8bb27d202b6303100837f02e93cec34f8e2382ca21d9b69eb2a85d317,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM017:PV002,GM_RM017,MECHANISM_DISCOVERY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM017_PV002_inventory_review.png,4671aef0451a07c2292b5a580d89b19743d19c27355573f804715ce8ede601ca,false,selected,optical identity is continuous from partial entry through full visibility to partial exit; shell traverses heterogeneous SAR background and overlaps other active vehicle lifecycles
GM_RM017:PV003,GM_RM017,MECHANISM_DISCOVERY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM017_PV003_inventory_review.png,31aff0fe20ba19d114c06db0e69643a36376394baf032ae6ea489f75e093b57b,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM017:PV004,GM_RM017,ENTRY_EXIT_LIFECYCLE_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM017_PV004_inventory_review.png,caa0b639ac8ba59314ef7baa72321ab980f202e00c86a687a230c89c3f20249a,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
GM_RM019:PV002,GM_RM019,CROSS_SCENE_FROZEN_REPLAY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE,D:\profile\research\workspace\output\oty2_s1d0_20260717\inventory_review\GM_RM019_PV002_inventory_review.png,9caab5678e12fbcdc4e10c22710588765cf5e1df0f26df562c6ebc5f1f6813bf,false,directly_reviewed_not_selected,inventory-level blind review completed; not selected for the bounded four-role run
