conclusion_id,status,development_evidence,heldout_evidence,counterfactual_evidence,normalization_state,pair_sensitivity_state,blocking_reason,latent_support_reconstruction_allowed,s1d_allowed,automatic_annotation_allowed,review_status
"GT_CONDITIONED_BODY_ALIGNMENT","PARTIAL_GT_CONDITIONED_ONLY","PV002 的 translation-compensation FIELD_NCC 在 fixed/local 两路均为正；GT body-oriented window 相对 radial 的 FIELD_NCC 亦为正，但相对 Cartesian 在 Raw 下为负。","PV003/PV004 的 body-vs-radial FIELD_NCC 在 Raw/Smoothed 与双归一化下均为正；body-vs-Cartesian 只在 Smoothed 下出现很弱正增量，属于同场景其他车辆固定规则重放。","真实车辆互换与部分 +8 帧错配仍可复现紧致 tracked-body 显示结构，说明该现象不能自动升级为正确身份或完整时间关系证据。","MIXED_NORMALIZATION_EVIDENCE","MIXED_PAIR_SENSITIVITY","中心、轴和尺度均来自 GT；旋转各向异性窗口改变源像素足迹；真实 optical-derived 输入未执行。","false","false","false","directly_reviewed_complete"
"BODY_AXIS_INCREMENTAL_VALUE","PARTIAL","120 个车辆-锚点-归一化-指标范围中，GT 规则仅在 49 个范围优于多数安慰剂；PV002 fixed 路径有局部正证据，但 local 路径减弱。","PV003/PV004 未稳定复现多数指标上的 GT 轴优势；不同 Raw/Smoothed 与归一化范围方向不一致。","GT_AXIS_PLUS_90 的 FIELD_NCC/方向指标多数不支持 GT 规则，global、trajectory-tangent、shuffle/time-shift 等安慰剂又可复现相似均值场。","MIXED_NORMALIZATION_EVIDENCE","MIXED_PAIR_SENSITIVITY","当前增量混合轴向、旋转后的各向异性支持足迹和重采样，纯 physical body-axis attribution 未被单独识别。","false","false","false","directly_reviewed_complete"
"VEHICLE_CLASS_SUPPORT_OVER_BACKGROUND","NOT_SUPPORTED","Raw nonadjacent FIELD_NCC 在两条归一化路径均将三辆车与四个命名背景/三个 baseline 簇分开；fixed thin-edge Jaccard 也分开，但 local thin-edge 与两路方向组织均失败。","没有 PV003/PV004 几何下的车辆类别阴性背景重放；现有 heldout 只覆盖正车辆，不能提供独立 class-negative 泛化。","四个 PV002-geometry 背景中 Smoothed 锚点均无 eligible nonadjacent pair；B3 对局部归一化敏感，BG0011 是同簇强线诊断，FX88 仅为各向异性斑点控制。","NORMALIZATION_DEPENDENT","MIXED_PAIR_SENSITIVITY","两个独立结构族未在双归一化与 Raw/Smoothed 下同时稳定优于车辆类别阴性背景，且背景仅有三个 baseline 簇、两个参数包络簇。","false","false","false","directly_reviewed_complete"
"SAR_ONLY_PHYSICAL_IDENTITY_SPECIFICITY","NOT_READY","本轮没有 SAR-only 身份识别设计；物理身份按主线由光学完整时序提供。","身份审计只覆盖 GM_RM017 的 PV002/PV003 双向互换，不是跨场景或独立身份验证。","PV002 轨迹落在 PV003 真实车辆区域时 Raw nonadjacent FIELD_NCC 为 0.542220，高于源线程 0.343522，且双归一化下多项 adjacent/field 规律复现；反向互换缺少 nonadjacent pair。","MIXED_NORMALIZATION_EVIDENCE","MIXED_PAIR_SENSITIVITY","错误物理身份区域可复现车辆样显示结构，且双向证据不对称；SAR 不应承担 PV002/PV003 个体区分。","false","false","false","directly_reviewed_complete"
"CENTER_RADIAL_OBSERVABILITY","NOT_IDENTIFIABLE","PV002 development 的双归一化网格非支配模式仅是五点诊断响应，不构成识别准则。","development 与两个同场景其他车辆在 Raw 的共同网格值为 +0.125，在 Smoothed 为 -0.125，方向翻转。","背景、身份互换与时序错配不提供可将该网格模式转换成物理中心区间的独立约束。","PARTIAL_FEASIBLE_OVERLAP","MIXED_PAIR_SENSITIVITY","Raw/Smoothed 翻转且没有噪声模型、连续识别准则或真实 optical centre 输入；物理边界为空。","false","false","false","directly_reviewed_complete"
"CENTER_TANGENTIAL_OBSERVABILITY","NOT_IDENTIFIABLE","development 五点网格没有形成可解释的稳定切向中心约束。","Raw 在 development 与两个同场景其他车辆间无共同非支配值；Smoothed 仅出现触及网格边缘的 -0.25 诊断值。","反事实没有提供独立的切向中心真值或物理可行域，网格边缘也不能解释为单侧物理界。","MIXED_NORMALIZATION_EVIDENCE","MIXED_PAIR_SENSITIVITY","共同模式为空或触边，缺少连续识别准则与真实 optical tangential centre 输入；物理边界为空。","false","false","false","directly_reviewed_complete"
"LONG_SCALE_OBSERVABILITY","NOT_IDENTIFIABLE","Raw 共同网格模式为多分量 0.85/0.925/1.0/1.15，未形成唯一或连续窄区间。","Smoothed 共同模式覆盖 0.85 至 1.075 且触及网格边缘；仅是同场景其他车辆固定规则重放。","背景和时序反事实不能解除窗口范围、插值和固定网格结构估计器之间的耦合。","PARTIAL_FEASIBLE_OVERLAP","MIXED_PAIR_SENSITIVITY","LONG_SCALE 曲线属于 WINDOW_EXTENT_PLUS_RESAMPLING_COUPLED，不能产生物理尺度上下界；reported bounds 为空。","false","false","false","directly_reviewed_complete"
"SHORT_SCALE_OBSERVABILITY","NOT_IDENTIFIABLE","Raw 共同模式只保留 0.85 与 1.15 两个分离端点，表现为多解而非区间。","Smoothed 的全部五个网格值均非支配，说明当前规则对短轴尺度没有收缩能力。","反事实没有提供独立短轴尺度约束，且显示结构可被背景或错误对应部分复现。","MIXED_NORMALIZATION_EVIDENCE","MIXED_PAIR_SENSITIVITY","Raw 多分量、Smoothed 全网格，加之 WINDOW_EXTENT_PLUS_RESAMPLING_COUPLED；物理边界为空。","false","false","false","directly_reviewed_complete"
"AXIS_OBSERVABILITY","NOT_IDENTIFIABLE","Raw 在 development 与两个其他车辆间无共同非支配角度；轴安慰剂多数门总体失败 71/120。","Smoothed 仅出现 -6 度 singleton 诊断值，但 PV003/PV004 与双归一化未给出统一轴向优势。","多个安慰剂均可产生近似均值场，GT+90 反事实又显示不同指标对旋转的响应冲突。","MIXED_NORMALIZATION_EVIDENCE","MIXED_PAIR_SENSITIVITY","五点角度网格和 Pareto 模式只用于诊断，不能识别唯一 180 度轴、宽区间或物理方向边界。","false","false","false","directly_reviewed_complete"
"OPTICAL_CONDITIONED_SUPPORT_READINESS","NOT_READY","本轮实际执行的是 GT-discovery proxy；没有接入 optical-derived centre、axis 或 scale。","PV003/PV004 只证明同场景固定规则可重放部分登记现象，不是对真实光学条件输入的 heldout 验证。","背景结构、错误车辆区域和部分时间错配可复现若干显示域规律；time reversal 仅是 correspondence mismatch，不是 arrow-of-time 证据。","NOT_APPLICABLE","MIXED_PAIR_SENSITIVITY","车辆类别支撑未跨两结构族和双归一化成立，所有五个参数均 NOT_IDENTIFIABLE，真实 optical-conditioned 输入尚未执行。","false","false","false","directly_reviewed_complete"
