phase_row_id,scene,canonical_vehicle_id,split_role,optical_frame,lifecycle_state,visibility_state,center_u_px,center_v_px,bbox_width_px,bbox_height_px,bbox_area_px2,effective_scale_px,aspect_ratio,touch_left,touch_right,touch_top,touch_bottom,boundary_margin_px,delta_u_from_previous,delta_scale_from_previous,thread_direction,relative_phase_q,optical_observation_phase,limiting_state,optical_posture_description,phase_source,target_sar_gt_used_for_phase
G1P00001,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,0,entering,partial_visible,248.575000,444.714500,488.886000,305.349000,149280.851214,386.368802,1.601073,true,false,false,true,2.611000,0.000000,0.000000,INCREASING_U,0.000000,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00002,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,1,active_visible,partial_visible,254.215000,443.217500,502.180000,308.153000,154748.273540,393.380571,1.629645,true,false,false,true,2.706000,5.640000,7.011769,INCREASING_U,0.000000,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00003,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,2,active_visible,partial_visible,261.285500,438.365000,515.981000,317.224000,163681.556744,404.575774,1.626551,true,false,false,true,3.023000,7.070500,11.195203,INCREASING_U,0.003581,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00004,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,3,active_visible,partial_visible,263.975500,420.014500,523.263000,354.193000,185336.091759,430.506785,1.477339,true,false,false,true,2.344000,2.690000,25.931011,INCREASING_U,0.009031,PRE_BROADSIDE,TRUNCATION_LIMITED,OBLIQUE_OR_PARTIAL_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00005,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,4,active_visible,partial_visible,281.382000,397.359000,556.032000,395.122000,219700.475904,468.722173,1.407241,true,false,false,true,3.366000,17.406500,38.215389,INCREASING_U,0.044295,PRE_BROADSIDE,TRUNCATION_LIMITED,OBLIQUE_OR_PARTIAL_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00006,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,5,active_visible,full_visible,294.000500,414.250000,572.155000,362.346000,207318.075630,455.321947,1.579029,true,false,false,true,4.577000,12.618500,-13.400226,INCREASING_U,0.069859,PRE_BROADSIDE,TRUNCATION_LIMITED,OBLIQUE_OR_PARTIAL_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00007,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,6,active_visible,partial_visible,308.108500,431.225000,588.213000,332.308000,195467.885604,442.117502,1.770084,false,false,false,true,2.621000,14.108000,-13.204445,INCREASING_U,0.098440,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00008,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,7,active_visible,partial_visible,292.396000,453.410000,578.262000,289.228000,167249.561736,408.961565,1.999329,true,false,false,true,1.976000,-15.712500,-33.155937,INCREASING_U,0.066608,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00009,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,8,active_visible,partial_visible,306.729000,453.503500,595.328000,288.231000,171591.984768,414.236629,2.065454,false,false,false,true,2.381000,14.333000,5.275064,INCREASING_U,0.095645,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00010,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,9,active_visible,partial_visible,305.950500,452.282000,594.655000,291.224000,173177.807720,416.146378,2.041916,false,false,false,true,2.106000,-0.778500,1.909749,INCREASING_U,0.094068,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00011,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,10,active_visible,partial_visible,345.146500,443.513000,610.779000,308.360000,188339.812440,433.981350,1.980734,false,false,false,true,2.307000,39.196000,17.834973,INCREASING_U,0.173476,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00012,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,11,active_visible,partial_visible,371.226500,419.266500,608.385000,358.877000,218335.383645,467.263720,1.695247,false,false,false,true,1.295000,26.080000,33.282369,INCREASING_U,0.226311,PRE_BROADSIDE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00013,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,12,active_visible,partial_visible,423.842000,417.325500,610.434000,362.599000,221342.757966,470.470783,1.683496,false,false,false,true,1.375000,52.615500,3.207064,INCREASING_U,0.332906,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00014,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,13,active_visible,partial_visible,471.259000,425.302500,603.314000,344.553000,207873.648642,455.931627,1.751005,false,false,false,true,2.421000,47.417000,-14.539156,INCREASING_U,0.428968,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00015,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,14,active_visible,partial_visible,506.011500,430.221500,579.591000,334.195000,193696.414245,440.109548,1.734290,false,true,false,true,2.681000,34.752500,-15.822079,INCREASING_U,0.499373,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00016,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,15,active_visible,partial_visible,515.250000,436.406500,562.390000,319.445000,179652.673550,423.854543,1.760522,false,true,false,true,3.555000,9.238500,-16.255005,INCREASING_U,0.518090,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00017,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,16,active_visible,partial_visible,518.955000,442.494000,552.408000,308.054000,170171.494032,412.518477,1.793218,false,true,false,true,3.479000,3.705000,-11.336066,INCREASING_U,0.525596,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00018,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,17,active_visible,partial_visible,492.349500,447.534500,582.177000,298.989000,174064.519053,417.210401,1.947152,false,false,false,true,2.971000,-26.605500,4.691924,INCREASING_U,0.471696,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00019,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,18,active_visible,partial_visible,520.857500,450.109000,549.009000,293.660000,161221.982940,401.524573,1.869540,false,true,false,true,3.061000,28.508000,-15.685828,INCREASING_U,0.529450,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
G1P00020,GM_RM011,GM_RM011:PV001,DEVELOPMENT_TRUNCATION_REFERENCE,19,active_visible,partial_visible,522.703000,440.680500,547.982000,312.421000,171201.084422,413.764528,1.753986,false,true,false,true,3.109000,1.845500,12.239954,INCREASING_U,0.533189,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,SIDE_DOMINANT_CANDIDATE,OPTICAL_ONLY_CENTER_SCALE_VISIBILITY_AND_THREAD_ORDER,false
