edge_id,source_object_id,target_object_id,source_frame,target_frame,centroid_distance_px,line_to_line_support_distance_px,axis_difference_deg,length_ratio,relation_event,relation_basis,allowed_conclusion,forbidden_conclusion
EDGE_G1F0002_S0339_B005_G1F0002_S0341_B004,G1F0002_S0339_B005,G1F0002_S0341_B004,339,341,65.991,0.784,0.000,2.620,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0339_B007_G1F0002_S0341_B004,G1F0002_S0339_B007,G1F0002_S0341_B004,339,341,52.589,24.920,0.000,3.198,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0341_B004_G1F0002_S0342_B005,G1F0002_S0341_B004,G1F0002_S0342_B005,341,342,42.192,17.526,0.000,1.519,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0342_B004_G1F0002_S0343_B003,G1F0002_S0342_B004,G1F0002_S0343_B003,342,343,92.136,8.934,0.000,3.045,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0342_B005_G1F0002_S0343_B003,G1F0002_S0342_B005,G1F0002_S0343_B003,342,343,54.858,22.955,0.000,1.442,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0342_B005_G1F0002_S0343_B004,G1F0002_S0342_B005,G1F0002_S0343_B004,342,343,19.660,6.059,0.000,1.038,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0343_B003_G1F0002_S0344_B003,G1F0002_S0343_B003,G1F0002_S0344_B003,343,344,18.946,3.268,0.000,1.165,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0343_B003_G1F0002_S0344_B004,G1F0002_S0343_B003,G1F0002_S0344_B004,343,344,62.699,14.323,0.000,2.776,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0343_B004_G1F0002_S0344_B003,G1F0002_S0343_B004,G1F0002_S0344_B003,343,344,34.603,32.283,0.000,1.618,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0343_B004_G1F0002_S0344_B004,G1F0002_S0343_B004,G1F0002_S0344_B004,343,344,33.333,14.691,0.000,1.999,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0344_B003_G1F0002_S0347_B004,G1F0002_S0344_B003,G1F0002_S0347_B004,344,347,24.138,22.751,0.000,1.535,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
