review_id,research_unit_id,counterfactual_semantic_class,reviewed_artifact_count,review_status,visual_finding_cn,equal_support_interpretation_cn,normalization_interpretation_cn,pair_interpretation_cn,axis_placebo_interpretation_cn,parameter_observability_cn,class_or_temporal_interpretation_cn,decision
"S1L-OCS-VR-001","S0MV-GM_RM017-PV002-SEG02","TRUE_VEHICLE_POSITIVE","3","directly_reviewed_complete","WORLD_FIXED 为宽横带与世界背景叠加；Cartesian/body 出现紧致横向亮链，radial 为弧形主结构。","四表示窗口和网格等支持后，中心跟随的视觉增益清楚；body 相对 radial 的变化仍混合旋转各向异性支持足迹，不能只归因于车体轴。","fixed 与 local 两路保持主要形态，但局部重估改变热点、噪声和 thin-edge 对比，结构细节并非完全归一化不变。","Raw 为 8/8 eligible shared-frame pairs；Smoothed 为 3 个候选但 0 eligible，不能把 Raw 重复对比当作独立样本或 Smoothed 泛化。","GT、global、trajectory-tangent、frame-shuffled 与 time-shifted 多数仍保留相似横向亮链；GT+90 产生竖直强线，说明旋转敏感但 GT 轴不唯一。","五类参数曲线在 FIELD、orientation、thin-edge 与双归一化之间峰值方向不一致，没有共同物理盆地或边界。","这是 GT 条件正车辆登记的局部正图样，不是独立身份、车辆类别分离或真实 optical-conditioned 输入证据。","POSITIVE_PATTERN_PARTIAL"
"S1L-OCS-VR-002","S0MV-GM_RM017-PV003-SEG01","TRUE_VEHICLE_POSITIVE","3","directly_reviewed_complete","Cartesian/body 均形成紧致横向车辆样响应，radial 显示弧形增强，WORLD_FIXED 保留两条宽世界带。","等支持后中心跟随与 body-oriented window 的视觉差异可见，但 Cartesian 与 body 已高度相似，纯轴增量有限。","fixed/local 的主亮带一致，局部重估使背景纹理和端部热点更明显，不能把全部差异视为稳健结构。","Raw 仅 4/4，Smoothed 仅 1/1，均属 sparse pair evidence；LOPO/LOFO 对小图尤其受单帧影响。","GT 与多种安慰剂仍显示相近横带，GT+90 变为竖线；视觉不支持 GT 轴稳定优于多数安慰剂。","中心、尺度和轴曲线多为单调、触边或不同指标反向，无法形成可识别区间。","同场景其他车辆重放了登记规律，但这不是独立 heldout 泛化，也未解除 GT 条件循环。","POSITIVE_PATTERN_PARTIAL"
"S1L-OCS-VR-003","S0MV-GM_RM017-PV004-SEG01","TRUE_VEHICLE_POSITIVE","3","directly_reviewed_complete","Cartesian/body 中存在横向亮带和右端热点，radial 为倾斜弧形，WORLD_FIXED 混入宽水平背景。","等支持比较支持中心跟随；body 与 Cartesian 的主结构接近，body 与 radial 的差异同时受旋转窗口足迹影响。","local 路径增强了局部噪声和背景弧，主要横带仍在，但结构代理强度随归一化改变。","Raw 14/14 但共享 19 帧且最大 frame degree 为 5；Smoothed 3/3 仍属 sparse evidence，pair count 不是样本量。","GT、global、tangent 和若干错位轴均保留横向响应；GT+90 显著竖直化，未形成唯一 GT 轴优势。","参数 profile 在中心、尺度、轴和指标之间偏好不同网格点，短尺度尤其呈全局单调或端点响应。","这是同场景固定规则复现的部分正图样，不能升级为跨场景车辆类别或部署证据。","POSITIVE_PATTERN_PARTIAL"
"S1L-OCS-VR-004","SWAP-GM_RM017_PV002-AROUND-GM_RM017_PV003","IDENTITY_NEGATIVE_CLASS_POSITIVE","1","directly_reviewed_complete","错误 PV002 轨迹落在 PV003 真实车辆区域后，Cartesian/body 仍出现紧致车辆样横向亮链，视觉量级不低于正 PV002。","等支持变换没有消除另一辆真实车辆的紧致结构，说明该图只能用于物理身份否证，不能当背景类别阴性。","fixed/local 两路都保留主要车辆样结构，局部重估只改变对比和邻近噪声。","Raw 投影 8/8 pairs 且 nonadjacent FIELD_NCC 高于源 PV002；Smoothed 无 eligible pair，身份否证仍有覆盖不对称。","本实体无 axis-placebo artifact；不能从单张等支持图推断哪条轴规则胜出。","本实体无 parameter-profile artifact；不适用任何中心、尺度或轴向可识别结论。","该实体是 IDENTITY_NEGATIVE_CLASS_POSITIVE：否定 SAR-only PV002 身份特异性，但仍为车辆类别阳性。","COUNTERFACTUAL_REPRODUCES"
"S1L-OCS-VR-005","SWAP-GM_RM017_PV003-AROUND-GM_RM017_PV002","IDENTITY_NEGATIVE_CLASS_POSITIVE","1","directly_reviewed_complete","错误 PV003 轨迹落在 PV002 真实车辆区域后，Cartesian/body 仍呈紧致横向车辆样结构。","等支持图视觉上复现车辆类别形态，但不能据此比较 PV003 与 PV002 的个体身份。","fixed/local 主结构相近，局部重估增强局部纹理，未消除车辆样响应。","Raw/Smoothed 均无 eligible nonadjacent pair，因此复现判断是直接视觉与 adjacent 层面的身份否证，不能包装成稳定 pair 结论。","本实体无 axis-placebo artifact；不适用轴规则优劣判断。","本实体无 parameter-profile artifact；不适用参数可观测性判断。","该实体同样是身份阴性、车辆类别阳性；它阻止 SAR-only 身份结论，但不能否定车辆类别。","COUNTERFACTUAL_REPRODUCES"
"S1L-OCS-VR-006","CLASS-NEGATIVE-S1L-BG-0010","VEHICLE_CLASS_NEGATIVE","1","directly_reviewed_complete","四表示中均可见持续弧线/水平线背景，tracked 表示可把背景线组织成稳定方向结构。","等支持对照表明线性和弧形稳定性可由无车背景复现，不能把方向连续性自动视为车体支撑。","local 路径明显抬高背景纹理与末端亮区，fixed/local 都保留主要弧线，细节具有归一化依赖。","Raw 为 8/8 shared-frame pairs，Smoothed 为 3/0；只支持 Raw 背景复现审计。","本实体无 axis-placebo artifact；背景方向结构不能替代车辆轴安慰剂实验。","本实体无 parameter-profile artifact；其位置只属于 baseline 背景控制，不提供物理参数界。","这是车辆类别阴性背景，并与 BG0011 属于同一 baseline spatial cluster；它复现了部分结构规律。","COUNTERFACTUAL_REPRODUCES"
"S1L-OCS-VR-007","CLASS-NEGATIVE-S1L-BG-0011","VEHICLE_CLASS_NEGATIVE","1","directly_reviewed_complete","强直线与中心热点在 world、Cartesian、radial 和 body 中都清晰存在，旋转表示只改变线的方向。","等支持图直接证明强线加热点可在车辆类别阴性区域形成高方向一致性和紧致响应。","fixed/local 两路均保留强线；local 增强背景纹理但不改变该反事实的主要角色。","Raw 为 8/8 shared-frame pairs，Smoothed 为 3/0；且它与 BG0010 同簇，不能计作独立背景重复。","本实体无 axis-placebo artifact；强线对旋转敏感不等于 GT body axis 有物理意义。","本实体无 parameter-profile artifact；同簇强线诊断不能提供参数可观测区间。","该 same-cluster strong-line diagnostic 复现关键方向/紧致结构，因此限制车辆类别结构结论。","COUNTERFACTUAL_REPRODUCES"
"S1L-OCS-VR-008","CLASS-NEGATIVE-S1L-BG-OCS-B3-SA35N","VEHICLE_CLASS_NEGATIVE","1","directly_reviewed_complete","fixed 路径以硬散射点、旁瓣和弧形背景为主；local 路径显著放大为宽亮块和弧形结构。","等支持几何满足背景控制要求，但没有稳定车辆轮廓；其硬散射可复现部分紧致和方向代理。","fixed/local 视觉差异很大，主要结论受候选局部重估放大控制，必须标记归一化依赖。","Raw 为 8/8 shared-frame pairs，Smoothed 为 3/0；不能形成双锚点稳定背景证据。","本实体无 axis-placebo artifact；不适用 GT 轴相对安慰剂判断。","本实体无 parameter-profile artifact；只在 baseline/包络簇审计中提供背景约束。","这是第二 baseline spatial cluster 的困难散射背景，复杂度匹配仅 partial，证据不能升级为独立统计重复。","NORMALIZATION_DEPENDENT"
"S1L-OCS-VR-009","CLASS-NEGATIVE-S1L-BG-OCS-B4-FX88","VEHICLE_CLASS_NEGATIVE","1","directly_reviewed_complete","fixed 路径只见弱各向异性斑点；local 路径抬高均匀斑点纹理，没有持续强线或紧致车辆样支撑。","等支持下未视觉复现正车辆的横向亮链；该控制只能承担 fixed anisotropic-speckle 角色，不能重命名为 strong-line。","local 增强整体斑点但不产生稳定车辆形态，主要否证方向在两路一致。","Raw 为 8/8 shared-frame pairs，Smoothed 为 3/0；Raw 低 FIELD_NCC 不能替代缺失的 Smoothed 对称证据。","本实体无 axis-placebo artifact；不适用轴规则结论。","本实体无 parameter-profile artifact；且其完整一维参数包络与 BG0010 不严格分离。","它构成第三 baseline spatial cluster，但只是不复现车辆样视觉图样的有限背景控制。","COUNTERFACTUAL_DOES_NOT_REPRODUCE"
"S1L-OCS-VR-010","S0MV-GM_RM017-PV002-SEG02|TEMPORAL_SHUFFLE","TEMPORAL_NEGATIVE","1","directly_reviewed_complete","时间打乱后 Cartesian/body 的紧致亮链被削弱为低对比散布带，radial 与 world 主要保留背景结构。","等支持变换一致，形态削弱来自错误图像-anchor 对应，而不是窗口范围差异。","fixed/local 都显示紧致结构明显下降，local 只轻微改变噪声与对比。","Raw 8/8 pairs 的 nonadjacent FIELD_NCC 为负；Smoothed 3/0，无双锚点完整证据。","本实体无 axis-placebo artifact；这里打乱的是图像时序对应，不是轴安慰剂规则。","本实体无 parameter-profile artifact；不适用参数可观测性判断。","它支持错误对应会破坏部分结构，但只属于 temporal correspondence negative，不证明时间方向。","COUNTERFACTUAL_DOES_NOT_REPRODUCE"
