forward_case_id,scene,canonical_vehicle_id,split_role,optical_frame,sar_frame,optical_observation_phase,limiting_state,center_u_px,center_v_px,bbox_width_px,bbox_height_px,effective_scale_px,aspect_ratio,azimuth_min_deg,azimuth_max_deg,radius_min_px,radius_max_px,heading_min_deg,heading_max_deg,long_axis_min_px,long_axis_max_px,short_axis_min_px,short_axis_max_px,joint_feasible_area_px2,old_wide_azimuth_area_px2,area_reduction_fraction,temporal_direction_constraint,competing_interpretation,coupled_state,remaining_unknown,target_gt_access_status,forward_evidence_case_id,forward_evidence_path
G1F0001,GM_RM017,GM_RM017:PV002,HELDOUT_WITHIN_SCENE,154,321,PRE_BROADSIDE,CORE_VISIBLE,154.305000,361.454500,259.462000,92.447000,154.875703,2.806603,-30.131968,-23.428700,316.516566,438.475406,-13.000000,9.000000,133.706000,202.666000,58.277000,96.716000,5386.288011,619972.118398,0.991312,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,COUPLED_GEOMETRY_PLAUSIBLE,exact response boundary and target ownership unknown,TARGET_SAR_GT_NOT_ACCESSED,G1F0002,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM017_PV002_G1F0002.png
G1F0002,GM_RM017,GM_RM017:PV002,HELDOUT_WITHIN_SCENE,164,342,BROADSIDE_CANDIDATE,CORE_VISIBLE,381.879500,355.119500,274.159000,99.363000,165.049268,2.759166,-8.983654,-1.381174,295.274265,405.735667,-14.000000,8.000000,133.706000,202.666000,58.277000,96.716000,5137.329024,619972.118398,0.991714,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,COUPLED_GEOMETRY_PLAUSIBLE,exact response boundary and target ownership unknown,TARGET_SAR_GT_NOT_ACCESSED,G1F0002,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM017_PV002_G1F0002.png
G1F0003,GM_RM017,GM_RM017:PV002,HELDOUT_WITHIN_SCENE,173,361,POST_BROADSIDE,CORE_VISIBLE,620.881000,344.881500,313.910000,105.171000,181.698180,2.984758,-6.076906,33.923094,0.000000,1332.700000,-20.000000,20.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,PHASE_AMBIGUOUS,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0002,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM017_PV002_G1F0002.png
G1F0004,GM_RM019,GM_RM019:PV001,HELDOUT_CROSS_SCENE,0,0,PRE_BROADSIDE,TRUNCATION_LIMITED,414.344000,470.459000,582.242000,255.686000,385.838215,2.277176,-24.152074,15.847926,0.000000,1332.700000,-20.000000,20.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0005,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV001_G1F0005.png
G1F0005,GM_RM019,GM_RM019:PV001,HELDOUT_CROSS_SCENE,7,15,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,606.392500,486.368000,384.651000,220.738000,291.388216,1.742568,-7.344873,32.655127,0.000000,1332.700000,-20.000000,20.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0005,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV001_G1F0005.png
G1F0006,GM_RM019,GM_RM019:PV001,HELDOUT_CROSS_SCENE,14,30,POST_BROADSIDE,TRUNCATION_LIMITED,760.204000,514.846500,78.702000,126.749000,99.876923,0.620928,6.116002,46.116002,0.000000,1332.700000,-90.000000,90.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0005,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV001_G1F0005.png
G1F0007,GM_RM019,GM_RM019:PV002,HELDOUT_CROSS_SCENE,5,11,PRE_BROADSIDE,TRUNCATION_LIMITED,47.968500,428.052500,94.977000,184.409000,132.342788,0.515035,-56.215573,-16.215573,0.000000,1332.700000,-90.000000,90.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0008,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV002_G1F0008.png
G1F0008,GM_RM019,GM_RM019:PV002,HELDOUT_CROSS_SCENE,24,50,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,353.303000,459.920500,595.626000,275.279000,404.923857,2.163718,-29.494102,10.505898,0.000000,1332.700000,-20.000000,20.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0008,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV002_G1F0008.png
G1F0009,GM_RM019,GM_RM019:PV002,HELDOUT_CROSS_SCENE,43,90,POST_BROADSIDE,TRUNCATION_LIMITED,787.721500,472.650000,24.179000,112.664000,52.192939,0.214612,8.524207,48.524207,0.000000,1332.700000,-90.000000,90.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0008,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV002_G1F0008.png
G1F0010,GM_RM019,GM_RM019:PV004,HELDOUT_CROSS_SCENE,149,311,PRE_BROADSIDE,TRUNCATION_LIMITED,46.935000,432.639000,92.998000,213.052000,140.760115,0.436504,-56.306020,-16.306020,0.000000,1332.700000,-90.000000,90.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0011,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV004_G1F0011.png
G1F0011,GM_RM019,GM_RM019:PV004,HELDOUT_CROSS_SCENE,166,346,BROADSIDE_CANDIDATE,TRUNCATION_LIMITED,309.088000,450.778500,587.472000,293.101000,414.956179,2.004333,-33.363595,6.636405,0.000000,1332.700000,-20.000000,20.000000,133.706000,202.666000,58.277000,96.716000,619972.118398,619972.118398,0.000000,INCREASING_U,approach/departure phase ambiguity; time-link uncertainty; neighbor vehicle; scene-specific geometry,TRUNCATION_LIMITED,radial interval intentionally unbounded because optical scale semantics are truncated or outside development aspect support,TARGET_SAR_GT_NOT_ACCESSED,G1F0011,docs/reviews/assets/20260718_rsa2_g1_coupled_geometry/F_GM_RM019_PV004_G1F0011.png
