object_id,case_id,scene,sar_frame,object_type,source_operator,endpoint_1_xy,endpoint_2_xy,centroid_xy,length_px,width_px,axis_deg,axis_error_to_allowed_prior_deg,mean_response,peak_response,persistence_group,primary_object,parent_band_id,allowed_near_side_relation_fraction,support_fragment_count,attached_hotspot_count,background_crossing_flag,uncertainty_state,posthoc_gt_overlap_fraction,posthoc_nsb_overlap_fraction,runtime_gt_access,posthoc_audit_status,forbidden_conclusion,notes
G1F0002_S0339_R001,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1163.776,865.187]","[1043.989,879.996]","[1103.882,872.592]",121.699,27.962,-7.048,4.048,0.099772,0.651970,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R002,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1228.197,864.313]","[1203.943,861.487]","[1216.070,862.900]",25.417,4.869,6.646,9.646,0.084003,0.398949,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R003,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1210.489,875.516]","[1179.713,869.460]","[1195.101,872.488]",32.366,6.775,11.132,14.132,0.140175,0.692543,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R004,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1018.770,878.046]","[999.061,873.720]","[1008.916,875.883]",21.178,5.020,12.379,15.379,0.067894,0.398983,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R005,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1225.000,877.000]","[1240.000,877.000]","[1232.500,877.000]",16.000,1.000,0.000,3.000,0.111591,0.367084,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R006,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1024.021,888.742]","[1011.003,889.115]","[1017.512,888.928]",14.023,1.545,-1.642,1.358,0.119859,0.441659,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R007,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1128.945,899.643]","[1074.993,900.048]","[1101.969,899.845]",54.953,16.718,-0.430,2.570,0.109556,0.939815,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R008,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1208.000,892.909]","[1229.000,892.909]","[1218.500,892.909]",22.000,1.950,0.000,3.000,0.153266,0.425308,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R009,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1184.774,894.513]","[1161.020,898.129]","[1172.897,896.321]",25.028,3.725,-8.654,5.654,0.144395,0.510185,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R010,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1024.018,902.359]","[1001.008,901.725]","[1012.513,902.042]",24.019,2.881,1.580,4.580,0.082722,0.580372,,false,G1F0002_S0339_B001,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
