"scene","asset_id","asset_type","source_or_variant","path","coverage_status","frame_start","frame_end","row_count","frames_with_data","frames_without_data","shape_or_dimension","schema_or_quality_summary","reuse_decision","regeneration_required","notes"
"GM_RM011","P1A_GM011_RAW_FRAMES","raw_optical_frames","exported_png","D:\profile\research\data\GM_RM011\GM_RM011_frames","complete_368","0","367","368","368","0","800x600","000000.png..000367.png; sequential access verified","reuse_read_only","no","No missing index or dimension outlier."
"GM_RM011","P1A_GM011_SOURCE_VIDEO","source_optical_video","GM_RM011_C.MP4","D:\profile\research\data\mp4\GM_RM011_C.MP4","complete_368","0","367","368","368","0","800x600@24fps","decoded frames 0/100/200/367 exactly match PNG","reuse_read_only","no","Direct source container for current PNG sequence."
"GM_RM017","P1A_GM017_RAW_FRAMES","raw_optical_frames","exported_png","D:\profile\research\data\GM_RM017\GM_RM017_frames","complete_368","0","367","368","368","0","800x600","000000.png..000367.png; sequential access verified","reuse_read_only","no","No missing index or dimension outlier."
"GM_RM017","P1A_GM017_SOURCE_VIDEO","source_optical_video","GM_RM017_C.MP4","D:\profile\research\data\mp4\GM_RM017_C.MP4","complete_368","0","367","368","368","0","800x600@24fps","decoded frames 0/100/200/367 exactly match PNG","reuse_read_only","no","Direct source container for current PNG sequence."
"GM_RM019","P1A_GM019_RAW_FRAMES","raw_optical_frames","exported_png","D:\profile\research\data\GM_RM019\GM_RM019_frames","complete_368","0","367","368","368","0","800x600","000000.png..000367.png; sequential access verified","reuse_read_only","no","No missing index or dimension outlier."
"GM_RM019","P1A_GM019_SOURCE_VIDEO","source_optical_video","GM_RM019_C.MP4","D:\profile\research\data\mp4\GM_RM019_C.MP4","complete_368","0","367","368","368","0","800x600@24fps","decoded frames 0/100/200/367 exactly match PNG","reuse_read_only","no","Direct source container for current PNG sequence."
"GM_RM011","P1A_GM011_Y11L","detection_table","YOLO11l","outputs/oty0_yolo_detection_stream_audit_20260704_gm011_oty_stream/oty0_yolo_detection_table.csv","complete_368","0","367","422","233","135","15 columns; bbox/confidence/class/path","low_conf<0.50:112; border-touch:412; IoU>=0.70 pairs:9; car413/truck9","reuse_as_supplement","no","86 single-box and 147 multi-box frames."
"GM_RM011","P1A_GM011_Y26L","detection_table","YOLO26l","outputs/oty2_yolo26l_detector_quality_probe_20260704_231830/oty0_yolo_detection_stream_audit_yolo26l_gm_rm011/oty0_yolo_detection_table.csv","complete_368","0","367","413","243","125","15 columns; bbox/confidence/class/path","low_conf<0.50:103; border-touch:413; IoU>=0.70 pairs:35; car392/truck21","reuse_as_backbone_after_normalization","no","110 single-box and 133 multi-box frames; duplicate/class-conflict pressure is high."
"GM_RM017","P1A_GM017_Y11L","detection_table","YOLO11l","outputs/oty0_yolo_detection_stream_audit_20260701_181317/oty0_yolo_detection_table.csv","complete_368","0","367","215","100","268","15 columns; bbox/confidence/class/path","low_conf<0.50:19; border-touch:99; IoU>=0.70 pairs:3; car153/truck58/bus4","reuse_as_supplement","no","31 single-box and 69 multi-box frames."
"GM_RM017","P1A_GM017_Y26L","detection_table","YOLO26l","outputs/oty2_yolo26l_detector_quality_probe_20260704_231830/oty0_yolo_detection_stream_audit_yolo26l_gm_rm017/oty0_yolo_detection_table.csv","complete_368","0","367","215","104","264","15 columns; bbox/confidence/class/path","low_conf<0.50:20; border-touch:104; IoU>=0.70 pairs:4; car159/truck55/bus1","reuse_as_backbone_after_normalization","no","42 single-box and 62 multi-box frames."
