case_id,scene,canonical_vehicle_id,sar_frame_index,optical_lifecycle_state,review_coordinate_system,region_id,review_category,region_bbox_xyxy,review_basis,review_status,reviewer,review_artifact_path,review_artifact_sha256,inference_freeze_manifest_sha256_before_review,causal_npz_sha256_before_review,bidirectional_npz_sha256_before_review,contains_target_reference,used_to_change_inference_rules
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,303,ENTERING_PROVISIONAL,stabilized_roi_xy,D303_MAIN_01,VISIBLE_MAIN_RESPONSE,"[465,690,560,745]",coherent bright shell-internal response patch,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000303.png,3f3152f5743ce745a9510d3a0122009c127443c5595aa306eff245141b8dae94,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,303,ENTERING_PROVISIONAL,stabilized_roi_xy,D303_INT_01,VISIBLE_INTERMITTENT_RESPONSE,"[350,480,410,525]",weaker isolated bright fragment inside the shell,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000303.png,3f3152f5743ce745a9510d3a0122009c127443c5595aa306eff245141b8dae94,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,303,ENTERING_PROVISIONAL,stabilized_roi_xy,D303_BG_01,CLEAR_BACKGROUND,"[285,570,340,630]",low-texture shell-internal review patch,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000303.png,3f3152f5743ce745a9510d3a0122009c127443c5595aa306eff245141b8dae94,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,303,ENTERING_PROVISIONAL,stabilized_roi_xy,D303_MIX_01,MIXED_OR_UNRESOLVED,"[400,750,500,835]",heterogeneous bright clutter cannot be assigned to the identity,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000303.png,3f3152f5743ce745a9510d3a0122009c127443c5595aa306eff245141b8dae94,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,331,ACTIVE_CONFIRMED,stabilized_roi_xy,D331_MAIN_01,VISIBLE_MAIN_RESPONSE,"[335,565,400,610]",compact bright response within the active shell,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000331.png,7d21645741fb9c8cee5ba6284d099e61846212127fb20753b10aa10a3f5f69ef,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,331,ACTIVE_CONFIRMED,stabilized_roi_xy,D331_INT_01,VISIBLE_INTERMITTENT_RESPONSE,"[350,620,425,660]",weaker horizontal fragment separated from the main patch,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000331.png,7d21645741fb9c8cee5ba6284d099e61846212127fb20753b10aa10a3f5f69ef,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,331,ACTIVE_CONFIRMED,stabilized_roi_xy,D331_BG_01,CLEAR_BACKGROUND,"[300,525,335,565]",low-response patch inside the narrow shell,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000331.png,7d21645741fb9c8cee5ba6284d099e61846212127fb20753b10aa10a3f5f69ef,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,331,ACTIVE_CONFIRMED,stabilized_roi_xy,D331_MIX_01,MIXED_OR_UNRESOLVED,"[420,675,480,760]",dense lower clutter and vertical structure are not identity-separable,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000331.png,7d21645741fb9c8cee5ba6284d099e61846212127fb20753b10aa10a3f5f69ef,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,359,ACTIVE_CONFIRMED,stabilized_roi_xy,D359_MAIN_01,VISIBLE_MAIN_RESPONSE,"[370,700,425,740]",compact central bright fragment,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000359.png,9920a2d144a0d18a655ce6951345b8bcfa1ba5ec21de996d4cbe746ae6fa2067,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
S1D0-DISCOVERY-GM_RM017-PV002,GM_RM017,GM_RM017:PV002,359,ACTIVE_CONFIRMED,stabilized_roi_xy,D359_INT_01,VISIBLE_INTERMITTENT_RESPONSE,"[345,835,395,880]",weaker lower bright fragment near the shell edge,directly_reviewed_complete,Codex direct image review,D:\profile\research\workspace\output\oty2_s1d0_20260717\visible_response_reference_review\S1D0-DISCOVERY-GM_RM017-PV002\visible_response_reference_review_sar_000359.png,9920a2d144a0d18a655ce6951345b8bcfa1ba5ec21de996d4cbe746ae6fa2067,9a8d3a0963bf8bc109e5bdb2921b9257161563996a001afd1705509f697c6038,06f253b8ef4d87963191c1f20594a05ff6424374592f5aa977767174a9e5e6b1,1854282e6a0bdadd8c4ef09d74637c957647bf3b8a487529720f03f448115062,false,false
