object_id,area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,centroid_x,centroid_y,window_id,window_role,object_semantics
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0001,95,1200,646,1225,654,1211.8947368421052,649.2315789473685,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0002,33,1226,651,1235,656,1230.3030303030303,653.2727272727273,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0003,72,1259,652,1271,662,1265.3055555555557,657.1388888888889,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0004,37,539,726,546,733,541.6216216216217,729.0,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0005,36,789,739,800,747,793.8888888888889,743.0555555555555,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0006,162,502,740,529,767,514.8333333333334,753.6666666666666,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0007,32,1007,852,1017,856,1011.5,853.3125,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0008,44,1277,953,1284,963,1280.25,957.5909090909091,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0009,203,930,959,959,972,945.935960591133,966.0197044334975,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0010,47,912,968,925,974,918.9574468085107,970.3617021276596,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
