scene,canonical_vehicle_id,frame_first_visible,frame_last_visible,visible_frame_ranges,partial_visibility_ranges,full_occlusion_ranges,visible_but_unboxed_ranges,entry_frame,entry_location,entry_direction,exit_frame,exit_location,exit_direction,vehicle_color,vehicle_type_or_shape,dominant_motion_direction,scale_trend,distinctive_visual_features,occluding_vehicle_ids,p1c_global_vehicle_ids,source_tracker_ids,identity_evidence_summary,benchmark_confidence,notes
GM_RM011,GM_RM011:PV001,0,35,0-35,0-4;6-35,,,0,initial_frame_or_interior,camera_sweep_reveal_or_scene_entry,35,right_boundary,camera_sweep_hide_or_scene_exit,white,compact crossover/SUV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,dark window band and patterned interior sunshades,,GM_RM011:GV001,YOLO11l:botsort:bs_0002;YOLO11l:botsort:bs_0007;YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0002;YOLO11l:bytetrack:bt_0007;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001;YOLO26l:bytetrack:bt_0004,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV002,0,4,0-4,0-4,,,0,right_boundary,camera_sweep_reveal_or_scene_entry,4,right_boundary,camera_sweep_hide_or_scene_exit,white/silver,partial parked passenger vehicle,stationary_world; apparent_minimal_horizontal_drift_from_camera_sweep,decreasing,rear-quarter fragment behind PV001,,GM_RM011:GV002,YOLO11l:botsort:bs_0001;YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0001;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,"Simultaneously visible with GV001 at frames 0-4, proving a separate physical vehicle.",confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV003,20,59,20-59,20-40;44;47-59,,,20,left_boundary,camera_sweep_reveal_or_scene_entry,59,right_boundary,camera_sweep_hide_or_scene_exit,white,large MPV,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,MAXUS grille and broad headlamp cluster,,GM_RM011:GV003,YOLO11l:botsort:bs_0016;YOLO11l:bytetrack:bt_0016;YOLO26l:botsort:bs_0009;YOLO26l:botsort:bs_0011;YOLO26l:bytetrack:bt_0009;YOLO26l:bytetrack:bt_0011;YOLO26l:bytetrack:bt_0013,Continuous front-to-side sweep; simultaneous with GV001 and covered GV004 without subject switching.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV004,39,87,39-87,39-54;57;59-87,,59;61-75;77-87,39,left_boundary,camera_sweep_reveal_or_scene_entry,87,right_boundary,camera_sweep_hide_or_scene_exit,silver cover,fully covered passenger vehicle,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,silver fitted cover with tied lower edge,,GM_RM011:GV004,YOLO11l:botsort:bs_0018;YOLO11l:bytetrack:bt_0019;YOLO26l:botsort:bs_0013;YOLO26l:botsort:bs_0015;YOLO26l:bytetrack:bt_0017;YOLO26l:bytetrack:bt_0019;YOLO26l:bytetrack:bt_0021,A separate covered vehicle is tracked at 39-55 but remains visibly present through about frame 87 without a P1-C thread.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV005,87,130,87-130,87-130,,,87,left_boundary,camera_sweep_reveal_or_scene_entry,130,right_boundary,camera_sweep_hide_or_scene_exit,white,Nissan sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,black V-motion grille and swept headlights,,GM_RM011:GV005,YOLO11l:botsort:bs_0021;YOLO11l:botsort:bs_0022;YOLO11l:bytetrack:bt_0023;YOLO11l:bytetrack:bt_0024;YOLO26l:botsort:bs_0019;YOLO26l:bytetrack:bt_0025,"The white Nissan sedan is already partially visible at the left boundary in frame 87; both existing detector boxes correctly observe that entering vehicle, while PV004 remains visible at the right boundary in the same frame.",confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV006,110,140,110-140,110-121;127-140,,,110,left_boundary,camera_sweep_reveal_or_scene_entry,140,right_boundary,camera_sweep_hide_or_scene_exit,tan/orange cover,fully covered passenger vehicle,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,warm-colored fitted cover,,GM_RM011:GV006,YOLO11l:botsort:bs_0024;YOLO11l:bytetrack:bt_0026;YOLO11l:bytetrack:bt_0032;YOLO26l:botsort:bs_0026;YOLO26l:bytetrack:bt_0032,Stationary covered vehicle between GV005 and GV007; simultaneous visibility proves distinct identity.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV007,116,151,116-151,116-151,,,116,left_boundary,camera_sweep_reveal_or_scene_entry,151,right_boundary,camera_sweep_hide_or_scene_exit,dark gray,sedan,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,narrow swept headlights and dark hood,,GM_RM011:GV007,YOLO11l:botsort:bs_0022;YOLO11l:bytetrack:bt_0024;YOLO26l:botsort:bs_0025;YOLO26l:bytetrack:bt_0031,Continuous front view; spatially ordered between covered GV006 and white GV008.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV008,135,166,135-166,135-166,,162,135,left_boundary,camera_sweep_reveal_or_scene_entry,166,right_boundary,camera_sweep_hide_or_scene_exit,white,Honda sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,red Honda grille badge,,GM_RM011:GV008,YOLO11l:botsort:bs_0029;YOLO11l:bytetrack:bt_0031;YOLO11l:bytetrack:bt_0032;YOLO26l:botsort:bs_0030;YOLO26l:bytetrack:bt_0039;YOLO26l:bytetrack:bt_0049,Continuous front view with one reviewed gap at frame 162; overlaps GV007 and covered GV009.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV009,155,196,155-196,155-166;168-196,,168-187;193;195-196,155,left_boundary,camera_sweep_reveal_or_scene_entry,196,right_boundary,camera_sweep_hide_or_scene_exit,silver cover,fully covered passenger vehicle,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,continuous silver-covered car beside scooters and then under the overpass,,GM_RM011:GV009;GM_RM011:GV010,YOLO11l:botsort:bs_0031;YOLO11l:bytetrack:bt_0034;YOLO11l:bytetrack:bt_0041;YOLO26l:botsort:bs_0039;YOLO26l:bytetrack:bt_0052,GV009 and GV010 are two fragments of the same continuously visible covered vehicle; frames 167-187 and 192-196 remain visible without thread support.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV010,211,245,211-245,211-245,,,211,left_boundary,camera_sweep_reveal_or_scene_entry,245,right_boundary,camera_sweep_hide_or_scene_exit,white,compact sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,red tail lamps and dark side windows,,GM_RM011:GV011,YOLO11l:botsort:bs_0038;YOLO11l:botsort:bs_0044;YOLO11l:bytetrack:bt_0044;YOLO11l:bytetrack:bt_0051;YOLO26l:botsort:bs_0041;YOLO26l:bytetrack:bt_0054,Continuous rear-to-front camera sweep with reviewed two-frame detector gap; overlaps GV012 at frames 243-245.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV011,243,266,243-266,243-252;254-266,,,243,left_boundary,camera_sweep_reveal_or_scene_entry,266,right_boundary,camera_sweep_hide_or_scene_exit,white,sleek sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,black panoramic roof and flush dark handles,,GM_RM011:GV012,YOLO11l:botsort:bs_0051;YOLO11l:botsort:bs_0056;YOLO11l:bytetrack:bt_0060;YOLO11l:bytetrack:bt_0067;YOLO11l:bytetrack:bt_0070;YOLO26l:botsort:bs_0051;YOLO26l:botsort:bs_0052;YOLO26l:bytetrack:bt_0065;YOLO26l:bytetrack:bt_0070,"Continuous side sweep; simultaneously visible with GV011 and GV013, excluding reset over-splitting.",confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV012,262,292,262-292,262-271;273-280;282-292,,,262,left_boundary,camera_sweep_reveal_or_scene_entry,292,right_boundary,camera_sweep_hide_or_scene_exit,white,sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,black roof/window band and triangular rear quarter,,GM_RM011:GV013,YOLO11l:botsort:bs_0061;YOLO11l:bytetrack:bt_0067;YOLO11l:bytetrack:bt_0074;YOLO11l:bytetrack:bt_0075;YOLO11l:bytetrack:bt_0077;YOLO26l:botsort:bs_0052;YOLO26l:botsort:bs_0057;YOLO26l:bytetrack:bt_0070;YOLO26l:bytetrack:bt_0074,Continuous rear-to-front sweep; overlaps both GV012 and GV014 at different boundaries.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV013,284,315,284-315,284-293;296;300;304;306-315,,295;301,284,left_boundary,camera_sweep_reveal_or_scene_entry,315,right_boundary,camera_sweep_hide_or_scene_exit,white,SUV/crossover,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,"black roof rails, angular red tail lamps, chrome handles",,GM_RM011:GV014,YOLO11l:botsort:bs_0064;YOLO11l:bytetrack:bt_0079;YOLO11l:bytetrack:bt_0080;YOLO11l:bytetrack:bt_0081;YOLO26l:botsort:bs_0062;YOLO26l:bytetrack:bt_0080;YOLO26l:bytetrack:bt_0081;YOLO26l:bytetrack:bt_0088,Continuous rear-to-front sweep with reviewed detector gaps; overlaps GV013 at frames 284-292.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM011,GM_RM011:PV014,307,336,307-336,307-336,,307-336,307,left_boundary,camera_sweep_reveal_or_scene_entry,336,right_boundary,camera_sweep_hide_or_scene_exit,silver cover,fully covered passenger vehicle,stationary_world; apparent_camera_sweep,not_available_without_p1c_box,large silver-covered vehicle after the white SUV,,,,A distinct covered vehicle is continuously visible at about frames 307-336 after GV014 but never enters any P1-C thread.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM017,GM_RM017:PV001,118,164,118-164,118-128;160-164,,,118,left_boundary,camera_sweep_reveal_or_scene_entry,164,right_boundary,camera_sweep_hide_or_scene_exit,white,box truck,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,tall rectangular cargo body,,GM_RM017:GV001,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0006;YOLO26l:bytetrack:bt_0006,"Full entry-to-exit sweep, distinct from all passenger vehicles.",confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM017,GM_RM017:PV002,145,185,145-185,145-153;174-185,,,145,left_boundary,camera_sweep_reveal_or_scene_entry,185,right_boundary,camera_sweep_hide_or_scene_exit,dark gray,leading sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,dark sedan leading the three passenger vehicles,,GM_RM017:GV002,YOLO11l:botsort:bs_0008;YOLO11l:bytetrack:bt_0008;YOLO11l:bytetrack:bt_0014;YOLO26l:botsort:bs_0011;YOLO26l:bytetrack:bt_0011,Maintains leading order and exits at frame 185.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM017,GM_RM017:PV003,151,200,151-200,151-161;189-200,,,151,left_boundary,camera_sweep_reveal_or_scene_entry,200,right_boundary,camera_sweep_hide_or_scene_exit,white,SUV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,white tall-body vehicle between two dark sedans,,GM_RM017:GV003,YOLO11l:botsort:bs_0010;YOLO11l:bytetrack:bt_0010;YOLO11l:bytetrack:bt_0014;YOLO26l:botsort:bs_0013;YOLO26l:bytetrack:bt_0013,Simultaneously distinguishable from both dark sedans and exits at frame 200.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
GM_RM017,GM_RM017:PV004,162,214,162-214,162-168;202-214,,,162,left_boundary,camera_sweep_reveal_or_scene_entry,214,right_boundary,camera_sweep_hide_or_scene_exit,dark gray,trailing sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,dark sedan behind the white SUV,,GM_RM017:GV004,YOLO11l:botsort:bs_0012;YOLO11l:bytetrack:bt_0012;YOLO11l:bytetrack:bt_0014;YOLO26l:botsort:bs_0016;YOLO26l:bytetrack:bt_0016,Preserves trailing order and exits at frame 214; no later vehicle appears.,confirmed_with_partial_visibility,Canonical benchmark identity; not a repaired P1-C runtime prediction.
