failure_id,baseline,benchmark_role,scene,canonical_vehicle_id,runtime_local_subject_id,frame_start,frame_end,failure_type,evidence,identity_consequence,review_priority,notes
P1F_EVAL_F00001,A_YOLO26L,heldout_validation,GM_RM011,GM_RM011:PV003,,52,54,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00002,A_YOLO26L,heldout_validation,GM_RM011,GM_RM011:PV003,,56,59,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00003,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV004,,46,51,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00004,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV004,,59,75,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00005,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV004,,77,87,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00006,A_YOLO26L,development,GM_RM011,GM_RM011:PV006,,110,114,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00007,A_YOLO26L,development,GM_RM011,GM_RM011:PV006,,116,123,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00008,A_YOLO26L,development,GM_RM011,GM_RM011:PV006,,126,130,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00009,A_YOLO26L,development,GM_RM011,GM_RM011:PV006,,134,140,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00010,A_YOLO26L,heldout_validation,GM_RM011,GM_RM011:PV008,,162,162,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
