case_id,sar_frame,channel,coordinate_family,positive_sample_count,background_sample_count,unresolved_sample_count,positive_median,background_median,unresolved_median,positive_minus_background_median,positive_vs_background_auc,score_interpretation
PV002_330_350,330,display_raw_8bit,sar_display_px,3366,2837,20286,0.937500,0.791667,0.833333,0.145833,0.734433,independent_channel_metric_not_weighted_winner
PV002_330_350,330,display_local_contrast,sar_display_px,3366,2837,20286,0.575668,0.548075,0.517557,0.027592,0.550896,independent_channel_metric_not_weighted_winner
PV002_330_350,330,display_local_z,sar_display_px,3366,2837,20286,0.573035,0.562999,0.535166,0.010037,0.543663,independent_channel_metric_not_weighted_winner
PV002_330_350,330,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.575296,0.548832,0.522294,0.026464,0.549687,independent_channel_metric_not_weighted_winner
PV002_330_350,330,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.560711,0.400563,0.457661,0.160148,0.652391,independent_channel_metric_not_weighted_winner
PV002_330_350,330,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.054054,0.054054,0.027027,0.000000,0.513901,independent_channel_metric_not_weighted_winner
PV002_330_350,330,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.448980,0.326531,0.367347,0.122449,0.593508,independent_channel_metric_not_weighted_winner
PV002_330_350,330,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.379310,0.258621,0.310345,0.120690,0.613636,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,0.925926,0.814815,0.870370,0.111111,0.718759,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,0.901408,0.774648,0.845070,0.126761,0.731256,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.883721,0.767442,0.837209,0.116279,0.687195,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.461538,0.384615,0.461538,0.076923,0.570592,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.622222,0.533333,0.577778,0.088889,0.594684,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.666667,0.361111,0.472222,0.305556,0.711230,independent_channel_metric_not_weighted_winner
PV002_330_350,330,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.495499,independent_channel_metric_not_weighted_winner
PV002_330_350,334,display_raw_8bit,sar_display_px,3366,2837,20286,0.937500,0.791667,0.854167,0.145833,0.726189,independent_channel_metric_not_weighted_winner
PV002_330_350,334,display_local_contrast,sar_display_px,3366,2837,20286,0.603135,0.544350,0.511376,0.058784,0.573514,independent_channel_metric_not_weighted_winner
PV002_330_350,334,display_local_z,sar_display_px,3366,2837,20286,0.594931,0.560365,0.531912,0.034566,0.557912,independent_channel_metric_not_weighted_winner
