case_id,scene,vehicle_or_context,optical_sar_window,g1_expression,direct_image_observation,g1_mismatch,retained_truncation_or_context,candidate_mechanism,supporting_evidence,counterexample_or_limit,sar_local_structure_research_status,evidence_figure
G1R1C001,GM_RM017,PV002,optical 145-185 / SAR 302-386,PRE-BROADSIDE-POST from per-thread u quantiles,Black sedan remains full-side dominant through optical 154-173 and only later becomes right-clipped,optical 173 is labelled POST although a complete side view remains visible,Left/right boundary handoff; full side axis; same-frame PV003 and PV004 order,Event bracket plus same-scene relative order and scale-radius relation,Minimum usable GT radius maps to optical 167 inside the laterally-unclipped 154-173 interval; optical and SAR order agree at 164 173 and 181,Absolute r times sqrt-area envelope remains GM17-specific,SUITABLE_CONTROLLED,A01;A02
G1R1C002,GM_RM017,PV003,optical 151-200 / SAR 315-394,PRE-BROADSIDE-POST from per-thread u quantiles,White SUV shows a long full-side-dominant interval across labels and a radial decrease then increase,Quantile phase boundaries do not equal rear-side broadside front-side pose boundaries,Left/right clip release; full side axis; neighboring vehicles; pole occlusion,Closest-pass bracket with radius trend rather than one phase label,Minimum usable GT radius maps to optical 180 inside the laterally-unclipped 162-188 interval,Occlusion and GT sampling prevent a single exact closest frame claim,SUITABLE_CONTROLLED,A01;A02
G1R1C003,GM_RM017,PV004,optical 162-214 / SAR 337-446,PRE-BROADSIDE-POST from per-thread u quantiles,Dark wagon remains side-dominant while moving from left clip through full view to right clip,G1 POST is mainly an image-boundary segment and not a unique physical pose,Boundary direction; visible long axis; same-scene order relative to PV003 and PV002,Shared platform progress with a vehicle-specific closest-point offset,Minimum usable GT radius maps to optical 189 inside the laterally-unclipped 169-201 interval,Foreground pole and later right clipping weaken exact scale interpretation,SUITABLE_CONTROLLED,A01;A02
G1R1C004,GM_RM011,PV001,optical 0-35 / SAR 0-73,All rows treated as TRUNCATION_LIMITED with radial interval returned to the full fan,Bottom clipping persists but roofline side axis front-rear progression and lateral boundary release remain visible,Truncation was treated as destruction of all radial evidence,Left versus right clipping; uncut horizontal extent or lower bound; roofline; entry and exit direction,Boundary-event bracket plus one-sided scale and direction constraints,Minimum usable GT radius maps to optical 8 inside the laterally-unclipped 6-17 interval; O2 red position and yellow 90-degree controls remain rejectable,Exact radial interval is not recovered from truncation alone,SUITABLE_CONTROLLED,A03
G1R1C005,GM_RM011,PV006,optical 110-140 / SAR 230-292,PRE-BROADSIDE-POST despite frontal or oblique-front observation,Vehicle remains near end-on while labels change; bottom clipping does not erase lateral order,G1 uses the rotated-box raw angle as long-axis angle even when height is greater than width,Bottom clipping; front-dominant silhouette; PV007-to-PV006 left-right order,Pose class plus corrected long-axis convention plus pairwise order,At optical 125 / SAR 261 optical order PV007 then PV006 equals SAR theta order; GT width 84.5 height 185.5 raw angle 0 means long axis about 90 degrees,GT at SAR 261 is diagnostic-only and does not establish a universal pose mapping,PAIRWISE_AND_DIRECTION_AUDIT_ONLY,A04
G1R1C006,GM_RM011,PV007,optical 116-151 / SAR 242-315,PRE-BROADSIDE-POST with TRUNCATION_LIMITED,Dark car remains end-on or oblique-front while PV006 then PV008 become the useful relational context,G1 phase names do not describe the visible pose and G1 direction checks are inverted for height-greater-than-width boxes,Bottom clipping; front end; neighboring-car order; reappearance relative to PV008,Corrected long axis plus paired exclusivity instead of one-vehicle wide domains,At optical 151 / SAR 315 PV008 is left of PV007 in both modalities; GT long axes are near vertical after the 90-degree correction,A single wide PV007 domain still contains PV008 if pairwise order is ignored,SUITABLE_PAIRWISE_NOT_GLOBAL,A04
G1R1C007,GM_RM011,PV008,optical 135-166 / SAR 281-346,No stable G1 vehicle-level phase row at the earlier selected frame and later truncation dominates,White car appears from the left and is jointly visible with PV007 before moving right,Single-vehicle treatment made PV007 and PV008 appear exchangeable,Left entry; front-dominant silhouette; pairwise optical order; same-frame SAR theta order,Multi-vehicle order as an exclusion relation,At optical 151 / SAR 315 PV008 theta is about 17.5 degrees and PV007 theta about 43.1 degrees matching the optical left-right order,Minimum recorded radius maps to the right-clip onset and GT is sparse,SUITABLE_PAIRWISE_NOT_GLOBAL,A04
G1R1C008,GM_RM011,PV010,optical 211-245 / SAR 442-510,PRE-BROADSIDE-POST with all radial intervals unbounded,Large side view passes under the bridge with persistent bottom clipping and clear rear-to-front progression,Strict x1 less-than-or-equal-to 8 and x2 greater-than-or-equal-to 792 contacts jitter around the physical handoff,Bottom clipping; side axis; rear and front end; tolerant lateral-contact bracket,Boundary events must be temporal brackets rather than exact threshold frames,Minimum usable GT radius maps to optical 225 near the left-boundary handoff; raw boundary flags alternate at 224-229 and 233-235,Exact contact frame is annotation-sensitive and cannot be a hard phase boundary,EVENT_AUDIT_ONLY,A07
G1R1C009,GM_RM019,PV001,optical 0-14 / SAR 0-27,PRE-BROADSIDE-POST forced over a short truncated thread,Frame 0 already shows a large side view and the usable GT radius increases afterward,The observation window begins at or just after the closest recorded point so PRE is physically misleading,Bottom clipping; rightward departure; monotonic radius increase,WINDOW_STARTS_AFTER_CLOSEST plus DEPARTURE_OBSERVED,Usable GT radius increases from about 134.6 to 202.9 pixels,Only two sparse GT samples and no approach side are available,TREND_ONLY,A05
G1R1C010,GM_RM019,PV002,optical 5-43 / SAR 11-90,PRE-BROADSIDE-POST forced by u quantiles,White SUV is still left-clipped at optical 15 even though that is the minimum recorded GT radius,Laterally-unclipped start is not a universal closest-pass marker,Clip direction; visible side length; size platform; continuous rear-to-front progression,Closest pass requires the joint use of radius trend pose and boundary events,Minimum usable GT radius is optical 15 while lateral unclip occurs around 22-28,This is a direct counterexample to an exact unclip-equals-closest rule,COUNTEREXAMPLE_AND_TREND_ONLY,A07
