scene,canonical_vehicle_id,frame_index,lifecycle_state,visibility_state,is_vehicle_in_scene,is_vehicle_visible,is_full_vehicle_visible,is_partially_visible,is_fully_occluded,is_visible_but_unboxed,occlusion_source,entry_or_exit_state,reference_bbox_available,reference_bbox_x1,reference_bbox_y1,reference_bbox_x2,reference_bbox_y2,reference_bbox_origin,reference_subject_description,benchmark_evidence,notes
GM_RM011,GM_RM011:PV001,0,entering,partial_visible,true,true,false,true,false,false,none,entry,true,4.132,292.040,493.018,597.389,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,1,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,3.125,289.141,505.305,597.294,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,2,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,3.295,279.753,519.276,596.977,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,3,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,2.344,242.918,525.607,597.111,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,4,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,3.366,199.798,559.398,594.920,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,5,active_visible,full_visible,true,true,true,false,false,false,none,none,true,7.923,233.077,580.078,595.423,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,6,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,14.002,265.071,602.215,597.379,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,7,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,3.265,308.796,581.527,598.024,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,8,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,9.065,309.388,604.393,597.619,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,9,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,8.623,306.670,603.278,597.894,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,10,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,39.757,289.333,650.536,597.693,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,11,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,67.034,239.828,675.419,598.705,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
GM_RM011,GM_RM011:PV001,12,active_visible,partial_visible,true,true,false,true,false,false,none,none,true,118.625,236.026,729.059,598.625,existing_yolo26l_detection,white compact crossover/SUV; dark window band and patterned interior sunshades,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,benchmark_only=true;not_runtime_input=true
