scene,canonical_vehicle_id,optical_first_visible,optical_last_visible,visible_duration_optical_frames,full_visible_duration,partial_visible_duration,fully_occluded_duration,visible_but_unboxed_duration,entry_frame,entry_location,entry_direction,exit_frame,exit_location,exit_direction,max_simultaneously_visible_vehicles,overlap_optical_frame_ranges,vehicle_color,vehicle_type_or_shape,scale_trend,dominant_apparent_motion,optical_bbox_available_fraction,depth_proxy_available_fraction,calibration_independence,mapping_uncertainty,mapped_sar_lifecycle_start,mapped_sar_lifecycle_end,mapped_sar_pre_roll_start,mapped_sar_post_roll_end,sampled_shell_valid_fraction_mean,sampled_shell_valid_fraction_min,suitable_clear_mechanism_discovery,suitable_cross_scene_replay,suitable_entry_exit,suitable_multivehicle_occlusion_stress,selection_status,selection_reason,target_sar_reference_used_for_inventory_or_selection,candidate_roles
GM_RM011,GM_RM011:PV001,0,35,36,1,35,0,0,0,initial_frame_or_interior,camera_sweep_reveal_or_scene_entry,35,right_boundary,camera_sweep_hide_or_scene_exit,2,0-4;20-35,white,compact crossover/SUV,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,0,72,0,92,1.0,1.0,false,false,false,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV002,0,4,5,0,5,0,0,0,right_boundary,camera_sweep_reveal_or_scene_entry,4,right_boundary,camera_sweep_hide_or_scene_exit,2,0-4,white/silver,partial parked passenger vehicle,decreasing,stationary_world; apparent_minimal_horizontal_drift_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,0,8,0,28,1.0,1.0,false,false,false,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV003,20,59,40,5,35,0,0,20,left_boundary,camera_sweep_reveal_or_scene_entry,59,right_boundary,camera_sweep_hide_or_scene_exit,2,20-35;39-59,white,large MPV,increasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,42,122,34,142,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV004,39,87,49,3,46,0,27,39,left_boundary,camera_sweep_reveal_or_scene_entry,87,right_boundary,camera_sweep_hide_or_scene_exit,2,39-59;87,silver cover,fully covered passenger vehicle,increasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,82,181,74,201,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV005,87,130,44,0,44,0,0,87,left_boundary,camera_sweep_reveal_or_scene_entry,130,right_boundary,camera_sweep_hide_or_scene_exit,3,87;110-130,white,Nissan sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,182,270,174,290,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV006,110,140,31,5,26,0,0,110,left_boundary,camera_sweep_reveal_or_scene_entry,140,right_boundary,camera_sweep_hide_or_scene_exit,3,110-140,tan/orange cover,fully covered passenger vehicle,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,230,291,222,311,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV007,116,151,36,0,36,0,0,116,left_boundary,camera_sweep_reveal_or_scene_entry,151,right_boundary,camera_sweep_hide_or_scene_exit,3,116-151,dark gray,sedan,increasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,242,314,234,334,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV008,135,166,32,0,32,0,1,135,left_boundary,camera_sweep_reveal_or_scene_entry,166,right_boundary,camera_sweep_hide_or_scene_exit,3,135-151;155-166,white,Honda sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,282,345,274,365,1.0,1.0,false,false,true,true,SELECTED_MULTI_VEHICLE_OR_OCCLUSION_STRESS,three simultaneously visible vehicles; full lifecycle overlap on both sides; one visible-but-unboxed frame; Working Graph marks the surrounding 135-166 interval as subject competition,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV009,155,196,42,1,41,0,23,155,left_boundary,camera_sweep_reveal_or_scene_entry,196,right_boundary,camera_sweep_hide_or_scene_exit,2,155-166,silver cover,fully covered passenger vehicle,increasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,323,408,315,428,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV010,211,245,35,0,35,0,0,211,left_boundary,camera_sweep_reveal_or_scene_entry,245,right_boundary,camera_sweep_hide_or_scene_exit,2,243-245,white,compact sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,440,510,432,530,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
