correction_id,historical_file,historical_section,historical_statement,problem_type,static_scene_correction,new_allowed_interpretation,new_forbidden_interpretation,evidence_path,status
R1C001,docs/oty2_human_visual_review_notes_and_sar_morphology_insight_archive.md,line 13,时序中高能区域可能随车辆运动迁移,vehicle_world_motion_assumed,"All vehicles are static; apparent migration is induced by platform motion and projection","local SAR response changes across platform-relative observations","vehicle world motion or vehicle trajectory",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C002,docs/OTY2_POINT_TO_STRUCTURE_OPTICAL_SAR_VEHICLE_RESPONSE_FRAMEWORK.md,line 304,与光学车辆运动不一致的静态结构,vehicle_world_motion_assumed,"Replace optical vehicle motion with platform-induced optical projection change","structure inconsistent with the static vehicle observation thread under platform-relative geometry","vehicle self-motion as a fact",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C003,docs/guidance/conversation_derived_research_notes.md,line 99,某个候选是否沿同一车辆轨迹合理,trajectory_terminology,"Use same physical-vehicle observation thread and static-world projection consistency","candidate relation compatible with one static vehicle across moving-platform observations","world vehicle trajectory propagation",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C004,docs/guidance/temporal_usage_rethink_notes.md,line 21,Does a candidate belong to a plausible same-vehicle trajectory?,trajectory_terminology,"Use observation thread rather than vehicle world trajectory","same static physical vehicle under time-varying sensor projection","moving-vehicle trajectory",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C005,docs/OTY2_S1L_SEMANTIC_CORRECTION_AND_OPTICAL_CONDITIONED_SUPPORT_OBSERVABILITY_PROTOCOL.md,line 139,Use real-vehicle trajectory swaps,trajectory_terminology,"These are observation-thread or identity swaps between different static vehicles","counterfactual identity/observation-thread swap","dynamic vehicle trajectories",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C006,reports/oty2/oty2_s1l_semantic_correction_and_implementation_audit_20260716.md,line 13,上一轮的两条车辆轨迹交换,trajectory_terminology,"Reinterpret as swapping observation threads/identity references of two static vehicles","negative identity-thread control","physical vehicle motion trajectory",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C007,reports/oty2/oty2_same_vehicle_referent_consistency_20260705_165636.md,line 61,the visible part transition is explainable by camera motion or vehicle motion,ambiguous_causal_model,"For GM_RM011/017/019 the confirmed cause is platform/camera motion; vehicle motion is excluded","platform-induced view transition of a static vehicle","vehicle motion as an alternative cause in these scenes",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E02_STATIC_VEHICLE_MULTI_VIEW_OPTICAL_SAR_8_24.png,CORRECTED_BY_O2_R1
R1C008,reports/oty2/oty2_sar_vehicle_morphology_primitives_gt_anchored_20260703_163000.csv,temporal_migrating_hotspot,高能区域可随车辆运动或姿态变化迁移,vehicle_world_motion_assumed,"Use platform-relative observation and aspect change; vehicle world pose is fixed","response appearance may change with sensor aspect and imaging","vehicle movement or changing world heading",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E02_STATIC_VEHICLE_MULTI_VIEW_OPTICAL_SAR_8_24.png,CORRECTED_BY_O2_R1
R1C009,docs/OTY2_RSA2_O1_VEHICLE_RESPONSE_STATE_AND_RELATION_SEMANTICS.md,background persistence relations,车辆进入或退出后背景持续,observation_lifecycle_terminology,"Entry/exit means sensor field-of-view or effective-imaging admission/exit","background outlives a target vehicle observation thread","vehicle leaves the world or static scene",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E03_PV001_OBSERVATION_EXIT_NOT_PURE_BACKGROUND.png,CORRECTED_BY_O2_R1
R1C010,docs/OTY2_RSA2_O1_R1_CONDITIONAL_EVIDENCE_INTEGRATION.md,direct decision and background exclusions,车辆退出后固定竖线仍存在,observation_lifecycle_terminology,"Target observation exit can exclude target ownership only","persistent structure contradicts exclusive ownership by the exited observation identity","persistent structure is automatically pure background",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E03_PV001_OBSERVATION_EXIT_NOT_PURE_BACKGROUND.png,CORRECTED_BY_O2_R1
R1C011,reports/oty2/oty2_rsa2_o0_open_book_vehicle_level_multitimescale_mechanism_review_20260718.md,background persistence,车辆退出后仍持续,observation_lifecycle_terminology,"Reinterpret as persistence after a target leaves the sensor observation range","exclude ownership by that target identity","prove pure background when another vehicle remains",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E03_PV001_OBSERVATION_EXIT_NOT_PURE_BACKGROUND.png,CORRECTED_BY_O2_R1
R1C012,reports/oty2/oty2_rsa2_o2_bidirectional_evidence_closure_gmrm011_20260718.md,sections 7/11 and SAR 80 control,车辆退出后持续结构可作为背景控制,overstated_background_control,"SAR 80 occurs after PV001 observation exit but PV003 remains present","TARGET_VEHICLE_IDENTITY_EXCLUDED; OTHER_VEHICLE_PRESENT; background-or-other-static-object/mixed unresolved","PURE_BACKGROUND_CONFIRMED for SAR 80",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E03_PV001_OBSERVATION_EXIT_NOT_PURE_BACKGROUND.png,CORRECTED_BY_O2_R1
R1C013,reports/oty2/oty2_rsa2_o2_bidirectional_evidence_closure_gmrm011_20260718.md,section 20,BIDIRECTIONALLY_CLOSED=0 indicates the original joint hypothesis did not close,scope_overreach,"O2 did not test the complete static-world 2D geometry chain","O2 diagnosed missing static-world geometry; identity/lifecycle did not substitute for range and 2D projection","strong failure of a complete optical-SAR joint geometry hypothesis",docs/OTY2_RSA2_O2_R1_STATIC_SCENE_CAUSAL_CORRECTION.md,CORRECTED_BY_O2_R1
R1C014,reports/oty2/samples/oty2_rsa2_o2_forward_blind_attribution_20260718.csv,FWD-W1-016-R01,review region approx 150 x 110 px,incomplete_forward_region_provenance,"Exact W1A_R01 coordinates exist only in a repository-external workspace script","MANUAL_RESPONSE_REGION_WITH_BROAD_AZIMUTH_CONTEXT; center=(1115,1085); 150x110 px; 0 deg","geometry prediction or reproducible committed forward box",manifests/oty2/oty2_rsa2_o2_r1_figure_provenance_audit.csv,CORRECTED_BY_O2_R1
R1C015,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png,C-W1 right panel,red shifted box and yellow rotated box,control_provenance_ambiguity,"Red is GT shifted x+260 y-250; yellow is GT rotated 90 degrees at the same center","negative controls only","red as forward prediction/W1A/mapping output or yellow as candidate",docs/reviews/assets/20260718_rsa2_o2_r1_static_correction/E01_C_W1_FRAME_AND_CONTROL_PROVENANCE_CORRECTED.png,CORRECTED_BY_O2_R1
