scene,frame_index,runtime_observation_cluster_id,runtime_local_subject_id,observation_ids,detector_sources,source_tracker_ids,cluster_bbox,consensus_bbox,source_support_count,mutual_iou_min,union_expansion_ratio,color_distance_max,temporal_support_previous,temporal_support_next,multiple_motion_subject_risk,partial_subject_risk,possible_non_vehicle_risk,baseline_b_selected_observation_id,final_selected_observation_id,cluster_quality_evidence,notes
GM_RM011,0,GM_RM011:RC00001,GM_RM011:RS0002,GM_RM011:YOLO11l:GM_RM011_000000_001;GM_RM011:YOLO26l:GM_RM011_000000_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,"[711.513,318.575,799.758,508.34]","[711.749,318.598,799.726,507.719]",2,0.987669,1.000247,0.000284,0.000000,0.973531,false,true,false,GM_RM011:YOLO26l:GM_RM011_000000_002,GM_RM011:YOLO26l:GM_RM011_000000_002,"{""vehicle_likeness"":0.844648,""track_median_vehicle_likeness"":0.816993,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,0,GM_RM011:RC00002,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000000_002;GM_RM011:YOLO26l:GM_RM011_000000_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[4.132,289.951,644.866,597.389]","[28.41,291.133,558.931,595.385]",2,0.663737,1.112340,0.070136,0.000000,0.987469,false,true,false,GM_RM011:YOLO26l:GM_RM011_000000_001,GM_RM011:YOLO26l:GM_RM011_000000_001,"{""vehicle_likeness"":0.889782,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,1,GM_RM011:RC00003,GM_RM011:RS0002,GM_RM011:YOLO11l:GM_RM011_000001_001;GM_RM011:YOLO26l:GM_RM011_000001_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,"[735.623,336.693,799.779,501.586]","[735.889,336.931,799.737,501.575]",2,0.987147,1.004069,0.000000,0.973531,0.979265,false,true,false,GM_RM011:YOLO26l:GM_RM011_000001_002,GM_RM011:YOLO26l:GM_RM011_000001_002,"{""vehicle_likeness"":0.816993,""track_median_vehicle_likeness"":0.816993,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,1,GM_RM011:RC00004,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000001_002;GM_RM011:YOLO26l:GM_RM011_000001_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[3.125,287.475,695.213,597.294]","[49.343,288.473,581.462,594.665]",2,0.547914,1.225726,0.067553,0.987469,0.984714,false,true,false,GM_RM011:YOLO26l:GM_RM011_000001_001,GM_RM011:YOLO26l:GM_RM011_000001_001,"{""vehicle_likeness"":0.885882,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,2,GM_RM011:RC00005,GM_RM011:RS0002,GM_RM011:YOLO11l:GM_RM011_000002_001;GM_RM011:YOLO26l:GM_RM011_000002_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,"[744.735,338.461,799.794,484.851]","[744.848,339.832,799.747,484.538]",2,0.970644,1.005760,0.007912,0.979265,0.911400,false,true,false,GM_RM011:YOLO26l:GM_RM011_000002_002,GM_RM011:YOLO26l:GM_RM011_000002_002,"{""vehicle_likeness"":0.819877,""track_median_vehicle_likeness"":0.816993,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,2,GM_RM011:RC00006,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000002_002;GM_RM011:YOLO26l:GM_RM011_000002_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[3.295,278.54,726.892,596.977]","[72.686,279.267,602.501,595.772]",2,0.469267,1.326988,0.041333,0.984714,0.989177,false,false,false,GM_RM011:YOLO26l:GM_RM011_000002_001,GM_RM011:YOLO26l:GM_RM011_000002_001,"{""vehicle_likeness"":0.89006,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":false,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,3,GM_RM011:RC00007,GM_RM011:RS0002,GM_RM011:YOLO11l:GM_RM011_000003_001;GM_RM011:YOLO26l:GM_RM011_000003_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,"[735.242,299.045,799.701,436.991]","[735.549,299.53,799.701,435.714]",2,0.966044,1.007383,0.004109,0.911400,0.938806,false,true,false,GM_RM011:YOLO26l:GM_RM011_000003_002,GM_RM011:YOLO26l:GM_RM011_000003_002,"{""vehicle_likeness"":0.81306,""track_median_vehicle_likeness"":0.816993,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,3,GM_RM011:RC00008,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000003_002;GM_RM011:YOLO26l:GM_RM011_000003_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[2.344,239.614,745.663,597.111]","[70.743,241.64,610.717,595.568]",2,0.459052,1.327012,0.041173,0.989177,0.920205,false,true,false,GM_RM011:YOLO26l:GM_RM011_000003_001,GM_RM011:YOLO26l:GM_RM011_000003_001,"{""vehicle_likeness"":0.878747,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,4,GM_RM011:RC00009,GM_RM011:RS0002,GM_RM011:YOLO11l:GM_RM011_000004_001;GM_RM011:YOLO26l:GM_RM011_000004_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0001;YOLO11l:bytetrack:bt_0001;YOLO26l:botsort:bs_0002;YOLO26l:bytetrack:bt_0002,"[740.317,261.288,799.713,414.666]","[740.369,261.437,799.709,414.036]",2,0.988356,1.001993,0.001454,0.938806,0.000000,false,true,false,GM_RM011:YOLO26l:GM_RM011_000004_002,GM_RM011:YOLO26l:GM_RM011_000004_002,"{""vehicle_likeness"":0.794303,""track_median_vehicle_likeness"":0.816993,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,4,GM_RM011:RC00010,GM_RM011:RS0003,GM_RM011:YOLO11l:GM_RM011_000004_002,YOLO11l,YOLO11l:botsort:bs_0002;YOLO11l:bytetrack:bt_0002,"[257.46,196.775,795.068,594.446]","[257.46,196.775,795.068,594.446]",1,1.000000,1.000000,0.000000,0.000000,0.000000,false,false,false,GM_RM011:YOLO11l:GM_RM011_000004_002,GM_RM011:YOLO11l:GM_RM011_000004_002,"{""vehicle_likeness"":0.687538,""track_median_vehicle_likeness"":0.687538,""mixed_risk"":false,""partial_risk"":false,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
