scene,image_width,image_height,mask_name,definition,availability,static_or_dynamic,generation_rule,pixel_count_or_range,fraction_or_range,content_hash_or_formula_hash,physical_semantics,may_be_used_as_vehicle_mask,confidence_status,notes,verified_frame_count,all_scene_frame_masks_identical,imaging_geometry_hash
GM_RM011,2308,1334,imaging_valid_mask,fixed imaging-process valid region reconstructed from shared canvas origin fan geometry and imaging range,reproducible_from_frozen_geometry_contract,static_shared_across_all_frames,"r<=1332.7 and -90<=atan2(x-1154,1330.6-y)<=90 on 2308x1334 canvas",2628412,0.853693171,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef,fixed valid imaging support contract; not a vehicle mask and not an intensity threshold,false,FROZEN_DETERMINISTIC_CONTRACT,same parameters and hash verified for all three scenes and all 766 frame indices per scene,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,display_nonzero_mask,per-frame gray PNG pixels with intensity > 0,reproducible_from_gray_png,dynamic_per_frame,gray_scalar > 0,1865902..1873468,0.606034288..0.608491681,per_frame_not_single_hash,rendered nonzero support only,false,CONFIRMED_DISPLAY_ONLY,"threshold mask; zeros do not distinguish un-imaged, invalid, clipped, or true zero return",766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,fixed_black_region_inside_mask,"pixels equal to zero in every gray frame, restricted to imaging_valid_mask",reproducible_from_full_gray_stream,static_empirical,all_frames(gray_scalar == 0) AND imaging_valid_mask,749541,0.285168763,a85fd682818c81e786a7ae579238039da11abf82eec2b91ea4dfed6c9d42ad5d,fixed rendered black or no-response region inside the valid imaging support,false,CONFIRMED_EMPIRICAL_DISPLAY_MASK,distinct from invalid support and from vehicle_response_mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,fan_geometry_mask,geometric reconstruction identical to frozen imaging_valid_mask,reproducible_alias_for_geometry_audit,static_shared_formula,"r<=1332.7 and -90<=atan2(x-1154,1330.6-y)<=90",2628412,0.853693171,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef,geometry representation of imaging_valid_mask,false,CONFIRMED_GEOMETRY_ALIAS,retained only for backward schema continuity; mapping must use imaging_valid_mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,gt_box_region,reviewed rotated SAR GT rectangle,available_per_gt_row,per_annotation,"cv2 rotated rectangle from cx,cy,w,h,heading",per_gt_row,per_gt_row,see_gt_quality_manifest,"research/evaluation region anchor, not scattering support truth",false,CONFIRMED_ANNOTATION_REGION,GT is not a vehicle-response mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,gt_valid_intersection_mask,GT rectangle intersected with authoritative imaging_valid_mask,reproducible_per_gt_row,per_annotation,gt_box_region AND imaging_valid_mask,,,see_gt_quality_and_s0m_eligibility_manifests,GT evaluation region restricted to fixed valid imaging support,false,CONFIRMED_DERIVED_REGION,does not become a vehicle-response mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,intensity_threshold_mask,temporary intensity-selected pixels,semantic_contract_only,dynamic,threshold chosen by a declared diagnostic only,,,,display/diagnostic threshold support,false,DEFINED_NOT_INSTANTIATED,no threshold is frozen in S0,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,vehicle_response_mask,future inferred support of vehicle SAR response,not_available_in_S0,future_model_output,undefined_in_S0,,,,future vehicle-response support,not_in_S0,SEMANTIC_ONLY,must not be replaced by GT area or bright pixels,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,registration_valid_mask,future valid pixels after body-frame normalization,not_available_in_S0,future_per_frame,undefined_in_S0,,,,future registration support,false,SEMANTIC_ONLY,defined only to prevent later semantic mixing,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM011,2308,1334,occlusion_or_boundary_missing_mask,future unavailable body region due to occlusion or image/fan boundary,not_available_in_S0,future_per_frame,undefined_in_S0,,,,future missing-data semantics,false,SEMANTIC_ONLY,must remain distinct from zero intensity,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,imaging_valid_mask,fixed imaging-process valid region reconstructed from shared canvas origin fan geometry and imaging range,reproducible_from_frozen_geometry_contract,static_shared_across_all_frames,"r<=1332.7 and -90<=atan2(x-1154,1330.6-y)<=90 on 2308x1334 canvas",2628412,0.853693171,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef,fixed valid imaging support contract; not a vehicle mask and not an intensity threshold,false,FROZEN_DETERMINISTIC_CONTRACT,same parameters and hash verified for all three scenes and all 766 frame indices per scene,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,display_nonzero_mask,per-frame gray PNG pixels with intensity > 0,reproducible_from_gray_png,dynamic_per_frame,gray_scalar > 0,1866198..1871943,0.606130427..0.607996370,per_frame_not_single_hash,rendered nonzero support only,false,CONFIRMED_DISPLAY_ONLY,"threshold mask; zeros do not distinguish un-imaged, invalid, clipped, or true zero return",766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,fixed_black_region_inside_mask,"pixels equal to zero in every gray frame, restricted to imaging_valid_mask",reproducible_from_full_gray_stream,static_empirical,all_frames(gray_scalar == 0) AND imaging_valid_mask,749427,0.285125391,6f8b6c713c90e661bdeb168f54a8c5f751149accbae636b28ed9ca1cb17627f9,fixed rendered black or no-response region inside the valid imaging support,false,CONFIRMED_EMPIRICAL_DISPLAY_MASK,distinct from invalid support and from vehicle_response_mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,fan_geometry_mask,geometric reconstruction identical to frozen imaging_valid_mask,reproducible_alias_for_geometry_audit,static_shared_formula,"r<=1332.7 and -90<=atan2(x-1154,1330.6-y)<=90",2628412,0.853693171,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef,geometry representation of imaging_valid_mask,false,CONFIRMED_GEOMETRY_ALIAS,retained only for backward schema continuity; mapping must use imaging_valid_mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,gt_box_region,reviewed rotated SAR GT rectangle,available_per_gt_row,per_annotation,"cv2 rotated rectangle from cx,cy,w,h,heading",per_gt_row,per_gt_row,see_gt_quality_manifest,"research/evaluation region anchor, not scattering support truth",false,CONFIRMED_ANNOTATION_REGION,GT is not a vehicle-response mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,gt_valid_intersection_mask,GT rectangle intersected with authoritative imaging_valid_mask,reproducible_per_gt_row,per_annotation,gt_box_region AND imaging_valid_mask,,,see_gt_quality_and_s0m_eligibility_manifests,GT evaluation region restricted to fixed valid imaging support,false,CONFIRMED_DERIVED_REGION,does not become a vehicle-response mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,intensity_threshold_mask,temporary intensity-selected pixels,semantic_contract_only,dynamic,threshold chosen by a declared diagnostic only,,,,display/diagnostic threshold support,false,DEFINED_NOT_INSTANTIATED,no threshold is frozen in S0,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,vehicle_response_mask,future inferred support of vehicle SAR response,not_available_in_S0,future_model_output,undefined_in_S0,,,,future vehicle-response support,not_in_S0,SEMANTIC_ONLY,must not be replaced by GT area or bright pixels,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,registration_valid_mask,future valid pixels after body-frame normalization,not_available_in_S0,future_per_frame,undefined_in_S0,,,,future registration support,false,SEMANTIC_ONLY,defined only to prevent later semantic mixing,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM017,2308,1334,occlusion_or_boundary_missing_mask,future unavailable body region due to occlusion or image/fan boundary,not_available_in_S0,future_per_frame,undefined_in_S0,,,,future missing-data semantics,false,SEMANTIC_ONLY,must remain distinct from zero intensity,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM019,2308,1334,imaging_valid_mask,fixed imaging-process valid region reconstructed from shared canvas origin fan geometry and imaging range,reproducible_from_frozen_geometry_contract,static_shared_across_all_frames,"r<=1332.7 and -90<=atan2(x-1154,1330.6-y)<=90 on 2308x1334 canvas",2628412,0.853693171,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef,fixed valid imaging support contract; not a vehicle mask and not an intensity threshold,false,FROZEN_DETERMINISTIC_CONTRACT,same parameters and hash verified for all three scenes and all 766 frame indices per scene,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM019,2308,1334,display_nonzero_mask,per-frame gray PNG pixels with intensity > 0,reproducible_from_gray_png,dynamic_per_frame,gray_scalar > 0,1866020..1873334,0.606072614..0.608448159,per_frame_not_single_hash,rendered nonzero support only,false,CONFIRMED_DISPLAY_ONLY,"threshold mask; zeros do not distinguish un-imaged, invalid, clipped, or true zero return",766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
GM_RM019,2308,1334,fixed_black_region_inside_mask,"pixels equal to zero in every gray frame, restricted to imaging_valid_mask",reproducible_from_full_gray_stream,static_empirical,all_frames(gray_scalar == 0) AND imaging_valid_mask,749903,0.285306489,7546df899ce77f199e260e91bf47e975b17c159bb407a0b3476120077f5a1b4b,fixed rendered black or no-response region inside the valid imaging support,false,CONFIRMED_EMPIRICAL_DISPLAY_MASK,distinct from invalid support and from vehicle_response_mask,766,true,7bdfbc5417db5f96405751d7503973f16db85957cf9aa0c6a8f30975cc0502ef
