condition_id,window_id,window_role,scene,canonical_vehicle_id,sar_frame_index,sar_time_sec,sar_gray_path,sar_gray_sha256,optical_left_frame,optical_right_frame,optical_interpolation_ratio,optical_left_path,optical_right_path,optical_bbox_x1,optical_bbox_y1,optical_bbox_x2,optical_bbox_y2,optical_center_x_px,optical_center_y_px,optical_bottom_contact_y_px,optical_width_px,optical_height_px,optical_visibility_state,optical_identity_source,optical_depth_left_path,optical_depth_right_path,optical_depth_median_proxy,optical_depth_mad_proxy,depth_generator_lineage,predicted_theta_deg,theta_half_width_deg,predicted_radius_px,radial_half_width_px,predicted_radius_from_optical_height_px,predicted_radius_from_depth_proxy_px,radial_proxy_disagreement_px,radial_interval_lower_px,radial_interval_upper_px,predicted_center_x_px,predicted_center_y_px,unsigned_axis_center_deg,unsigned_axis_half_width_deg,response_length_min_px,response_length_max_px,response_width_min_px,response_width_max_px,theta_delta_from_previous_deg,radius_delta_from_previous_px,depth_delta_from_previous_proxy,time_mapping_status,calibration_id,calibration_vehicle_role,depends_on_target_reference,deployment_availability,uncertainty_status
S1X-DISCOVERY_GM_RM017_PV002_330_350-000330,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,330,6.600000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000330.png,265a200620db98370237ed6fde7ba9f98b10f5780e920f04fd93b6a6f9c7630d,158,159,0.400000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000158.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000159.png,120.888800000,312.837400000,386.164400000,409.391000000,253.526600000,361.114200000,409.391000000,265.275600000,96.553600000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000158_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000159_depth.npy,8.861111355,0.073881054,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-18.050257337,8.000000000,307.616761641,223.063021674,190.593333596,424.640189687,234.046856091,84.553739967,530.679783315,1058.684607927,1038.122568261,-18.050257337,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,0.000000000,0.000000000,0.000000000,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000331,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,331,6.620000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000331.png,5dd0e713693d7eb45e25920ff5d6b4f63cf7b315332c488e139c8e7da019fcbb,158,159,0.880000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000158.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000159.png,131.334560000,312.245080000,396.895280000,409.268600000,264.114920000,360.756840000,409.268600000,265.560720000,97.023520000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000158_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000159_depth.npy,8.776273098,0.073744183,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-17.041797527,8.000000000,303.920126051,224.261669249,185.698050430,422.142201672,236.444151242,79.658456802,528.181795300,1064.930354939,1040.024637405,-17.041797527,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.008459810,-3.696635590,-0.084838257,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000332,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,332,6.640000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000332.png,2387d9abfd5c9656af13ffe476569cbf4b2c4f7f5e2322b7a0524bf643947410,159,160,0.360000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000159.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000160.png,142.032680000,311.701720000,407.969960000,408.938120000,275.001320000,360.319920000,408.938120000,265.937280000,97.236400000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000159_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000160_depth.npy,8.711031532,0.075768356,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-16.004947784,8.000000000,301.850821590,224.409993066,183.480422152,420.221221028,236.740798876,77.440828524,526.260814656,1070.773581397,1040.449553264,-16.004947784,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.036849743,-2.069304461,-0.065241566,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000333,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,333,6.660000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000333.png,b0c48574a4d8b87ffb8d60d8de8be59956628924430d271d804f50b4c117aaa3,159,160,0.840000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000159.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000160.png,152.814920000,311.174680000,419.159240000,408.538280000,285.987080000,359.856480000,408.538280000,266.344320000,97.363600000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000159_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000160_depth.npy,8.652322197,0.078512878,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-14.958634730,8.000000000,300.323960839,224.208208964,182.155345504,418.492576175,236.337230671,76.115751875,524.532169803,1076.479893379,1040.453287932,-14.958634730,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.046313054,-1.526860751,-0.058709335,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000334,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,334,6.680000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000334.png,4b9b16cc5ada4fbb68c609f80d2aa101a285c1caed29337608d9e5fe7ef347ab,160,161,0.320000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000160.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000161.png,163.530920000,310.359000000,430.317480000,408.023240000,296.924200000,359.191120000,408.023240000,266.786560000,97.664240000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000160_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000161_depth.npy,8.547592049,0.075977554,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-13.916954279,8.000000000,297.216193275,224.232289227,179.023497676,415.408888873,236.385391197,72.983904048,521.448482501,1082.514965624,1042.108482958,-13.916954279,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.041680451,-3.107767565,-0.104730148,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000335,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,335,6.700000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000335.png,f8ada829c0a7d4c7859808faa20715cd582d28c8dcf5c680d1a843670ff59fbc,160,161,0.800000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000160.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000161.png,174.213800000,309.399000000,441.460200000,407.450600000,307.837000000,358.424800000,407.450600000,267.246400000,98.051600000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000160_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000161_depth.npy,8.419851494,0.070802307,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-12.877590129,8.000000000,293.317972303,224.369301672,174.988264260,411.647680347,236.659416087,68.948670632,517.687273975,1088.628562450,1044.659432698,-12.877590129,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.039364149,-3.898220971,-0.127740555,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000336,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,336,6.720000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000336.png,7a0adb4c0053a497b8ed600e573ec6a24b25b2f065049d7cdcd1b7ddb0eb33ca,161,162,0.280000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000161.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000162.png,185.014560000,308.524400000,452.811520000,406.840160000,318.913040000,357.682280000,406.840160000,267.796960000,98.315760000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000161_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000162_depth.npy,8.566457539,0.071104622,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-11.822678567,8.000000000,294.100402541,227.903557755,172.236438415,415.964366668,243.727928253,66.196844787,522.003960296,1093.743684039,1042.738534774,-11.822678567,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.054911562,0.782430238,0.146606045,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000337,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,337,6.740000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000337.png,974aa0f70caea2efc1b821384bbada9aef515b6a89960e8207b4855c53be0ac8,161,162,0.760000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000161.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000162.png,195.899520000,307.710800000,464.311840000,406.202720000,330.105680000,356.956760000,406.202720000,268.412320000,98.491920000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000161_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000162_depth.npy,8.909025440,0.075319481,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-10.756661711,8.000000000,298.226155072,233.864416436,170.401332264,426.050977880,255.649645616,64.361738636,532.090571508,1098.339588418,1037.614064926,-10.756661711,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.066016857,4.125752531,0.342567902,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000338,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,338,6.760000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000338.png,ea225e5d6847b6bf2ee3e78f0987133f77545b5ae15fbdd2c7f20d1b189acc7c,162,163,0.240000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000162.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000163.png,206.400960000,306.980480000,475.925920000,405.556400000,341.163440000,356.268440000,405.556400000,269.524960000,98.575920000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000162_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000163_depth.npy,9.025945721,0.077509995,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-9.703491185,8.000000000,299.509937286,236.023249267,169.526281647,429.493592924,259.967311277,63.486688019,535.533186553,1103.517767559,1035.375091260,-9.703491185,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.053170526,1.283782214,0.116920280,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
S1X-DISCOVERY_GM_RM017_PV002_330_350-000339,DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,339,6.780000000,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray\000339.png,8ae582021a307235ed55d78312bfc5c905c930a455726e9f9840c5b39e7b75cd,162,163,0.720000000,D:\profile\research\data\GM_RM017\GM_RM017_frames\000162.png,D:\profile\research\data\GM_RM017\GM_RM017_frames\000163.png,216.518880000,306.333440000,487.653760000,404.901200000,352.086320000,355.617320000,404.901200000,271.134880000,98.567760000,full_visible,P1E_CANONICAL_OPTICAL_BENCHMARK_NOT_RUNTIME_OUTPUT,D:\profile\research\data\GM_RM017\GM_RM017_depth\000162_depth.npy,D:\profile\research\data\GM_RM017\GM_RM017_depth\000163_depth.npy,8.917218380,0.077676163,UNRESOLVED_DERIVED_OPTICAL_SIDECAR,-8.663166989,8.000000000,297.951749182,234.380056247,169.611286564,426.292211801,256.680925237,63.571692936,532.331805429,1109.120919899,1036.047605662,-8.663166989,35.000000000,60.000000000,300.000000000,18.000000000,150.000000000,1.040324196,-1.558188103,-0.108727341,UNFROZEN_COMMON_START_ASSUMPTION_FPS_CONFIRMED_FROM_SOURCE_MP4_METADATA,OTY2-S1X-independent-calibration-v1,independent_calibration_only_not_discovery_or_replay,false,RESEARCH_PROXY_P1E_AND_SINGLE_VEHICLE_CALIBRATION,EXPLICIT_INTERVAL_NOT_POINT_TRUTH
