observability_id,scope_level,research_unit_id,counterfactual_semantic_class,temporal_direction_applicability,temporal_correspondence_applicability,parameter_id,anchor_variant,evidence_family,evidence_estimator_contract,normalization_path,source_pair_set_hash,pair_projection_rule,pair_set_hash,candidate_pair_count,eligible_pair_count,pair_evidence_state,pair_usage_in_grid_nondominance,pareto_nondominated_grid_values,grid_nondominance_pattern,nondominated_grid_component_count,touches_lower_grid_edge,touches_upper_grid_edge,reported_lower_bound,reported_upper_bound,diagnostic_grid_min,diagnostic_grid_max,parameter_interpretation_limit,valid_setting_count,profile_validity_state,normalization_agreement,fixed_rule_replay_scope,placebo_relation,observability_state,decision_reason,review_status
S1L-OCS-OBS-0000001,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,CENTER_RADIAL,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,FIXED_REFERENCE,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,-0.125000;0.000000;0.125000;0.250000,EDGE_CONTIGUOUS_SET,1,false,true,,,-0.125000,0.250000,GRID_NONDOMINANCE_PATTERN_ONLY;NO_CENTER_IDENTIFICATION_CRITERION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000002,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,CENTER_TANGENTIAL,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,FIXED_REFERENCE,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,-0.250000;0.000000;0.250000,MULTICOMPONENT,3,true,true,,,-0.250000,0.250000,GRID_NONDOMINANCE_PATTERN_ONLY;NO_CENTER_IDENTIFICATION_CRITERION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000003,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,LONG_SCALE,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,FIXED_REFERENCE,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,0.850000;0.925000;1.000000;1.075000;1.150000,ALL_GRID,1,true,true,,,0.850000,1.150000,FIXED_256X128_GRID_COUPLES_SCALE_TO_RESAMPLING;NO_PHYSICAL_SCALE_IDENTIFICATION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000004,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,SHORT_SCALE,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,FIXED_REFERENCE,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,0.850000;1.150000,MULTICOMPONENT,2,true,true,,,0.850000,1.150000,FIXED_256X128_GRID_COUPLES_SCALE_TO_RESAMPLING;NO_PHYSICAL_SCALE_IDENTIFICATION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000005,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,AXIS_UNSIGNED,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,FIXED_REFERENCE,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,-6.000000;0.000000;6.000000;12.000000,EDGE_CONTIGUOUS_SET,1,false,true,,,-6.000000,12.000000,GRID_NONDOMINANCE_PATTERN_ONLY;AXIS_PLACEBO_REVIEW_REQUIRED,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,PENDING_AXIS_PLACEBO_REVIEW,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000006,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,CENTER_RADIAL,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,CANDIDATE_LOCAL_REESTIMATED,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,-0.250000;-0.125000;0.000000;0.125000;0.250000,ALL_GRID,1,true,true,,,-0.250000,0.250000,GRID_NONDOMINANCE_PATTERN_ONLY;NO_CENTER_IDENTIFICATION_CRITERION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000007,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,CENTER_TANGENTIAL,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,CANDIDATE_LOCAL_REESTIMATED,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,-0.250000;-0.125000;0.000000;0.125000;0.250000,ALL_GRID,1,true,true,,,-0.250000,0.250000,GRID_NONDOMINANCE_PATTERN_ONLY;NO_CENTER_IDENTIFICATION_CRITERION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000008,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,LONG_SCALE,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,CANDIDATE_LOCAL_REESTIMATED,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,0.850000;0.925000;1.000000;1.075000;1.150000,ALL_GRID,1,true,true,,,0.850000,1.150000,FIXED_256X128_GRID_COUPLES_SCALE_TO_RESAMPLING;NO_PHYSICAL_SCALE_IDENTIFICATION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000009,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,SHORT_SCALE,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,CANDIDATE_LOCAL_REESTIMATED,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,0.850000;0.925000;1.150000,MULTICOMPONENT,2,true,true,,,0.850000,1.150000,FIXED_256X128_GRID_COUPLES_SCALE_TO_RESAMPLING;NO_PHYSICAL_SCALE_IDENTIFICATION,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,NOT_APPLICABLE,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
S1L-OCS-OBS-0000010,UNIT_NORMALIZATION,S0MV-GM_RM017-PV002-SEG02,TRUE_VEHICLE_POSITIVE,NOT_A_TEMPORAL_DIRECTION_TEST,NOT_A_TEMPORAL_CORRESPONDENCE_TEST,AXIS_UNSIGNED,raw_gt,SEPARATE_METRIC_GRID_NONDOMINANCE_DIAGNOSTIC,FIELD_NCC;STRUCTURE_TENSOR_ORIENTATION_PROXY;CANNY_THIN_EDGE_CONNECTIVITY_PROXY_NOT_MORPHOLOGICAL_SKELETON;BOUNDARY_FRACTION,CANDIDATE_LOCAL_REESTIMATED,369267f7470fa21a7f75d20a878c2056eb190faf3a9bb522937c013f7db00e6c,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,fe00de604990c155fd9239e7643555cbea5f31d71699c09b0b1408e1f8bbf821,8,8,PAIR_COUNT_GT4_SHARED_FRAME_REPEATED_EVIDENCE,NOT_USED_IN_PARETO_BASIS;CARRIED_FOR_CONTEXT_ONLY,-12.000000;-6.000000,EDGE_CONTIGUOUS_SET,1,true,false,,,-12.000000,-6.000000,GRID_NONDOMINANCE_PATTERN_ONLY;AXIS_PLACEBO_REVIEW_REQUIRED,5,PASS,SINGLE_PATH_ONLY,DEVELOPMENT_FROZEN,PENDING_AXIS_PLACEBO_REVIEW,NOT_IDENTIFIABLE,Pareto grid nondominance pattern is diagnostic only and is not an identification criterion,directly_reviewed_complete
