window_id,window_role,scene,canonical_vehicle_id,sar_frame_index,optical_left_frame,optical_right_frame,optical_visibility_state,transport_pair_dx_px,transport_pair_dy_px,transport_cumulative_dx_px,transport_cumulative_dy_px,transport_response,transport_method,transport_usable_tile_count,optical_only_condition_shell_area_px,per_frame_independent_support_area_px,joint_temporal_support_area_px,temporally_maintained_weak_area_px,background_excluded_area_px,mixed_or_unresolved_area_px,frame_background_median,frame_background_mad,accepted_local_component_count,background_connected_component_count,per_frame_response_state,target_reference_used_for_inference,candidate_bank_generated,ranking_or_weighted_score_used,unique_box_generated,frozen_npz_path
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,330,158,159,full_visible,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,REFERENCE_FRAME,0,38324,302,792,448,0,491,38.000000000,5.000000000,6,2,TEMPORALLY_MAINTAINED_WEAK_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,331,158,159,full_visible,6.440038332,0.013415643,6.440038332,0.013415643,0.716373750,MULTI_TILE_PHASE_MEDIAN,10,38073,873,1262,334,0,506,35.000000000,3.000000000,16,3,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,332,159,160,full_visible,6.082361652,-0.253254657,12.522399985,-0.239839013,0.767287183,MULTI_TILE_PHASE_MEDIAN,10,37837,943,1198,269,0,523,34.000000000,3.000000000,15,1,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,333,159,160,full_visible,6.552610836,0.040118648,19.075010821,-0.199720365,0.663190950,MULTI_TILE_PHASE_MEDIAN,10,37606,943,1297,360,0,541,36.000000000,3.000000000,16,1,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,334,160,161,full_visible,6.349749307,-0.260214610,25.424760129,-0.459934974,0.776313357,MULTI_TILE_PHASE_MEDIAN,10,37225,1322,1604,271,0,530,38.000000000,3.000000000,22,3,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,335,160,161,full_visible,5.880330073,-0.507731227,31.305090201,-0.967666202,0.661526475,MULTI_TILE_PHASE_MEDIAN,10,36760,993,1361,358,0,497,40.000000000,4.000000000,16,4,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,336,161,162,full_visible,6.110125495,0.044001299,37.415215697,-0.923664903,0.802281609,MULTI_TILE_PHASE_MEDIAN,10,37431,1082,1369,302,0,542,40.000000000,4.000000000,10,0,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,337,161,162,full_visible,6.424061339,0.169091665,43.839277036,-0.754573238,0.797443782,MULTI_TILE_PHASE_MEDIAN,9,38950,1392,1600,214,0,544,43.000000000,4.000000000,13,1,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,338,162,163,full_visible,5.992533412,-0.129599319,49.831810448,-0.884172558,0.795851250,MULTI_TILE_PHASE_MEDIAN,10,39482,1197,1482,275,0,552,45.000000000,5.000000000,6,2,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
DISCOVERY_GM_RM017_PV002_330_350,discovery,GM_RM017,GM_RM017:PV002,339,162,163,full_visible,6.164324378,0.085847564,55.996134826,-0.798324993,0.720313623,MULTI_TILE_PHASE_MEDIAN,10,39007,1826,2074,235,0,560,52.000000000,5.000000000,21,2,PERSISTENT_VISIBLE_RESPONSE,false,false,false,false,D:\profile\research\workspace\output\oty2_s1x_20260717\DISCOVERY_GM_RM017_PV002_330_350\frozen_inference_masks.npz
