scene,canonical_vehicle_id,benchmark_role,optical_frame_index,sar_frame_index,sar_gt_id,s1l_research_role,selected_for_future_s1l,selection_status,optical_pose_group,sar_theta_center_deg,sar_theta_width_deg,sar_radius_px,gt_valid_mask_fraction,direct_neighbor_gt_competition,mapping_anchor_eligibility,exclusion_or_diagnostic_reason
GM_RM011,GM_RM011:PV001,development,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-8.983562,104.147303927,87.435,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|2|O2:car:0.87,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,33.534936,42.845501789,213.989,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,0,1,GM_RM011|000001|GM_RM011|000001.png|000000.png|1|O1:car:0.95,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-4.845467,110.702277460,87.109,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,0,1,GM_RM011|000001|GM_RM011|000001.png|000000.png|2|O2:car:0.87,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,35.756593,43.625224564,219.943,1.000000000,false,pose_or_geometry_diagnostic,gt_quality_not_gold_or_usable
GM_RM011,GM_RM011:PV001,development,1,2,GM_RM011|000002|GM_RM011|000002.png|000001.png|1|O1:car:0.96,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-3.452995,108.688210033,88.960,1.000000000,false,pose_or_geometry_diagnostic,gt_quality_not_gold_or_usable
GM_RM011,GM_RM011:PV002,development,1,2,GM_RM011|000002|GM_RM011|000002.png|000001.png|2|O2:car:0.86,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,36.288160,41.063195333,223.913,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,1,3,GM_RM011|000003|GM_RM011|000003.png|000001.png|1|O1:car:0.96,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-2.294761,105.807668504,83.865,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,1,3,GM_RM011|000003|GM_RM011|000003.png|000001.png|2|O2:car:0.86,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,37.814997,39.504311192,225.932,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,2,4,GM_RM011|000004|GM_RM011|000004.png|000002.png|1|O1:car:0.96,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-1.631283,106.460079303,82.832,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,2,4,GM_RM011|000004|GM_RM011|000004.png|000002.png|2|O2:car:0.81,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,38.058024,40.316065015,227.950,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,2,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|1|O1:car:0.96,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-1.611826,103.388978948,83.831,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,2,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|2|O2:car:0.81,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,38.100724,40.189377939,229.354,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,3,6,GM_RM011|000006|GM_RM011|000006.png|000003.png|1|O1:car:0.96,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-0.939645,105.334626546,82.809,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,3,6,GM_RM011|000006|GM_RM011|000006.png|000003.png|2|O2:car:0.86,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,37.838279,39.722337237,232.334,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,3,7,GM_RM011|000007|GM_RM011|000007.png|000003.png|1|O1:car:0.96,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-0.928433,106.152336758,83.809,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,3,7,GM_RM011|000007|GM_RM011|000007.png|000003.png|2|O2:car:0.86,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,36.802639,39.668673618,232.901,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,4,8,GM_RM011|000008|GM_RM011|000008.png|000004.png|1|O1:car:0.86,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-0.906795,105.888791656,85.809,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,4,9,GM_RM011|000009|GM_RM011|000009.png|000004.png|1|O1:car:0.86,optical_partial_diagnostic,false,candidate_only_s1l_not_started,pose_unstable,-0.906795,105.888791656,85.809,1.000000000,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,5,10,GM_RM011|000010|GM_RM011|000010.png|000005.png|1|O1:car:0.84,optical_partial_diagnostic,false,candidate_only_s1l_not_started,left_side_dominant,-2.874323,98.673382075,86.907,1.000000000,false,pose_or_geometry_diagnostic,optical_vehicle_not_fully_visible_after_direct_review;direct_optical_review_vehicle_extent_is_cut_by_left_and_bottom_image_edges;reference_bbox_is_within_8px_of_image_boundary
