case_id,sar_frame,gt_center_x,gt_center_y,optical_proxy_center_x,optical_proxy_center_y,drift_dx_px,drift_dy_px,drift_magnitude_px,dominant_direction
PV002_330_350,330,1050.984,1010.790,1058.685,1038.123,7.701,27.333,28.397,down
PV002_330_350,334,1077.382,1010.473,1082.515,1042.108,5.133,31.635,32.049,down
PV002_330_350,339,1111.398,1005.798,1109.121,1036.048,-2.277,30.250,30.335,down
PV002_330_350,344,1140.293,1009.731,1138.321,1042.739,-1.972,33.008,33.067,down
PV002_330_350,350,1177.320,1004.422,1172.216,1060.652,-5.104,56.230,56.461,down
PV003_360_384,360,1081.560,941.827,1094.089,1028.252,12.529,86.425,87.329,down
PV003_360_384,364,1112.883,941.254,1115.559,1034.923,2.676,93.669,93.707,down
PV003_360_384,372,1167.105,941.444,1153.400,1038.755,-13.705,97.311,98.272,down
PV003_360_384,378,1195.374,945.429,1183.002,1050.608,-12.372,105.179,105.904,down
PV003_360_384,384,1231.552,941.773,1208.909,1071.983,-22.643,130.210,132.164,down
