case_id,frame,coordinate_family,channel,normalization,range_low,range_high,skeleton_median,background_median,same_point_values_recorded_in_point_trace,evidence_card
PV002_337_341,339,RAW_SAR_DISPLAY,raw_display_intensity,legacy_full_frame,0.0,66.0,0.787878811,0.803030312,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\raw_display_intensity.png
PV002_337_341,339,RAW_SAR_DISPLAY,raw_display_intensity,valid_fan_per_frame,0.0,67.0,0.776119411,0.791044772,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\raw_display_intensity.png
PV002_337_341,339,RAW_SAR_DISPLAY,raw_display_intensity,window_frozen_valid,0.0,66.0,0.787878811,0.803030312,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\raw_display_intensity.png
PV002_337_341,339,RAW_SAR_DISPLAY,raw_display_intensity,local_target_matched_background,36.0,94.0,0.275862068,0.293103456,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\raw_display_intensity.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_contrast_31,legacy_full_frame,-16.07284164428711,15.513008117675781,0.504809916,0.471931249,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_contrast_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_contrast_31,valid_fan_per_frame,-16.53173828125,16.14568328857422,0.501990259,0.470209867,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_contrast_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_contrast_31,window_frozen_valid,-16.608365173339845,15.679146499633793,0.510425687,0.478261530,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_contrast_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_contrast_31,local_target_matched_background,-19.694381103515624,25.100519866943337,0.436799496,0.413616002,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_contrast_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_z_31,legacy_full_frame,-1.8109922742843627,1.7647536969184878,0.503170192,0.477783501,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_z_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_z_31,valid_fan_per_frame,-1.884577317237854,1.833283321857452,0.503728926,0.479312599,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_z_31.png
