scene,p1c_global_vehicle_id,audit_id,frame_start,frame_end,audit_type,visual_finding,same_physical_vehicle,lifecycle_interpretation,possible_duplicate_thread_ids,possible_contaminating_thread_ids,decision,evidence_summary,notes
GM_RM011,GM_RM011:GV001,P1D-L0001,0,35,full_lifecycle,Continuous side-to-front camera sweep; distinct from GV002 and overlaps GV003 at frames 20-35.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV002,P1D-L0002,0,4,full_lifecycle,"Simultaneously visible with GV001 at frames 0-4, proving a separate physical vehicle.",true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV003,P1D-L0003,20,59,full_lifecycle,Continuous front-to-side sweep; simultaneous with GV001 and covered GV004 without subject switching.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV004,P1D-L0004,39,55,tracked_fragment,Thread correctly follows a silver-covered physical vehicle while detections are present.,true,valid_but_truncated_thread_fragment,[],[],return_to_p1c_lifecycle_recovery_required,The same covered vehicle remains plainly visible after the declared exit.,Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV004,P1D-L0005,56,87,visible_without_thread,The covered vehicle continues through the camera sweep with no active P1-C identity.,true,premature_exit_and_missing_visible_suffix,[],[],return_to_p1c_extend_or_recover_same_lifecycle,"Continuous shape, cover folds, and image-space motion link frames 39-87 without a physical exit.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV005,P1D-L0006,88,130,full_lifecycle,Continuous camera sweep with stable Nissan appearance; overlaps covered GV006 and gray GV007.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV006,P1D-L0007,110,140,full_lifecycle,Stationary covered vehicle between GV005 and GV007; simultaneous visibility proves distinct identity.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV007,P1D-L0008,116,151,full_lifecycle,Continuous front view; spatially ordered between covered GV006 and white GV008.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV008,P1D-L0009,135,166,full_lifecycle,Continuous front view with one reviewed gap at frame 162; overlaps GV007 and covered GV009.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV009,P1D-L0010,155,166,over_split_first_fragment,First P1-C fragment of a silver-covered car that remains visible through frame 196.,true,same_vehicle_split_by_visible_unboxed_gap,"[""GM_RM011:GV010""]",[],return_to_p1c_merge_with_gv010_and_recover_gap,"The covered body, folds, adjacent scooters, and uninterrupted camera sweep continue across frames 167-187.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV010,P1D-L0011,188,191,over_split_second_fragment,Second short P1-C fragment on the same covered vehicle represented earlier by GV009.,true,duplicate_rebirth_within_one_visible_lifecycle,"[""GM_RM011:GV009""]",[],return_to_p1c_merge_with_gv009_and_recover_visible_suffix,No physical exit or new entry occurs between the two IDs; the vehicle is continuously visible.,Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV011,P1D-L0012,211,245,full_lifecycle,Continuous rear-to-front camera sweep with reviewed two-frame detector gap; overlaps GV012 at frames 243-245.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV012,P1D-L0013,243,266,full_lifecycle,"Continuous side sweep; simultaneously visible with GV011 and GV013, excluding reset over-splitting.",true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV013,P1D-L0014,262,292,full_lifecycle,Continuous rear-to-front sweep; overlaps both GV012 and GV014 at different boundaries.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM011,GM_RM011:GV014,P1D-L0015,284,315,full_lifecycle,Continuous rear-to-front sweep with reviewed detector gaps; overlaps GV013 at frames 284-292.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM017,GM_RM017:GV001,P1D-L0016,118,164,full_lifecycle,"Full entry-to-exit sweep, distinct from all passenger vehicles.",true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM017,GM_RM017:GV002,P1D-L0017,145,185,full_lifecycle,Maintains leading order and exits at frame 185.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM017,GM_RM017:GV003,P1D-L0018,151,200,full_lifecycle,Simultaneously distinguishable from both dark sedans and exits at frame 200.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM017,GM_RM017:GV004,P1D-L0019,162,214,full_lifecycle,Preserves trailing order and exits at frame 214; no later vehicle appears.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV001,P1D-L0020,0,14,full_lifecycle,Pure and complete frames 0-14; frame 29 white MPV is a different vehicle.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV002,P1D-L0021,5,43,full_lifecycle,Pure and complete frames 5-43; overlaps black sedan without identity competition.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV003,P1D-L0022,45,100,false_thread,"Boxes follow pedestrians, roadside small objects, and fragments; no vehicle lifecycle exists.",false,non_vehicle_false_positive_thread,[],[],return_to_p1c_remove_nonvehicle_thread,Complete joint-scene and thread-context review shows no physical vehicle corresponding to GV003.,Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV004,P1D-L0023,51,124,identity_mixture_prefix,Thread follows non-vehicle/pedestrian fragments before any silver MPV identity is established.,false,non_vehicle_fragments_mixed_into_vehicle_thread,[],"[""non_vehicle_fragments""]",return_to_p1c_split_required,The subject is not a stable vehicle and is visually discontinuous with the later silver MPV.,Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV004,P1D-L0024,125,141,duplicate_vehicle_suffix,Thread switches onto the same silver MPV already represented by GV005.,true,duplicate_representation_after_subject_switch,"[""GM_RM019:GV005""]","[""non_vehicle_prefix_51_124""]",return_to_p1c_split_then_merge_required,GV004 and GV005 boxes alternate or overlap on the same silver MPV; GV005 gaps coincide with GV004 taking that vehicle.,Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV005,P1D-L0025,98,143,duplicate_vehicle_thread,"A real silver MPV, but its lifecycle is duplicated by the late suffix of GV004.",true,same_vehicle_split_across_parallel_global_ids,"[""GM_RM019:GV004""]",[],return_to_p1c_merge_after_gv004_split,"Complete scene review identifies one silver MPV, not two; the two IDs compete for the same car.",Visual audit evidence only; no manual override or P1-C identity edit.
GM_RM019,GM_RM019:GV006,P1D-L0026,149,183,full_lifecycle,Pure and complete frames 149-183; distinct from the preceding silver MPV.,true,single_complete_physical_vehicle_lifecycle,[],[],accept_thread_identity,"Complete scene and per-thread context review confirms purity, entry/exit continuity, gaps, and neighboring identities.",Visual audit evidence only; no manual override or P1-C identity edit.
