edge_id,edge_kind,from_det_id,to_det_id,scene,from_optical_frame_num,to_optical_frame_num,optical_frame_gap,from_class_name,to_class_name,class_consistent,center_distance_px,center_distance_limit_px,bbox_iou,size_consistency,area_change_ratio,aspect_change_ratio,confidence_pair_min,neighbor_ambiguity_from,neighbor_ambiguity_to,edge_audit_score_not_selector,edge_within_audit_limits,edge_status,source_within_candidate_count,target_within_candidate_count,candidate_rank_for_source_detection,edge_selected_for_component,edge_policy
GM_RM017_000117_001__GM_RM017_000118_001,tracklet_candidate_edge,GM_RM017_000117_001,GM_RM017_000118_001,GM_RM017,117,118,1,truck,truck,True,7.325264404121007,260.0,0.8001533577179353,0.8251903160274812,-0.14941781741286883,-0.20020155053216881,0.6422344446182251,False,False,0.8880045390298037,True,ambiguous_multiple_candidates,6,1,1,True,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000117_001__GM_RM017_000119_001,tracklet_candidate_edge,GM_RM017_000117_001,GM_RM017_000119_001,GM_RM017,117,119,2,truck,truck,True,1.377664249510597,367.6955262170047,0.8737701921001452,0.9018234520451065,0.07546310263314344,-0.12618508879882148,0.6060502529144287,False,False,0.800828187579144,True,ambiguous_multiple_candidates,6,2,2,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000117_001__GM_RM017_000120_001,tracklet_candidate_edge,GM_RM017_000117_001,GM_RM017_000120_001,GM_RM017,117,120,3,truck,truck,True,8.324084565449349,450.3332099679081,0.7233949816377904,0.8430011637074494,0.382370662478148,0.03884517855274071,0.7311956286430359,False,False,0.7778762629310113,True,ambiguous_multiple_candidates,6,3,3,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000117_001__GM_RM017_000120_002,tracklet_candidate_edge,GM_RM017_000117_001,GM_RM017_000120_002,GM_RM017,117,120,3,truck,truck,True,256.99701018656907,450.3332099679081,0.0,0.4305557095400802,3.0910047808992056,0.6216057764972615,0.303904265165329,False,False,0.3408918921516259,True,ambiguous_multiple_candidates,6,3,4,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000117_001__GM_RM017_000121_001,tracklet_candidate_edge,GM_RM017_000117_001,GM_RM017_000121_001,GM_RM017,117,121,4,truck,truck,True,22.37291201664228,520.0,0.5228395174740202,0.6611165847242865,0.9087312862319105,0.25262274931524975,0.7523945569992065,False,False,0.7244522175049405,True,ambiguous_multiple_candidates,6,5,5,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000118_001__GM_RM017_000119_001,tracklet_candidate_edge,GM_RM017_000118_001,GM_RM017_000119_001,GM_RM017,118,119,1,truck,truck,True,5.961967977008644,260.0,0.7897933105458337,0.8530967803246308,0.264384705734153,0.09254389250516339,0.6060502529144287,False,False,0.8873460829437821,True,ambiguous_multiple_candidates,5,2,1,True,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000118_001__GM_RM017_000120_001,tracklet_candidate_edge,GM_RM017_000118_001,GM_RM017_000120_001,GM_RM017,118,120,2,truck,truck,True,15.428912901203184,367.6955262170047,0.6136165731831981,0.6925993724764625,0.6252052897152498,0.2988837115700413,0.6422344446182251,False,False,0.7589125067201407,True,ambiguous_multiple_candidates,5,3,2,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000118_001__GM_RM017_000120_002,tracklet_candidate_edge,GM_RM017_000118_001,GM_RM017_000120_002,GM_RM017,118,120,2,truck,truck,True,263.8797954594989,367.6955262170047,0.0,0.3505645444327451,3.809652570497072,1.0275180297939353,0.303904265165329,False,False,0.34733134698578383,True,ambiguous_multiple_candidates,5,3,3,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000118_001__GM_RM017_000121_001,tracklet_candidate_edge,GM_RM017_000118_001,GM_RM017_000121_001,GM_RM017,118,121,3,truck,truck,True,29.66355569279161,450.3332099679081,0.44284361183914267,0.5420630268503108,1.2440292370412842,0.566173015399965,0.6422344446182251,False,False,0.6911662628048266,True,ambiguous_multiple_candidates,5,5,4,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000118_001__GM_RM017_000122_001,tracklet_candidate_edge,GM_RM017_000118_001,GM_RM017_000122_001,GM_RM017,118,122,4,truck,truck,True,33.02645107868192,520.0,0.41376651827237904,0.5170818214527706,1.4031890591344602,0.6179923398313545,0.6422344446182251,False,False,0.669919357578009,True,ambiguous_multiple_candidates,5,5,5,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000119_001__GM_RM017_000120_001,tracklet_candidate_edge,GM_RM017_000119_001,GM_RM017_000120_001,GM_RM017,119,120,1,truck,truck,True,9.676610314956815,260.0,0.776051053088556,0.809562631876625,0.28537246800339117,0.18886181185064174,0.6060502529144287,False,False,0.8759461219414739,True,ambiguous_multiple_candidates,8,3,1,True,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000119_001__GM_RM017_000120_002,tracklet_candidate_edge,GM_RM017_000119_001,GM_RM017_000120_002,GM_RM017,119,120,1,truck,truck,True,258.2169118181459,260.0,0.0,0.4008713126871002,2.803947128342076,0.8557771854318001,0.303904265165329,False,False,0.44129919700457065,True,ambiguous_multiple_candidates,8,3,2,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000119_001__GM_RM017_000121_001,tracklet_candidate_edge,GM_RM017_000119_001,GM_RM017_000121_001,GM_RM017,119,121,2,truck,truck,True,23.75035976985775,367.6955262170047,0.5607890999284643,0.6305161017327467,0.7747994157666674,0.4335103844741536,0.6060502529144287,False,False,0.7351785873779748,True,ambiguous_multiple_candidates,8,5,3,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000119_001__GM_RM017_000121_002,tracklet_candidate_edge,GM_RM017_000119_001,GM_RM017_000121_002,GM_RM017,119,121,2,truck,truck,True,301.238230922819,367.6955262170047,0.0,0.3888374401927932,2.9640599107961374,0.9032818433102455,0.6060502529144287,False,False,0.4089123482471895,True,ambiguous_multiple_candidates,8,3,4,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000119_001__GM_RM017_000122_001,tracklet_candidate_edge,GM_RM017_000119_001,GM_RM017_000122_001,GM_RM017,119,122,3,truck,truck,True,27.18068475792901,450.3332099679081,0.523938626753817,0.6006872481455661,0.9006786844507672,0.4809403548276279,0.6060502529144287,False,False,0.696629918144486,True,ambiguous_multiple_candidates,8,5,5,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000120_001__GM_RM017_000121_001,tracklet_candidate_edge,GM_RM017_000120_001,GM_RM017_000121_001,GM_RM017,120,121,1,truck,truck,True,14.37832238679971,260.0,0.7219808714265504,0.7767856879496811,0.3807666337552089,0.2057838599783768,0.7311956286430359,False,False,0.8911156085337749,True,ambiguous_multiple_candidates,6,5,1,True,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000120_001__GM_RM017_000122_001,tracklet_candidate_edge,GM_RM017_000120_001,GM_RM017_000122_001,GM_RM017,120,122,2,truck,truck,True,17.610657270668533,367.6955262170047,0.6744873862170434,0.7395226024569744,0.4786987676833861,0.24567913618347462,0.7311956286430359,False,False,0.7850025226017604,True,ambiguous_multiple_candidates,6,5,2,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000120_001__GM_RM017_000122_002,tracklet_candidate_edge,GM_RM017_000120_001,GM_RM017_000122_002,GM_RM017,120,122,2,truck,truck,True,337.39946898286723,367.6955262170047,0.0,0.4650828673397197,2.1654206041156008,0.6279964571227465,0.5824908018112183,False,False,0.41381146794975815,True,ambiguous_multiple_candidates,6,4,3,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
GM_RM017_000120_001__GM_RM017_000123_001,tracklet_candidate_edge,GM_RM017_000120_001,GM_RM017_000123_001,GM_RM017,120,123,3,truck,truck,True,27.192391287002305,450.3332099679081,0.5768700794513636,0.6486684254691575,0.7295555863655946,0.3905234464966942,0.7311956286430359,False,False,0.7312506048441446,True,ambiguous_multiple_candidates,6,6,4,False,runtime_yolo_bbox_geometry_only_candidate_edge_not_same_target_proof
