tracklet_candidate_id,scene,detection_count,tracklet_status,identity_status,edge_conflict_count,same_frame_conflict_count,neighbor_ambiguity_count,boundary_contact_count,quality_notes,policy
oty1_tracklet_0001,GM_RM017,48,ambiguous_geometry_review,ambiguous_crossing_risk,48,0,0,17,multiple plausible geometry edges; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0002,GM_RM017,10,ambiguous_geometry_review,ambiguous_crossing_risk,10,0,3,3,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0003,GM_RM017,4,ambiguous_geometry_review,ambiguous_crossing_risk,4,0,3,1,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0004,GM_RM017,43,ambiguous_geometry_review,ambiguous_crossing_risk,42,0,7,23,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0005,GM_RM017,52,ambiguous_geometry_review,ambiguous_crossing_risk,51,0,11,24,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0006,GM_RM017,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0007,GM_RM017,54,ambiguous_geometry_review,ambiguous_crossing_risk,53,0,4,21,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0008,GM_RM017,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0009,GM_RM017,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0010,GM_RM017,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
