tracklet_candidate_id,scene,detection_count,frame_start,frame_end,frame_span,missing_frame_gap_count,max_frame_gap,mean_center_speed,median_center_speed,mean_area_change_abs,edge_conflict_count,same_frame_conflict_count,neighbor_ambiguity_count,boundary_contact_count,selected_edge_count,tracklet_status,identity_status,policy
oty1_tracklet_0001,GM_RM017,48,117,164,48,0,1,15.337608855912322,16.85858190152496,0.06971360432006753,48,0,0,17,47,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0002,GM_RM017,10,120,130,11,1,2,44.951854175060234,47.36426748330439,0.11037610808658432,10,0,3,3,9,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0003,GM_RM017,4,124,128,5,1,2,50.29061173826799,52.292807350079165,0.09322416328491012,4,0,3,1,3,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0004,GM_RM017,43,143,185,43,0,1,18.45264433242065,18.939387144377008,0.13591625635211463,42,0,7,23,42,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0005,GM_RM017,52,149,200,52,0,1,15.672617874343699,16.717041182820584,0.17237213860976588,51,0,11,24,51,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0006,GM_RM017,1,152,152,1,0,0,,,,0,0,0,1,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0007,GM_RM017,54,161,214,54,0,1,14.570203136144972,16.20874299046675,0.09499888558831493,53,0,4,21,53,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0008,GM_RM017,1,170,170,1,0,0,,,,0,0,0,1,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0009,GM_RM017,1,356,356,1,0,0,,,,0,0,0,1,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0010,GM_RM017,1,367,367,1,0,0,,,,0,0,0,1,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
