scene,object_hypothesis_id,source_tracker_name,main_tracker_track_id,frame_start,frame_end,main_tracker_frame_start,main_tracker_frame_end,main_tracker_detection_count,main_tracker_lost_count,main_tracker_reactivated_count,main_tracker_duplicate_overlap_count,main_tracker_possible_id_switch_count,primary_tracklet_ids,secondary_tracklet_ids,primary_det_ids,secondary_det_ids,primary_observation_cluster_ids,secondary_observation_cluster_ids,related_oty1a_merge_edge_ids,related_oty1a_statuses,same_object_support_level,same_object_support_score_proxy,main_track_stability_status,object_hypothesis_type,secondary_observation_role,partial_full_transition_present,duplicate_observation_present,boundary_truncation_present,multi_vehicle_confusion_risk,detector_artifact_risk,bbox_provenance_status_summary,idx_mapping_suspicious_count,recommended_use_for_oty2,identity_status,review_required,runtime_source_policy
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,bytetrack,bt_0098,145,182,149,182,25,2,1,0,0,oty1_tracklet_0038;oty1_tracklet_0045,oty1_tracklet_0037;oty1_tracklet_0039,GM_RM019_000149_001;GM_RM019_000150_001;GM_RM019_000151_001;GM_RM019_000152_001;GM_RM019_000153_001;GM_RM019_000154_001;GM_RM019_000155_001;GM_RM019_000156_001;GM_RM019_000157_001;GM_RM019_000158_001;GM_RM019_000159_001;GM_RM019_000160_001;GM_RM019_000161_001;GM_RM019_000162_001;GM_RM019_000172_001;GM_RM019_000173_001;GM_RM019_000174_001;GM_RM019_000175_001;GM_RM019_000176_001;GM_RM019_000177_001;GM_RM019_000178_001;GM_RM019_000179_001;GM_RM019_000180_001;GM_RM019_000181_001;GM_RM019_000182_001,GM_RM019_000145_001;GM_RM019_000162_002;GM_RM019_000163_002;GM_RM019_000164_002;GM_RM019_000165_002;GM_RM019_000166_002;GM_RM019_000167_001;GM_RM019_000168_002;GM_RM019_000172_002,GM_RM019_000149_oc_001;GM_RM019_000150_oc_001;GM_RM019_000151_oc_001;GM_RM019_000152_oc_001;GM_RM019_000153_oc_001;GM_RM019_000154_oc_001;GM_RM019_000155_oc_001;GM_RM019_000156_oc_001;GM_RM019_000157_oc_001;GM_RM019_000158_oc_001;GM_RM019_000159_oc_001;GM_RM019_000160_oc_001;GM_RM019_000161_oc_001;GM_RM019_000162_oc_001;GM_RM019_000172_oc_001;GM_RM019_000173_oc_001;GM_RM019_000174_oc_001;GM_RM019_000175_oc_001;GM_RM019_000176_oc_001;GM_RM019_000177_oc_001;GM_RM019_000178_oc_001;GM_RM019_000179_oc_001;GM_RM019_000180_oc_001;GM_RM019_000181_oc_001;GM_RM019_000182_oc_001,GM_RM019_000162_oc_001;GM_RM019_000163_oc_001;GM_RM019_000164_oc_001;GM_RM019_000165_oc_001;GM_RM019_000166_oc_001;GM_RM019_000167_oc_001;GM_RM019_000168_oc_001;GM_RM019_000172_oc_001,oty1_tracklet_0037__oty1_tracklet_0038;oty1_tracklet_0038__oty1_tracklet_0039;oty1_tracklet_0038__oty1_tracklet_0045;oty1_tracklet_0039__oty1_tracklet_0040;oty1_tracklet_0039__oty1_tracklet_0043;oty1_tracklet_0039__oty1_tracklet_0045,ambiguous_competing_merge;fragment_merge_candidate;partial_to_full_box_transition_candidate,strong,0.75,reactivated_main_track,main_track_with_secondary_observations,mixed_secondary_observations,True,True,True,True,False,raw_bbox_preserved:2;tracker_state_bbox_scale_change:18;tracker_state_bbox_shift:5,0,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,bytetrack,bt_0111,166,169,168,169,2,1,0,0,0,oty1_tracklet_0041,oty1_tracklet_0039;oty1_tracklet_0042,GM_RM019_000168_001;GM_RM019_000169_001,GM_RM019_000166_003;GM_RM019_000168_002,GM_RM019_000168_oc_001;GM_RM019_000169_oc_001,GM_RM019_000166_oc_001;GM_RM019_000168_oc_001,oty1_tracklet_0038__oty1_tracklet_0039;oty1_tracklet_0039__oty1_tracklet_0040;oty1_tracklet_0039__oty1_tracklet_0043;oty1_tracklet_0039__oty1_tracklet_0045;oty1_tracklet_0041__oty1_tracklet_0042,overlap_shape_transition_candidate;partial_to_full_box_transition_candidate,weak,0.305,short_main_track,short_or_noise_track_hypothesis,mixed_secondary_observations,True,True,True,False,False,tracker_state_bbox_scale_change:2,0,do_not_use_for_oty2,short_or_noise_hypothesis,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,bytetrack,bt_0008,145,200,145,182,38,1,0,0,1,oty1_tracklet_0004,oty1_tracklet_0005;oty1_tracklet_0006;oty1_tracklet_0008,GM_RM017_000145_002;GM_RM017_000146_002;GM_RM017_000147_002;GM_RM017_000148_001;GM_RM017_000149_002;GM_RM017_000150_002;GM_RM017_000151_002;GM_RM017_000152_001;GM_RM017_000153_001;GM_RM017_000154_001;GM_RM017_000155_002;GM_RM017_000156_002;GM_RM017_000157_002;GM_RM017_000158_002;GM_RM017_000159_002;GM_RM017_000160_001;GM_RM017_000161_001;GM_RM017_000162_001;GM_RM017_000163_001;GM_RM017_000164_001;GM_RM017_000165_001;GM_RM017_000166_001;GM_RM017_000167_001;GM_RM017_000168_001;GM_RM017_000169_001;GM_RM017_000170_001;GM_RM017_000171_001;GM_RM017_000172_001;GM_RM017_000173_001;GM_RM017_000174_001;GM_RM017_000175_001;GM_RM017_000176_001;GM_RM017_000177_002;GM_RM017_000178_002;GM_RM017_000179_002;GM_RM017_000180_002;GM_RM017_000181_002;GM_RM017_000182_002,GM_RM017_000149_003;GM_RM017_000150_003;GM_RM017_000152_004;GM_RM017_000170_004;GM_RM017_000200_002,GM_RM017_000149_oc_002;GM_RM017_000150_oc_002;GM_RM017_000151_oc_002;GM_RM017_000152_oc_001;GM_RM017_000153_oc_001;GM_RM017_000154_oc_001;GM_RM017_000155_oc_002;GM_RM017_000156_oc_002;GM_RM017_000157_oc_002;GM_RM017_000158_oc_002;GM_RM017_000159_oc_002;GM_RM017_000160_oc_001;GM_RM017_000161_oc_001;GM_RM017_000162_oc_001;GM_RM017_000163_oc_001;GM_RM017_000164_oc_001;GM_RM017_000165_oc_001;GM_RM017_000166_oc_001;GM_RM017_000167_oc_001;GM_RM017_000168_oc_001;GM_RM017_000169_oc_001;GM_RM017_000170_oc_001;GM_RM017_000171_oc_001;GM_RM017_000172_oc_001;GM_RM017_000173_oc_001;GM_RM017_000174_oc_001;GM_RM017_000175_oc_001;GM_RM017_000176_oc_001;GM_RM017_000177_oc_002;GM_RM017_000178_oc_002;GM_RM017_000179_oc_002;GM_RM017_000180_oc_002;GM_RM017_000181_oc_002;GM_RM017_000182_oc_002,GM_RM017_000149_oc_002;GM_RM017_000150_oc_002;GM_RM017_000152_oc_003;GM_RM017_000170_oc_004,oty1_tracklet_0004__oty1_tracklet_0005;oty1_tracklet_0004__oty1_tracklet_0006;oty1_tracklet_0004__oty1_tracklet_0008;oty1_tracklet_0005__oty1_tracklet_0006;oty1_tracklet_0005__oty1_tracklet_0007;oty1_tracklet_0005__oty1_tracklet_0008;oty1_tracklet_0007__oty1_tracklet_0008,overlap_shape_transition_candidate;partial_to_full_box_transition_candidate,moderate,0.67,ambiguous_main_track,ambiguous_object_hypothesis,mixed_secondary_observations,True,True,True,True,False,raw_bbox_preserved:2;tracker_state_bbox_scale_change:21;tracker_state_bbox_shift:11,0,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,bytetrack,bt_0010,143,214,151,197,47,1,0,0,0,oty1_tracklet_0005,oty1_tracklet_0004;oty1_tracklet_0006;oty1_tracklet_0007;oty1_tracklet_0008,GM_RM017_000151_003;GM_RM017_000152_003;GM_RM017_000153_003;GM_RM017_000154_003;GM_RM017_000155_003;GM_RM017_000156_003;GM_RM017_000157_003;GM_RM017_000158_003;GM_RM017_000159_003;GM_RM017_000160_003;GM_RM017_000161_003;GM_RM017_000162_002;GM_RM017_000163_002;GM_RM017_000164_002;GM_RM017_000165_002;GM_RM017_000166_002;GM_RM017_000167_002;GM_RM017_000168_002;GM_RM017_000169_002;GM_RM017_000170_002;GM_RM017_000171_002;GM_RM017_000172_002;GM_RM017_000173_002;GM_RM017_000174_002;GM_RM017_000175_002;GM_RM017_000176_002;GM_RM017_000177_001;GM_RM017_000178_001;GM_RM017_000179_001;GM_RM017_000180_001;GM_RM017_000181_001;GM_RM017_000182_001;GM_RM017_000183_001;GM_RM017_000184_001;GM_RM017_000185_001;GM_RM017_000186_001;GM_RM017_000187_001;GM_RM017_000188_001;GM_RM017_000189_001;GM_RM017_000190_001;GM_RM017_000191_001;GM_RM017_000192_002;GM_RM017_000193_002;GM_RM017_000194_002;GM_RM017_000195_002;GM_RM017_000196_002;GM_RM017_000197_002,GM_RM017_000143_002;GM_RM017_000144_002;GM_RM017_000152_004;GM_RM017_000161_004;GM_RM017_000170_004;GM_RM017_000183_003;GM_RM017_000185_003;GM_RM017_000214_001,GM_RM017_000151_oc_002;GM_RM017_000152_oc_001;GM_RM017_000153_oc_001;GM_RM017_000154_oc_001;GM_RM017_000155_oc_002;GM_RM017_000156_oc_003;GM_RM017_000157_oc_003;GM_RM017_000158_oc_003;GM_RM017_000159_oc_003;GM_RM017_000160_oc_003;GM_RM017_000161_oc_003;GM_RM017_000162_oc_002;GM_RM017_000163_oc_002;GM_RM017_000164_oc_002;GM_RM017_000165_oc_002;GM_RM017_000166_oc_002;GM_RM017_000167_oc_002;GM_RM017_000168_oc_002;GM_RM017_000169_oc_002;GM_RM017_000170_oc_002;GM_RM017_000171_oc_002;GM_RM017_000172_oc_002;GM_RM017_000173_oc_002;GM_RM017_000174_oc_002;GM_RM017_000175_oc_002;GM_RM017_000176_oc_002;GM_RM017_000177_oc_001;GM_RM017_000178_oc_001;GM_RM017_000179_oc_001;GM_RM017_000180_oc_001;GM_RM017_000181_oc_001;GM_RM017_000182_oc_001;GM_RM017_000183_oc_001,GM_RM017_000152_oc_003;GM_RM017_000161_oc_003;GM_RM017_000170_oc_004;GM_RM017_000183_oc_003,oty1_tracklet_0004__oty1_tracklet_0005;oty1_tracklet_0004__oty1_tracklet_0006;oty1_tracklet_0004__oty1_tracklet_0008;oty1_tracklet_0005__oty1_tracklet_0006;oty1_tracklet_0005__oty1_tracklet_0007;oty1_tracklet_0005__oty1_tracklet_0008;oty1_tracklet_0007__oty1_tracklet_0008,overlap_shape_transition_candidate;partial_to_full_box_transition_candidate,strong,0.83,stable_main_track,main_track_with_secondary_observations,mixed_secondary_observations,True,True,True,True,False,raw_bbox_preserved:7;tracker_state_bbox_scale_change:18;tracker_state_bbox_shift:8,0,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,bytetrack,bt_0012,149,210,162,210,49,1,0,0,0,oty1_tracklet_0007,oty1_tracklet_0005;oty1_tracklet_0008,GM_RM017_000162_004;GM_RM017_000163_003;GM_RM017_000164_003;GM_RM017_000165_003;GM_RM017_000166_003;GM_RM017_000167_003;GM_RM017_000168_003;GM_RM017_000169_003;GM_RM017_000170_003;GM_RM017_000171_003;GM_RM017_000172_003;GM_RM017_000173_003;GM_RM017_000174_003;GM_RM017_000175_003;GM_RM017_000176_003;GM_RM017_000177_003;GM_RM017_000178_003;GM_RM017_000179_003;GM_RM017_000180_003;GM_RM017_000181_003;GM_RM017_000182_003;GM_RM017_000183_002;GM_RM017_000184_002;GM_RM017_000185_002;GM_RM017_000186_002;GM_RM017_000187_002;GM_RM017_000188_002;GM_RM017_000189_002;GM_RM017_000190_002;GM_RM017_000191_002;GM_RM017_000192_001;GM_RM017_000193_001;GM_RM017_000194_001;GM_RM017_000195_001;GM_RM017_000196_001;GM_RM017_000197_001;GM_RM017_000198_001;GM_RM017_000199_001;GM_RM017_000200_001;GM_RM017_000201_001;GM_RM017_000202_001;GM_RM017_000203_001;GM_RM017_000204_001;GM_RM017_000205_001;GM_RM017_000206_001;GM_RM017_000207_001;GM_RM017_000208_001;GM_RM017_000209_001;GM_RM017_000210_001,GM_RM017_000149_003;GM_RM017_000150_003;GM_RM017_000170_004;GM_RM017_000200_002,GM_RM017_000162_oc_002;GM_RM017_000163_oc_002;GM_RM017_000164_oc_002;GM_RM017_000165_oc_003;GM_RM017_000166_oc_003;GM_RM017_000167_oc_003;GM_RM017_000168_oc_003;GM_RM017_000169_oc_003;GM_RM017_000170_oc_003;GM_RM017_000171_oc_003;GM_RM017_000172_oc_003;GM_RM017_000173_oc_003;GM_RM017_000174_oc_003;GM_RM017_000175_oc_003;GM_RM017_000176_oc_003;GM_RM017_000177_oc_003;GM_RM017_000178_oc_003;GM_RM017_000179_oc_003;GM_RM017_000180_oc_003;GM_RM017_000181_oc_003;GM_RM017_000182_oc_003;GM_RM017_000183_oc_002,GM_RM017_000149_oc_002;GM_RM017_000150_oc_002;GM_RM017_000170_oc_004,oty1_tracklet_0004__oty1_tracklet_0005;oty1_tracklet_0004__oty1_tracklet_0008;oty1_tracklet_0005__oty1_tracklet_0006;oty1_tracklet_0005__oty1_tracklet_0007;oty1_tracklet_0005__oty1_tracklet_0008;oty1_tracklet_0007__oty1_tracklet_0008,overlap_shape_transition_candidate;partial_to_full_box_transition_candidate,strong,0.83,stable_main_track,main_track_with_secondary_observations,mixed_secondary_observations,True,True,True,True,False,tracker_state_bbox_scale_change:22,0,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,bytetrack,bt_0014,152,213,184,213,6,3,2,0,1,oty1_tracklet_0004;oty1_tracklet_0005;oty1_tracklet_0007,oty1_tracklet_0006;oty1_tracklet_0008,GM_RM017_000184_003;GM_RM017_000198_002;GM_RM017_000199_002;GM_RM017_000211_001;GM_RM017_000212_001;GM_RM017_000213_001,GM_RM017_000152_004;GM_RM017_000170_004,,GM_RM017_000152_oc_003;GM_RM017_000170_oc_004,oty1_tracklet_0004__oty1_tracklet_0005;oty1_tracklet_0004__oty1_tracklet_0006;oty1_tracklet_0004__oty1_tracklet_0008;oty1_tracklet_0005__oty1_tracklet_0006;oty1_tracklet_0005__oty1_tracklet_0007;oty1_tracklet_0005__oty1_tracklet_0008;oty1_tracklet_0007__oty1_tracklet_0008,overlap_shape_transition_candidate;partial_to_full_box_transition_candidate,moderate,0.655,reactivated_main_track,main_track_with_secondary_observations,edge_truncated_observation,True,False,True,False,False,,0,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0001,bytetrack,bt_0001,118,164,118,164,47,1,0,0,0,oty1_tracklet_0001,,GM_RM017_000118_001;GM_RM017_000119_001;GM_RM017_000120_001;GM_RM017_000121_001;GM_RM017_000122_001;GM_RM017_000123_001;GM_RM017_000124_001;GM_RM017_000125_001;GM_RM017_000126_001;GM_RM017_000127_001;GM_RM017_000128_001;GM_RM017_000129_001;GM_RM017_000130_001;GM_RM017_000131_001;GM_RM017_000132_001;GM_RM017_000133_001;GM_RM017_000134_001;GM_RM017_000135_001;GM_RM017_000136_001;GM_RM017_000137_001;GM_RM017_000138_001;GM_RM017_000139_001;GM_RM017_000140_001;GM_RM017_000141_001;GM_RM017_000142_001;GM_RM017_000143_001;GM_RM017_000144_001;GM_RM017_000145_001;GM_RM017_000146_001;GM_RM017_000147_001;GM_RM017_000148_002;GM_RM017_000149_001;GM_RM017_000150_001;GM_RM017_000151_001;GM_RM017_000152_002;GM_RM017_000153_002;GM_RM017_000154_002;GM_RM017_000155_001;GM_RM017_000156_001;GM_RM017_000157_001;GM_RM017_000158_001;GM_RM017_000159_001;GM_RM017_000160_002;GM_RM017_000161_002;GM_RM017_000162_003;GM_RM017_000163_004;GM_RM017_000164_004,,GM_RM017_000149_oc_001;GM_RM017_000150_oc_001;GM_RM017_000151_oc_001;GM_RM017_000152_oc_002;GM_RM017_000153_oc_002;GM_RM017_000154_oc_002;GM_RM017_000155_oc_001;GM_RM017_000156_oc_001;GM_RM017_000157_oc_001;GM_RM017_000158_oc_001;GM_RM017_000159_oc_001;GM_RM017_000160_oc_002;GM_RM017_000161_oc_002;GM_RM017_000162_oc_003;GM_RM017_000163_oc_003;GM_RM017_000164_oc_003,,,,strong,0.75,stable_main_track,stable_object_hypothesis,none,False,False,True,False,False,raw_bbox_preserved:6;tracker_state_bbox_scale_change:6;tracker_state_bbox_shift:4,0,main_track_only,tracker_only_identity_hypothesis,False,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0002,bytetrack,bt_0002,121,129,121,129,9,1,0,0,0,oty1_tracklet_0002;oty1_tracklet_0003,,GM_RM017_000121_002;GM_RM017_000122_002;GM_RM017_000123_002;GM_RM017_000124_002;GM_RM017_000125_002;GM_RM017_000126_002;GM_RM017_000127_002;GM_RM017_000128_002;GM_RM017_000129_002,,,,,,moderate,0.6125,stable_main_track,stable_object_hypothesis,none,False,False,False,False,False,,0,main_track_only,tracker_only_identity_hypothesis,False,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,bytetrack,bt_0001,0,11,0,11,12,1,0,2,1,oty1_tracklet_0001,oty1_tracklet_0003,GM_RM019_000000_001;GM_RM019_000001_001;GM_RM019_000002_001;GM_RM019_000003_001;GM_RM019_000004_001;GM_RM019_000005_001;GM_RM019_000006_001;GM_RM019_000007_001;GM_RM019_000008_001;GM_RM019_000009_001;GM_RM019_000010_001;GM_RM019_000011_002,GM_RM019_000001_003,,,oty1_tracklet_0001__oty1_tracklet_0002;oty1_tracklet_0001__oty1_tracklet_0003;oty1_tracklet_0002__oty1_tracklet_0003,ambiguous_competing_merge;partial_to_full_box_transition_candidate,moderate,0.53,ambiguous_main_track,ambiguous_object_hypothesis,wide_unstable_observation,True,False,False,True,False,,0,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,bytetrack,bt_0002,0,12,0,2,3,1,0,2,0,oty1_tracklet_0002,oty1_tracklet_0001,GM_RM019_000000_002;GM_RM019_000001_002;GM_RM019_000002_002,GM_RM019_000012_002,,,oty1_tracklet_0001__oty1_tracklet_0002;oty1_tracklet_0001__oty1_tracklet_0003;oty1_tracklet_0002__oty1_tracklet_0003,ambiguous_competing_merge;partial_to_full_box_transition_candidate,weak,0.4175,ambiguous_main_track,ambiguous_object_hypothesis,edge_truncated_observation,True,False,True,True,False,,0,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
