scene,object_hypothesis_id,optical_frame_num,main_tracker_track_id,primary_det_id,secondary_det_ids,observation_cluster_id,primary_bbox_x1,primary_bbox_y1,primary_bbox_x2,primary_bbox_y2,primary_bbox_center_x,primary_bbox_center_y,primary_bbox_w,primary_bbox_h,primary_confidence,secondary_bbox_summary,tracker_state_bbox_x1,tracker_state_bbox_y1,tracker_state_bbox_x2,tracker_state_bbox_y2,bbox_provenance_status,cluster_role,cluster_risk_status,state_visibility_status,state_uncertainty_status,partial_full_transition_state,boundary_truncation_state,multi_observation_state,recommended_oty2_weight,review_required,runtime_source_policy
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,149,bt_0098,GM_RM019_000149_001,,GM_RM019_000149_oc_001,0.4241688847541809,326.94317626953125,94.06918334960938,540.2362060546875,47.24667611718178,433.5896911621094,93.6450144648552,213.29302978515625,0.862499,,7.758277893066406,331.34600830078125,80.03018951416016,536.249267578125,tracker_state_bbox_scale_change,edge_truncation_cluster,review_boundary_truncation,visible_main_observation,moderate_uncertainty,none,boundary_truncation_present,single_observation,primary_track_with_uncertainty,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,162,bt_0098,GM_RM019_000162_001,GM_RM019_000162_002,GM_RM019_000162_oc_001,7.1503190994262695,302.08709716796875,636.0260620117188,592.9884643554688,321.5881905555725,447.53778076171875,628.8757429122925,290.9013671875,0.634304,"GM_RM019_000162_002:3.45,301.39,628.58,418.69",171.2411651611328,300.6294250488281,455.1710510253906,595.1400756835938,tracker_state_bbox_shift,ambiguous_multi_vehicle_cluster,review_multi_vehicle_ambiguity,visible_main_observation,high_uncertainty,none,none,multiple_observations,primary_track_with_uncertainty,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,163,bt_0098,,GM_RM019_000163_002,GM_RM019_000163_oc_001,,,,,,,,,,"GM_RM019_000163_002:12.95,302.04,706.37,417.67",,,,,,ambiguous_multi_vehicle_cluster,review_multi_vehicle_ambiguity,partial_secondary_observation,high_uncertainty,none,none,multiple_observations,secondary_hint_only,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,164,bt_0098,,GM_RM019_000164_002,GM_RM019_000164_oc_001,,,,,,,,,,"GM_RM019_000164_002:0.0,302.98,677.6,413.69",,,,,,partial_full_observation_cluster,review_duplicate_or_partial,edge_truncated_observation,moderate_uncertainty,partial_to_full_transition,boundary_truncation_present,multiple_observations,secondary_hint_only,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,165,bt_0098,,GM_RM019_000165_002,GM_RM019_000165_oc_001,,,,,,,,,,"GM_RM019_000165_002:0.0,303.23,618.15,426.45",,,,,,partial_full_observation_cluster,review_duplicate_or_partial,edge_truncated_observation,moderate_uncertainty,partial_to_full_transition,boundary_truncation_present,multiple_observations,secondary_hint_only,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,166,bt_0098,,GM_RM019_000166_002,GM_RM019_000166_oc_001,,,,,,,,,,"GM_RM019_000166_002:0.0,304.0,619.55,414.8",,,,,,partial_full_observation_cluster,review_duplicate_or_partial,edge_truncated_observation,moderate_uncertainty,partial_to_full_transition,boundary_truncation_present,multiple_observations,secondary_hint_only,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,167,bt_0098,,GM_RM019_000167_001,GM_RM019_000167_oc_001,,,,,,,,,,"GM_RM019_000167_001:0.0,304.8,621.2,427.17",,,,,,partial_full_observation_cluster,review_duplicate_or_partial,edge_truncated_observation,moderate_uncertainty,partial_to_full_transition,boundary_truncation_present,multiple_observations,secondary_hint_only,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,168,bt_0098,,GM_RM019_000168_002,GM_RM019_000168_oc_001,,,,,,,,,,"GM_RM019_000168_002:1.03,303.9,674.44,449.14",,,,,,partial_full_observation_cluster,review_duplicate_or_partial,edge_truncated_observation,moderate_uncertainty,partial_to_full_transition,boundary_truncation_present,multiple_observations,secondary_hint_only,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,171,bt_0098,,,,,,,,,,,,,,,,,,,,,missing_observation,high_uncertainty,none,none,missing_observation,do_not_use,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,172,bt_0098,GM_RM019_000172_001,GM_RM019_000172_002,GM_RM019_000172_oc_001,219.60861206054688,294.2782897949219,795.0472412109375,592.8367919921875,507.3279266357422,443.5575408935547,575.4386291503906,298.5585021972656,0.511338,"GM_RM019_000172_002:162.55,297.13,800.0,468.74",341.2964782714844,294.6556091308594,674.0062255859375,593.2406616210938,tracker_state_bbox_scale_change,partial_full_observation_cluster,review_duplicate_or_partial,visible_main_observation,moderate_uncertainty,mixed_partial_full_observations,boundary_truncation_present,multiple_observations,primary_track_with_uncertainty,True,oty1t_p4g_runtime_safe_object_optical_hypothesis_no_gt_no_sar_no_selector
