scene,optical_frame_num,tracker_name,tracker_track_id,chosen_det_id,chosen_oty1_tracklet_id,chosen_confidence,chosen_raw_bbox_x1,chosen_raw_bbox_y1,chosen_raw_bbox_x2,chosen_raw_bbox_y2,chosen_tracker_bbox_x1,chosen_tracker_bbox_y1,chosen_tracker_bbox_x2,chosen_tracker_bbox_y2,chosen_bbox_area,chosen_boundary_contact,rejected_neighbor_det_ids,rejected_neighbor_oty1_tracklet_ids,rejected_neighbor_confidences,rejected_neighbor_bbox_areas,chosen_vs_rejected_iou_max,chosen_vs_rejected_center_distance_min,chosen_vs_rejected_area_ratio_min,chosen_vs_rejected_area_ratio_max,observation_cluster_id,association_choice_status,association_choice_reason,review_required
GM_RM019,172,bytetrack,bt_0098,GM_RM019_000172_001,oty1_tracklet_0045,0.511338,219.60861206054688,294.2782897949219,795.0472412109375,592.8367919921875,341.2964782714844,294.6556091308594,674.0062255859375,593.2406616210938,171802.095226,False,GM_RM019_000172_002,oty1_tracklet_0039,0.254974,109389.477885,0.541249,65.984334,0.636718,0.636718,GM_RM019_000172_oc_001,chose_full_over_partial,chosen detection is larger/taller and not boundary-touching while rejected neighbor is edge/partial-like,True
GM_RM019,173,bytetrack,bt_0098,GM_RM019_000173_001,oty1_tracklet_0045,0.69327,233.22010803222656,298.4232482910156,797.0567626953125,593.6067504882812,337.0877685546875,297.2625732421875,700.6951904296875,593.4705810546875,166435.278391,False,,,,,0.0,0.0,0.0,0.0,GM_RM019_000173_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,174,bytetrack,bt_0098,GM_RM019_000174_001,oty1_tracklet_0045,0.931164,278.7964782714844,306.7236328125,798.8986206054688,593.866943359375,349.26776123046875,303.64178466796875,727.7319946289062,593.7183227539062,149343.850972,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000174_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,181,bytetrack,bt_0098,GM_RM019_000181_001,oty1_tracklet_0045,0.917283,653.202392578125,394.2694396972656,799.5590209960938,594.9238891601562,600.7278442382812,392.3945007324219,849.5228271484375,595.0935668945312,29367.1087,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000181_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,182,bytetrack,bt_0098,GM_RM019_000182_001,oty1_tracklet_0045,0.881774,705.2213134765625,406.4940490722656,799.6967163085938,593.7047119140625,642.218505859375,404.9171142578125,860.5692749023438,594.1392822265625,17686.802786,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000182_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,149,bytetrack,bt_0098,GM_RM019_000149_001,oty1_tracklet_0038,0.862499,0.4241688847541809,326.94317626953125,94.06918334960938,540.2362060546875,7.758277893066406,331.34600830078125,80.03018951416016,536.249267578125,19973.828859,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000149_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,150,bytetrack,bt_0098,GM_RM019_000150_001,oty1_tracklet_0038,0.825836,0.17518360912799835,304.9988098144531,124.11287689208984,553.0045166015625,15.152104377746582,312.2132263183594,99.14157104492188,548.4165649414062,30737.25522,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000150_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,151,bytetrack,bt_0098,GM_RM019_000151_001,oty1_tracklet_0038,0.879812,0.3498331606388092,299.6176452636719,156.3976287841797,575.3565063476562,25.224365234375,301.0355224609375,122.03651428222656,568.760009765625,43028.44144,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000151_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,152,bytetrack,bt_0098,GM_RM019_000152_001,oty1_tracklet_0038,0.938428,0.39890289306640625,296.6626892089844,189.79794311523438,588.195068359375,36.98794937133789,295.158935546875,144.9132537841797,585.0199584960938,55215.952805,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000152_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
GM_RM019,153,bytetrack,bt_0098,GM_RM019_000153_001,oty1_tracklet_0038,0.951381,0.4712168276309967,295.5627746582031,222.617431640625,593.437744140625,49.452606201171875,292.5945129394531,166.9163055419922,594.4213256835938,66171.796958,True,,,,,0.0,0.0,0.0,0.0,GM_RM019_000153_oc_001,clean_single_choice,no same-frame observation-cluster neighbor was rejected,False
