scene,optical_frame_num,det_id,tracker_name,tracker_track_id,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,tracker_output_bbox_x1,tracker_output_bbox_y1,tracker_output_bbox_x2,tracker_output_bbox_y2,center_delta_px,area_delta_ratio,iou_raw_vs_tracker_output,output_idx,mapped_det_id,mapping_verified,bbox_provenance_status,bbox_provenance_reason
GM_RM019,172,GM_RM019_000172_001,bytetrack,bt_0098,219.60861206054688,294.2782897949219,795.0472412109375,592.8367919921875,341.2964782714844,294.6556091308594,674.0062255859375,593.2406616210938,0.507117,0.421764,0.577003,17,GM_RM019_000172_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,173,GM_RM019_000173_001,bytetrack,bt_0098,233.22010803222656,298.4232482910156,797.0567626953125,593.6067504882812,337.0877685546875,297.2625732421875,700.6951904296875,593.4705810546875,3.808647,0.352881,0.642953,18,GM_RM019_000173_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,174,GM_RM019_000174_001,bytetrack,bt_0098,278.7964782714844,306.7236328125,798.8986206054688,593.866943359375,349.26776123046875,303.64178466796875,727.7319946289062,593.7183227539062,1.652228,0.264894,0.72166,19,GM_RM019_000174_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,181,GM_RM019_000181_001,bytetrack,bt_0098,653.202392578125,394.2694396972656,799.5590209960938,594.9238891601562,600.7278442382812,392.3945007324219,849.5228271484375,595.0935668945312,1.517543,0.717245,0.582328,26,GM_RM019_000181_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,182,GM_RM019_000182_001,bytetrack,bt_0098,705.2213134765625,406.4940490722656,799.6967163085938,593.7047119140625,642.218505859375,404.9171142578125,860.5692749023438,594.1392822265625,1.208611,1.336025,0.428078,27,GM_RM019_000182_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,149,GM_RM019_000149_001,bytetrack,bt_0098,0.4241688847541809,326.94317626953125,94.06918334960938,540.2362060546875,7.758277893066406,331.34600830078125,80.03018951416016,536.249267578125,3.358886,0.258592,0.741408,1,GM_RM019_000149_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,150,GM_RM019_000150_001,bytetrack,bt_0098,0.17518360912799835,304.9988098144531,124.11287689208984,553.0045166015625,15.152104377746582,312.2132263183594,99.14157104492188,548.4165649414062,5.166867,0.354575,0.645425,2,GM_RM019_000150_001,True,tracker_state_bbox_shift,mapped det_id is verified; tracker state bbox shifts relative to raw detection
GM_RM019,151,GM_RM019_000151_001,bytetrack,bt_0098,0.3498331606388092,299.6176452636719,156.3976287841797,575.3565063476562,25.224365234375,301.0355224609375,122.03651428222656,568.760009765625,5.404011,0.397631,0.602369,3,GM_RM019_000151_001,True,tracker_state_bbox_shift,mapped det_id is verified; tracker state bbox shifts relative to raw detection
GM_RM019,152,GM_RM019_000152_001,bytetrack,bt_0098,0.39890289306640625,296.6626892089844,189.79794311523438,588.195068359375,36.98794937133789,295.158935546875,144.9132537841797,585.0199584960938,4.762076,0.433437,0.561972,4,GM_RM019_000152_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
GM_RM019,153,GM_RM019_000153_001,bytetrack,bt_0098,0.4712168276309967,295.5627746582031,222.617431640625,593.437744140625,49.452606201171875,292.5945129394531,166.9163055419922,594.4213256835938,3.503349,0.464217,0.525084,5,GM_RM019_000153_001,True,tracker_state_bbox_scale_change,mapped det_id is verified; bbox center stays close while tracker state changes scale
