scene,tracker_name,tracker_track_id,optical_identity_hypothesis_id,frame_start,frame_end,detection_count,frame_span,missing_gap_count,max_gap,mean_confidence,min_confidence,mean_center_speed,max_center_speed,mean_area_change_ratio,max_area_change_ratio,boundary_contact_count,neighbor_ambiguity_count,low_score_detection_count,lost_count,reactivated_count,track_fragmentation_proxy,possible_id_switch_count,duplicate_track_overlap_count,track_status,identity_status
GM_RM019,bytetrack,bt_0080,oty1t_bt_0080,98,140,39,43,1,5,0.8678427430299612,0.3705103099346161,19.14774166884713,59.607546889322066,0.12080860787469468,0.33533395924006254,17,5,0,2,1,4,0,1,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0098,oty1t_bt_0098,149,182,25,34,1,10,0.8933759832382202,0.5113377571105957,22.562627856170693,34.74776529665262,0.12854970362956897,0.339653387845037,10,2,0,2,1,4,0,0,fragmented_tracker_hypothesis,tracker_fragmented_hypothesis
GM_RM019,bytetrack,bt_0053,oty1t_bt_0053,60,80,21,21,0,1,0.7198798542930966,0.3553297519683838,4.766946087582075,7.524700709461433,0.028540912320949907,0.06458703114370147,0,7,0,1,0,1,1,1,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0042,oty1t_bt_0042,51,82,19,32,5,6,0.44203853920886393,0.2675548493862152,6.722208470717007,9.75478337334172,0.07717076061999018,0.2904239792094082,0,7,0,6,5,16,2,1,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0069,oty1t_bt_0069,84,100,17,17,0,1,0.7419345308752621,0.4119316637516022,5.283858184656268,10.15562726496981,0.027864581109862792,0.07661787415300797,0,4,0,1,0,1,1,2,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0001,oty1t_bt_0001,0,11,12,12,0,1,0.8110476012031237,0.3642021119594574,20.752266874551818,26.678378844556917,0.07249824162932998,0.12153468105084275,7,3,0,1,0,1,1,2,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0071,oty1t_bt_0071,86,92,7,7,0,1,0.3635328199182238,0.2827405035495758,1.4288111405432287,2.016884021628217,0.09597010580735366,0.22937092245027066,0,6,0,1,0,1,1,1,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0093,oty1t_bt_0093,124,127,4,4,0,1,0.3528691604733467,0.2862366735935211,27.106491658611727,35.33525192251157,0.09900869972548869,0.12487279764842803,3,3,0,1,0,1,0,1,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0002,oty1t_bt_0002,0,2,3,3,0,1,0.36272693673769635,0.31109893321990967,24.051673482826047,29.215933919879642,0.11105814611488889,0.17375799429206398,2,3,0,1,0,1,0,2,duplicate_overlap_review,tracker_duplicate_overlap_hypothesis
GM_RM019,bytetrack,bt_0009,oty1t_bt_0009,13,14,2,2,0,1,0.6507611572742462,0.5888288617134094,25.673779336912713,25.673779336912713,0.2504581431725882,0.2504581431725882,2,0,0,1,0,1,1,0,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0067,oty1t_bt_0067,79,80,2,2,0,1,0.4773956686258316,0.4320956766605377,0.9743080308754364,0.9743080308754364,0.007652160280895537,0.007652160280895537,0,1,0,1,0,1,1,1,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0070,oty1t_bt_0070,84,87,2,4,1,3,0.4491851180791855,0.4276072680950165,1.5993517416842318,1.5993517416842318,0.20424804644342542,0.20424804644342542,0,1,0,2,1,4,2,1,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0073,oty1t_bt_0073,87,88,2,2,0,1,0.48614634573459625,0.45982763171195984,4.666482486622807,4.666482486622807,0.06054967447567488,0.06054967447567488,0,2,0,1,0,1,0,2,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0111,oty1t_bt_0111,168,169,2,2,0,1,0.4201742261648178,0.4125456213951111,6.773269931296809,6.773269931296809,0.0014200654944386487,0.0014200654944386487,0,0,0,1,0,1,0,0,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0024,oty1t_bt_0024,42,42,1,1,0,0,0.40720468759536743,0.40720468759536743,,,,,0,0,0,1,0,1,0,0,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0029,oty1t_bt_0029,45,45,1,1,0,0,0.6227255463600159,0.6227255463600159,,,,,0,1,0,1,0,1,1,0,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0036,oty1t_bt_0036,49,49,1,1,0,0,0.6419782042503357,0.6419782042503357,,,,,0,1,0,1,0,1,1,0,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0057,oty1t_bt_0057,71,71,1,1,0,0,0.38396155834198,0.38396155834198,,,,,0,1,0,1,0,1,0,1,short_tracker_hypothesis,tracker_short_hypothesis
GM_RM019,bytetrack,bt_0005,oty1t_bt_0005,5,41,37,37,0,1,0.8443626245936832,0.3376384973526001,22.752633035053375,77.66201134243026,0.12273921716263006,0.3064597263122569,13,5,0,1,0,1,0,0,tracker_stable_hypothesis,tracker_stable_hypothesis
GM_RM019,bytetrack,bt_0094,oty1t_bt_0094,138,143,6,6,0,1,0.7574332058429718,0.6542105078697205,3.331064191632732,5.467903586881933,0.024517739926626318,0.0799167307698259,6,0,0,1,0,1,0,0,tracker_stable_hypothesis,tracker_stable_hypothesis
GM_RM019,bytetrack,bt_0124,oty1t_bt_0124,259,261,3,3,0,1,0.621556301911672,0.5882253646850586,7.165576661266062,7.823651447136935,0.01965902085881711,0.03539534842495786,0,0,0,1,0,1,0,0,tracker_stable_hypothesis,tracker_stable_hypothesis
