scene,optical_frame_num,observation_cluster_id,cluster_size,det_ids,class_names,confidence_list,bbox_x1_min,bbox_y1_min,bbox_x2_max,bbox_y2_max,cluster_union_area,member_bbox_areas,member_bbox_aspects,member_bottom_y,pairwise_iou_max,pairwise_iou_mean,pairwise_center_distance_min,pairwise_center_distance_mean,boundary_contact_any,neighbor_ambiguity_any,oty1_tracklet_ids,oty1_identity_statuses,tracker_assigned_track_ids,tracked_det_ids,unmatched_det_ids,cluster_role,cluster_risk_status,runtime_source_policy
GM_RM019,172,GM_RM019_000172_oc_001,2,GM_RM019_000172_001;GM_RM019_000172_002,car,0.511338;0.254974,162.54739379882812,294.2782897949219,800.0,592.8367919921875,190316.89532916527,171802.095226;109389.477885,1.92739;3.71467,592.836792;468.736908,0.541249,0.541249,65.984334,65.984334,True,True,oty1_tracklet_0039;oty1_tracklet_0045,ambiguous_crossing_risk,bt_0098,GM_RM019_000172_001,GM_RM019_000172_002,partial_full_observation_cluster,review_duplicate_or_partial,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,173,GM_RM019_000173_oc_001,1,GM_RM019_000173_001,car,0.69327,233.22010803222656,298.4232482910156,797.0567626953125,593.6067504882812,166435.27839063993,166435.278391,1.910123,593.60675,0.0,0.0,0.0,0.0,False,False,oty1_tracklet_0045,ambiguous_crossing_risk,bt_0098,GM_RM019_000173_001,,stable_single_box,low_risk_single_observation,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,174,GM_RM019_000174_oc_001,1,GM_RM019_000174_001,car,0.931164,278.7964782714844,306.7236328125,798.8986206054688,593.866943359375,149343.85097230226,149343.850972,1.811298,593.866943,0.0,0.0,0.0,0.0,True,False,oty1_tracklet_0045,ambiguous_crossing_risk,bt_0098,GM_RM019_000174_001,,edge_truncation_cluster,review_boundary_truncation,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,181,GM_RM019_000181_oc_001,1,GM_RM019_000181_001,car,0.917283,653.202392578125,394.2694396972656,799.5590209960938,594.9238891601562,29367.108700452372,29367.1087,0.729396,594.923889,0.0,0.0,0.0,0.0,True,False,oty1_tracklet_0045,ambiguous_crossing_risk,bt_0098,GM_RM019_000181_001,,edge_truncation_cluster,review_boundary_truncation,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,182,GM_RM019_000182_oc_001,1,GM_RM019_000182_001,car,0.881774,705.2213134765625,406.4940490722656,799.6967163085938,593.7047119140625,17686.802786430344,17686.802786,0.504648,593.704712,0.0,0.0,0.0,0.0,True,False,oty1_tracklet_0045,ambiguous_crossing_risk,bt_0098,GM_RM019_000182_001,,edge_truncation_cluster,review_boundary_truncation,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,162,GM_RM019_000162_oc_001,2,GM_RM019_000162_001;GM_RM019_000162_002,car,0.634304;0.338494,3.45184326171875,301.3935241699219,636.0260620117188,592.9884643554688,184455.4414793253,182940.813404;73326.797374,2.161818;5.32935,592.988464;418.692505,0.394231,0.394231,87.672054,87.672054,False,True,oty1_tracklet_0038;oty1_tracklet_0039,ambiguous_crossing_risk,bt_0098,GM_RM019_000162_001,GM_RM019_000162_002,ambiguous_multi_vehicle_cluster,review_multi_vehicle_ambiguity,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,163,GM_RM019_000163_oc_001,2,GM_RM019_000163_001;GM_RM019_000163_002,car,0.295137;0.286744,12.952880859375,302.0445556640625,706.3653564453125,592.7785034179688,201598.54644890875,167471.218133;80173.468589,1.998558;5.997257,592.778503;417.666168,0.36457,0.36457,99.401841,99.401841,False,True,oty1_tracklet_0038;oty1_tracklet_0039,ambiguous_crossing_risk,,,GM_RM019_000163_001;GM_RM019_000163_002,ambiguous_multi_vehicle_cluster,review_multi_vehicle_ambiguity,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,164,GM_RM019_000164_oc_001,3,GM_RM019_000164_001;GM_RM019_000164_002;GM_RM019_000164_003,car,0.296827;0.272645;0.250098,0.0,302.809326171875,765.7044067382812,592.2053833007812,221591.8362362869,33194.275495;75018.574903;161263.634866,11.671114;6.12033;1.939867,356.139801;413.694458;592.205383,0.440419,0.282234,39.925948,141.198788,True,True,oty1_tracklet_0038;oty1_tracklet_0039;oty1_tracklet_0040,ambiguous_crossing_risk;fragmented_short_track,,,GM_RM019_000164_001;GM_RM019_000164_002;GM_RM019_000164_003,partial_full_observation_cluster,review_duplicate_or_partial,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,165,GM_RM019_000165_oc_001,2,GM_RM019_000165_001;GM_RM019_000165_002,car,0.321943;0.255692,0.0,302.9687805175781,676.7603759765625,426.45263671875,83568.98094974086,38313.9353;76167.795839,11.953995;5.016758,359.58252;426.452637,0.437309,0.437309,44.558526,44.558526,True,True,oty1_tracklet_0039;oty1_tracklet_0040,ambiguous_crossing_risk;fragmented_short_track,,,GM_RM019_000165_001;GM_RM019_000165_002,partial_full_observation_cluster,review_duplicate_or_partial,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
GM_RM019,166,GM_RM019_000166_oc_001,3,GM_RM019_000166_001;GM_RM019_000166_002;GM_RM019_000166_003,car,0.351932;0.286625;0.268044,0.0,303.3055114746094,619.5540161132812,435.654296875,81997.22152252682,7864.395564;68644.611064;2552.148876,1.346917;5.591804;2.057355,435.654297;414.795074;338.526245,0.080766,0.039062,70.689711,181.570139,True,True,oty1_tracklet_0039;oty1_tracklet_0041;oty1_tracklet_0042,ambiguous_crossing_risk;fragmented_short_track,,,GM_RM019_000166_001;GM_RM019_000166_002;GM_RM019_000166_003,partial_full_observation_cluster,review_duplicate_or_partial,oty1t_p3_runtime_safe_oty0_oty1_oty1a_oty1t_optical_only_no_gt_no_sar
