scene,optical_frame_num,det_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bbox_w,bbox_h,bbox_area,bbox_aspect,bottom_y,is_low_score_detection,boundary_contact,neighbor_ambiguity_proxy,nearest_tracked_track_id,nearest_tracked_center_distance_px,nearest_tracked_iou,overlaps_existing_tracker,near_existing_tracker,oty1_component_id_if_available,oty1_identity_status_if_available,oty1a_related_merge_edge_count,oty1a_related_nonambiguous_edge_count,oty1a_related_ambiguous_edge_count,diagnosis_bucket,diagnosis_reason
GM_RM019,3,GM_RM019_000003_002,car,0.49987247586250305,0.1720174103975296,374.63250732421875,31.116619110107422,485.7406921386719,15.644318260252476,430.1865997314453,30.944601699709892,111.10818481445312,3438.198524661007,0.2785087502904158,485.7406921386719,False,True,False,bt_0001,509.67938161368266,0.0,False,False,oty1_tracklet_0004,ambiguous_crossing_risk,19,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,4,GM_RM019_000004_002,car,0.5709206461906433,0.28067269921302795,333.6759948730469,61.20428466796875,500.2888488769531,30.74247868359089,416.982421875,60.92361196875572,166.61285400390625,10150.656866340933,0.3656597345564188,500.2888488769531,False,True,True,bt_0001,513.2489183639412,0.0,False,False,oty1_tracklet_0004,ambiguous_crossing_risk,19,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,12,GM_RM019_000012_002,car,0.7956675887107849,611.4285888671875,419.41943359375,799.5775146484375,594.0414428710938,705.5030517578125,506.7304382324219,188.14892578125,174.62200927734375,32854.9434632957,1.0774639838350624,594.0414428710938,False,True,False,bt_0005,559.8503292450499,0.0,False,False,oty1_tracklet_0001,ambiguous_crossing_risk,10,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,22,GM_RM019_000022_002,car,0.33275237679481506,0.2142333984375,272.45599365234375,673.3560180664062,394.9461669921875,336.7851257324219,333.7010803222656,673.1417846679688,122.49017333984375,82453.25388627127,5.4954758109482436,394.9461669921875,False,True,False,bt_0005,123.68748955708777,0.3021198318723552,False,False,oty1_tracklet_0008,ambiguous_crossing_risk,13,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,23,GM_RM019_000023_001,car,0.34770384430885315,12.896982192993164,301.31988525390625,703.9349975585938,424.17266845703125,358.41598987579346,362.74627685546875,691.0380153656006,122.852783203125,84895.94348682789,5.6249276357299705,424.17266845703125,False,False,False,bt_0005,138.7939164500738,0.31334840018635096,False,False,oty1_tracklet_0008,ambiguous_crossing_risk,13,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,24,GM_RM019_000024_002,car,0.2797352969646454,46.4263916015625,322.3150939941406,732.4533081054688,472.8765869140625,389.4398498535156,397.59584045410156,686.0269165039062,150.56149291992188,103289.23673207872,4.556456655678745,472.8765869140625,False,False,True,bt_0005,138.54187490187323,0.3815720431003575,False,False,oty1_tracklet_0009,ambiguous_crossing_risk,14,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,25,GM_RM019_000025_002,car,0.33374130725860596,81.60054016113281,326.251708984375,756.0037841796875,471.8949890136719,418.80216217041016,399.07334899902344,674.4032440185547,145.64328002929688,98222.3005212606,4.630513978282384,471.8949890136719,False,False,True,bt_0005,131.9368938450301,0.387022115006112,False,False,oty1_tracklet_0009,ambiguous_crossing_risk,14,2,0,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,37,GM_RM019_000037_002,car,0.407058984041214,272.4063415527344,334.63336181640625,296.5210266113281,346.9592590332031,284.46368408203125,340.7963104248047,24.11468505859375,12.325897216796875,297.2351294476539,1.9564243182015129,346.9592590332031,False,False,False,bt_0005,409.7133830987414,0.0,False,False,oty1_tracklet_0011,ambiguous_crossing_risk,18,3,6,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,38,GM_RM019_000038_002,car,0.3932321071624756,280.3330993652344,334.66717529296875,305.90478515625,346.91046142578125,293.1189422607422,340.788818359375,25.571685791015625,12.2432861328125,313.08146603778005,2.0886292710649372,346.91046142578125,False,False,False,bt_0005,422.6871737871293,0.0,False,False,oty1_tracklet_0011,ambiguous_crossing_risk,18,3,6,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
GM_RM019,39,GM_RM019_000039_002,car,0.4010791778564453,283.8988037109375,333.75909423828125,313.92840576171875,345.9793395996094,298.9136047363281,339.8692169189453,30.02960205078125,12.220245361328125,366.9691051635891,2.457364902493051,345.9793395996094,False,False,False,bt_0005,438.3748389129476,0.0,False,False,oty1_tracklet_0011,ambiguous_crossing_risk,18,3,6,shape_transition_unmatched,OTY1a links this component to shape or partial/full transition review
