sample_id,sample_type,scene,target_identity,sar_frame_num,optical_frame_path,sar_frame_path,candidate_accounting_csv,accounting_source,source_id,source_kind,posthoc_debug_enabled,optical_box_xywh,range_prior_sigma_px,final_box_xywh,final_box_posthoc_only,no_optical_runtime_prior,notes
v0_1_001,top1_bad_top20_good,GM_RM019,gm_rm019_00006,8,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Posthoc sampling says top1 weak while full pool best is multi_peak_ray; posthoc is debug only.
v0_1_002,top1_bad_top20_good,GM_RM019,frameadd_gm_rm019_000013_000027_01,27,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,High topk loss case from C1.4 frozen ranked table.
v0_1_003,top1_bad_top20_good,GM_RM019,gm_rm019_00171,269,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Top1 weaker than full-pool topk candidate; sampling metadata only.
v0_1_004,top1_bad_top20_good,GM_RM019,gm_rm019_00057,88,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Top1-vs-full-pool review seed.
v0_1_005,candidate_pool_bad,GM_RM019,gm_rm019_00129,202,,,,synthesis_c1_3_structural_candidate_bank,synthesis_c1_3_structural_candidate_bank,,true,,18,,true,false,Pool ceiling review seed where posthoc best remains modest; not a selector target.
v0_1_006,candidate_pool_bad,GM_RM019,gm_rm019_00001,0,,,,synthesis_c1_3_structural_candidate_bank,synthesis_c1_3_structural_candidate_bank,,true,,18,,true,false,Pool ceiling review seed using structural candidate bank.
v0_1_007,candidate_pool_bad,GM_RM019,gm_rm019_00003,4,,,,synthesis_c1_3_structural_candidate_bank,synthesis_c1_3_structural_candidate_bank,,true,,18,,true,false,Pool ceiling review seed with low full-pool posthoc ceiling.
v0_1_008,top1_good,GM_RM019,gm_rm019_00026,31,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Control case where top1 posthoc proxy is relatively strong; visual conclusion left blank.
v0_1_009,top1_good,GM_RM019,gm_rm019_00181,288,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Control case for high top1/full-pool proxy; posthoc debug only.
v0_1_010,factor_topk_best,GM_RM019,gm_rm019_00173,273,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Factor-topk full-pool best diagnostic seed.
v0_1_011,factor_topk_best,GM_RM019,gm_rm019_00151,238,,,,synthesis_c1_4_frozen_ranked_candidates,synthesis_c1_4_frozen_ranked_candidates,,true,,18,,true,false,Factor-topk review seed from frozen ranked table.
v0_1_012,wedge_best,GM_RM019,gm_rm019_00129,202,,,,workspace_c1_2_extended_candidate_bank,workspace_c1_2_extended_candidate_bank,,true,,18,,true,false,Wedge candidate visual review using C1.2 extended bank; no mechanism success claim.
v0_1_013,wedge_best,GM_RM019,gm_rm019_00195,317,,,,workspace_c1_2_extended_candidate_bank,workspace_c1_2_extended_candidate_bank,,true,,18,,true,false,Wedge structural candidate review seed.
v0_1_014,ray_best,GM_RM019,gm_rm019_00006,8,,,,workspace_c1_2_extended_candidate_bank,workspace_c1_2_extended_candidate_bank,,true,,18,,true,false,Ray/multi-peak candidate review seed; range prior diagnosis only.
v0_1_015,ray_best,GM_RM019,gm_rm019_00220,354,,,,workspace_c1_2_extended_candidate_bank,workspace_c1_2_extended_candidate_bank,,true,,18,,true,false,Ray candidate presence review seed; no selector claim.
v0_1_016,signed_best,GM_RM019,gm_rm019_00194,315,,,,workspace_c1_4_partial_factor_table,workspace_c1_4_partial_factor_table,,true,,18,,true,false,Signed tracklet partial-factor review; temporal evidence remains shallow.
v0_1_017,signed_best,GM_RM019,gm_rm019_00216,350,,,,workspace_c1_4_partial_factor_table,workspace_c1_4_partial_factor_table,,true,,18,,true,false,Signed ambiguous-direction review seed from partial factor table.
v0_1_018,sar_only_blocked,GM_RM019,saronly_gm_rm019_000000_000000_01,0,,,,manual_sar_only_blocked,manual_sar_only_blocked,,false,,18,,true,true,SAR-only blocked placeholder; no optical runtime prior and no final-box backfill.
v0_1_019,sar_only_blocked,GM_RM019,saronly_gm_rm019_000002_000004_01,4,,,,manual_sar_only_blocked,manual_sar_only_blocked,,false,,18,,true,true,SAR-only blocked placeholder; missing runtime prior must stay explicit.
v0_1_020,gmrm011_probe,GM_RM011,gmrm011_probe_000000,0,,,,manual_gmrm011_probe,manual_gmrm011_probe,,false,,18,,true,false,GM_RM011 geometry/path/convention probe without reproduced candidate chain.
v0_1_021,gmrm011_probe,GM_RM011,gmrm011_probe_000008,8,,,,manual_gmrm011_probe,manual_gmrm011_probe,,false,,18,,true,false,GM_RM011 probe for frame mapping and fan convention review.
v0_1_022,gmrm011_probe,GM_RM011,gmrm011_probe_000027,27,,,,manual_gmrm011_probe,manual_gmrm011_probe,,false,,18,,true,false,GM_RM011 probe placeholder; source gaps are expected.
v0_1_023,gmrm011_probe,GM_RM011,gmrm011_probe_000088,88,,,,manual_gmrm011_probe,manual_gmrm011_probe,,false,,18,,true,false,GM_RM011 probe for cross-scene visual contrast.
v0_1_024,gmrm017_reference,GM_RM017,gmrm017_reference_000000,0,,,,manual_gmrm017_reference,manual_gmrm017_reference,,false,,18,,true,false,GM_RM017 reference/control placeholder; no runtime rule transfer.
v0_1_025,gmrm017_reference,GM_RM017,gmrm017_reference_000008,8,,,,manual_gmrm017_reference,manual_gmrm017_reference,,false,,18,,true,false,GM_RM017 reference/control visual seed.
v0_1_026,gmrm017_reference,GM_RM017,gmrm017_reference_000027,27,,,,manual_gmrm017_reference,manual_gmrm017_reference,,false,,18,,true,false,GM_RM017 reference/control visual seed.
v0_1_027,gmrm017_reference,GM_RM017,gmrm017_reference_000088,88,,,,manual_gmrm017_reference,manual_gmrm017_reference,,false,,18,,true,false,GM_RM017 reference/control visual seed.
