tracklet_candidate_id,scene,detection_count,frame_start,frame_end,frame_span,missing_frame_gap_count,max_frame_gap,mean_center_speed,median_center_speed,mean_area_change_abs,edge_conflict_count,same_frame_conflict_count,neighbor_ambiguity_count,boundary_contact_count,selected_edge_count,tracklet_status,identity_status,policy
oty1_tracklet_0001,GM_RM019,15,0,14,15,0,1,25.038201777405494,25.17644060569006,0.16471536394912006,15,0,3,11,14,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0002,GM_RM019,3,0,2,3,0,1,27.301333578161465,27.301333578161465,0.026803090814506277,3,0,3,1,2,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0003,GM_RM019,1,1,1,1,0,0,,,,1,0,1,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0004,GM_RM019,41,3,43,41,0,1,23.624079514554577,20.605667548191917,0.23152819752652834,40,0,6,30,40,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0005,GM_RM019,1,4,4,1,0,0,,,,0,0,1,1,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0006,GM_RM019,1,4,4,1,0,0,,,,1,0,0,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0007,GM_RM019,1,4,4,1,0,0,,,,1,0,1,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0008,GM_RM019,4,22,25,4,0,1,52.26994788016372,36.214882648455365,0.044626788912644745,4,0,2,2,3,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0009,GM_RM019,5,24,28,5,0,1,30.403612581949343,29.49448051087178,0.1011195181405476,5,0,5,3,4,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0010,GM_RM019,1,34,34,1,0,0,,,,1,0,0,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0011,GM_RM019,13,37,52,16,2,3,10.229296025486276,5.357608577782075,0.2784248565350488,13,0,7,0,12,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0012,GM_RM019,2,41,42,2,0,1,3.822764774106877,3.822764774106877,0.013507380165374023,2,0,0,0,1,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0013,GM_RM019,52,43,100,58,3,4,5.191777790877425,5.085827079503053,0.10976221997047599,52,0,21,0,51,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0014,GM_RM019,2,47,49,3,1,2,4.287156520412658,4.287156520412658,0.34945012096099853,2,0,2,0,1,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0015,GM_RM019,11,50,62,13,1,3,5.794332174055527,5.5554241385622145,0.2191118983384322,11,0,3,0,10,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0016,GM_RM019,2,53,54,2,0,1,5.333330591582027,5.333330591582027,0.2196139138593457,2,0,2,0,1,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0017,GM_RM019,1,55,55,1,0,0,,,,1,0,1,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0018,GM_RM019,1,57,57,1,0,0,,,,1,0,0,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0019,GM_RM019,1,59,59,1,0,0,,,,1,0,1,0,0,fragmented_short_track,fragmented_short_track,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
oty1_tracklet_0020,GM_RM019,4,62,66,5,1,2,6.160356752336856,6.0101854077021555,0.08478472295965472,4,0,1,0,3,ambiguous_geometry_review,ambiguous_crossing_risk,connected_component_from_selected_runtime_yolo_geometry_edges_not_confirmed_identity
